d,hall:west_halls,ring:builtup
2018-11-02,0.0,6.980090045898891e-05
2018-11-09,0.0,0.0
2018-11-12,0.0,0.0
2018-11-19,0.0,0.0
2018-11-22,0.0,0.0
2018-11-24,0.0,0.0
2018-12-12,0.0,0.0013117045380016804
2018-12-14,0.0,0.0008859128527755804
2018-12-17,0.0,0.0015064171051306985
2018-12-19,0.0,0.0017718681170078008
2019-01-01,1.0,0.9987411961443946
2019-01-03,0.9501791083801802,0.6334995934303568
2019-01-06,0.7711917587465421,0.29300963594686547
2019-01-11,,0.0
2019-01-13,0.0,0.007573374694778766
2019-01-18,0.0,0.001191898377203467
2019-01-21,0.0,0.0005532067427453458
2019-01-23,,0.0038028862166501792
2019-01-26,0.0,0.0
2019-02-05,0.0,0.0005622698229578025
2019-02-12,1.0,1.0
2019-02-15,1.0,0.9899040539212633
2019-02-20,1.0,1.0
2019-02-27,1.0,1.0
2019-03-02,0.29853847041364406,0.0037600335235177906
2019-03-04,0.0,0.0018031664580611603
2019-03-14,0.0,0.0003638198763460823
2019-03-22,0.0,0.0006159348998085964
2019-03-24,,0.0012618327749929486
2019-03-27,0.0,0.0012137061038336515
2019-03-29,,1.0
2019-11-04,,0.0
2019-11-07,0.0001582520972567421,0.00031415809478104595
2019-11-12,0.00266701529611715,0.02379438617919779
2019-11-14,0.0,0.0003666935215061424
2019-11-19,0.0,0.0006106318036973282
2019-12-02,1.0,0.9875335615204379
2019-12-04,0.9329141064191395,0.862203187669726
2019-12-07,0.5607606696089555,0.47102503412865987
2019-12-09,0.12582036867564436,0.16994502452645185
2019-12-12,0.004667276768205012,0.07379702079482058
2019-12-14,0.007856201817085101,0.047200665443536134
2019-12-17,1.0,0.9970211506350541
2019-12-19,1.0,0.9919978584501228
2019-12-22,1.0,0.9970714669641065
2019-12-27,,0.9997903359681113
2019-12-29,0.9462745672195377,0.8799864695541978
2020-01-01,0.21924237754724216,0.7738338186462894
2020-01-03,0.8073735128775005,0.6952412532171459
2020-01-06,1.0,0.999557408936489
2020-01-08,0.9936791881416963,0.9780527715509104
2020-01-13,1.0,0.9914451543846093
2020-01-21,0.9892142763759972,0.9204492679788281
2020-01-23,0.8025807295071247,0.7349894951848739
2020-01-26,0.6942411708021299,0.5745128771052628
2020-01-28,,1.0
2020-01-31,0.6476368565045297,0.4242739637294621
2020-02-02,1.0,0.9801830409792365
2020-02-05,0.6416577330370008,0.3577424000842263
2020-02-07,0.6140555538039566,0.34644504348659255
2020-02-10,0.28381090275856924,0.05304732257731688
2020-02-12,0.023657994509086257,0.004558992361617441
2020-02-17,0.023657994509086257,0.004244958920841322
2020-02-22,,0.027240509980535746
2020-02-25,0.0,0.001652071144904866
2020-03-01,0.0,0.0003318756100537287
2020-03-03,,0.0
2020-03-11,0.013993986141979404,0.005845765380535669
2020-03-13,0.0,0.000603987740233163
2020-03-16,0.0,3.932863275385658e-05
2020-03-18,0.0,0.00025498329221263345
2020-03-23,0.0,0.0
2020-03-28,0.6326256906394003,0.4855477762952347
2020-03-31,0.0,0.0
2020-11-01,0.0,0.0
2020-11-03,0.0,6.044309768268272e-05
2020-11-06,0.0,1.607412199993847e-05
