d,ctrl:ctrl_prineville_schwab:roof,hall:hall_A_original,hall:hall_B,hall:hall_C,hall:hall_H_east,hall:hall_H_west,ring:builtup
2021-02-16,0.0,1.0,0.874912831241283,0.5542470383244753,1.0,0.9864526204917735,0.6475217077482913
2021-02-23,0.0,0.0,0.0,,,,0.0004265828875111267
2021-02-26,,,,,,1.0,1.0
2021-02-28,0.0,0.0,0.0018499147683248103,0.0,0.0,0.0,0.0014355639680522522
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0005679249703054742
2021-03-05,,,,,,,0.0
2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0008007112556341273
2021-03-15,0.0,0.0,0.0,,,,0.0
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0005354081975719242
2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.000508623944462604
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0003343538460465718
2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0008242005630226179
2021-11-13,0.0,0.0,0.0006198667286533395,0.0,0.0,0.0,0.0008431398046815558
2021-11-23,,0.0,,,,0.0,0.001293357047696979
2021-12-03,0.0,0.0,0.0006198667286533395,0.0,0.0,0.0,0.0005822631014050013
2021-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008803266804695775
2021-12-08,0.0,,,,,,0.0011195508638936335
2021-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.005424926831627169
2022-01-07,,,,,,0.0,0.005145452454869495
2022-01-09,0.0,0.0,0.0006198667286533395,0.004465497465173498,0.00137547309618994,0.004116272594099203,0.00279954382540236
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0021499377534385717
2022-01-22,0.0,0.0,0.0006198667286533395,0.002232748732586749,0.0,0.0,0.001558470312091897
2022-01-24,0.0,0.0,0.0006198667286533395,0.0,0.0,0.0,0.0014690710485686053
2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0007798900481759928
2022-02-03,0.0,0.0,0.0006198667286533395,0.0,0.0,0.0,0.0008859532680201588
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00045039763432210396
2022-02-08,0.0,0.0,0.0006198667286533395,0.0,0.0,0.0,0.0007558003394708056
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.00020379208549175046
2022-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.00046523765928531527
2022-02-16,0.0,0.0,,,,,0.0
2022-02-18,0.0,0.0,0.0,0.002232748732586749,0.0,0.0,0.0004212844792518539
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.00024112386414703265
2022-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0004378349250067361
2022-03-05,0.0,0.0,0.0,,0.0,0.0,0.0004204023959472578
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.000279469510165747
2022-03-15,,,,,,,0.0
2022-11-10,0.0,0.0,0.003089648225631489,0.004465497465173498,0.0,0.0,0.0018713683949947368
2022-11-15,0.004008463165993459,0.9938689502118407,1.0,0.9944837972489032,0.6804287926452123,0.9917714903731684,0.40106228201045113
2022-11-18,0.0,0.0021296151000919097,0.05971812965260545,0.032547332337948036,0.05145236680887321,0.0010290681485248007,0.02958527266835519
2022-11-23,0.0,0.002858167634333879,0.01450875561754223,0.004465497465173498,0.0,0.0,0.0020977455343559794
2022-11-28,1.0,1.0,1.0,1.0,1.0,0.9472592484977623,0.99279155203821
2022-12-03,,,,,,,0.009133892112615517
2022-12-05,1.0,1.0,1.0,1.0,1.0,1.0,0.9999708868449297
2022-12-15,1.0,1.0,1.0,1.0,1.0,1.0,0.9931584085584915
2022-12-18,1.0,1.0,1.0,1.0,1.0,1.0,0.9285050765183619
2022-12-20,0.9956911186922991,1.0,1.0,1.0,1.0,1.0,0.9654944440285623
2022-12-28,0.0,0.004306632213608958,0.013280904143121275,0.013402712078208768,0.0,0.0,0.0015922521533375106
2023-01-17,0.0,0.0,0.0,0.006698246197760247,0.0,0.0,0.0012372562322208746
2023-01-19,0.0,0.9978591763993813,0.9308461180846119,0.9690252586382069,0.6211192801394998,0.9840918170922166,0.1352317403518873
2023-01-22,,0.0,0.0,,,0.0,0.0
2023-01-27,0.0,,,,,,0.00025651446137998744
2023-01-29,1.0,1.0,1.0,0.6726097527228163,0.5510856250110958,0.24465303914719083,0.24951806291425868
2023-02-08,0.0,0.0,0.0,0.002232748732586749,0.0,0.0,0.0003195029882388609
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-03,0.0,0.0,0.0,0.0,0.0,,0.0003007081381842338
2023-03-15,0.0,,,,0.0,,0.0
2023-03-18,0.0,0.0,0.0,0.002232748732586749,0.0,0.0,0.00036305816911135375
2023-03-23,0.0,,,,0.0,,0.0
2023-11-08,0.0,0.0,0.0,0.0,0.0011314375468659183,0.0,0.00044169958146510793
2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.00011016713001665467
2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0005409338381288031
2023-11-23,,,,,0.0,0.0,0.0006545964220529683
2023-11-25,0.0,0.10736622654621264,0.007409344490934449,0.0,0.0,0.0,0.0016244518658641788
2023-11-28,0.0,0.1512587146091596,0.03488687432202076,0.0034585715661637874,0.0,0.13614369826914777,0.004031920168255045
2023-12-08,0.0,0.9929722701696966,0.9393110585452396,,0.018572469045884922,0.9140143578044214,0.030012814832111004
2023-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0014774640775062984
2023-12-20,0.0,0.005716335268667758,0.019148070664807067,0.002232748732586749,0.0,0.0,0.0006774721843666913
2023-12-23,0.0,0.16783608688829607,0.06529908569657523,0.010463273472318294,0.0011314375468659183,0.0020581362970496014,0.00820827160276721
2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00036585515825029
2024-01-24,0.013072513668438675,0.0,0.0,,0.0,0.0,0.11183796541928943
2024-01-27,,,,,,,0.0
2024-01-29,,,,,,,0.005050605082295153
2024-02-03,0.0,0.055933318710243485,0.7123657208921432,0.44784024739283496,0.4316109060602453,0.11724011039558419,0.015464694693944559
2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0008656437901720925
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.00019431630302804074
2024-02-26,0.0,0.006373406648337915,0.0,,,,0.0008489215159574358
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.001108546896572575
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,1.3845426428749944e-05
2024-03-17,0.0,0.0,0.0,0.0,,,0.0002766038290704801
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.00036314274696019286
2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00047836909703665787
2024-11-27,0.0,0.8756192696541055,0.0,0.0,0.0,0.0,0.0013673358257857739
2024-11-29,0.0,0.8417583895626443,0.0,0.0,0.0,0.0,0.001627671517435331
2024-12-02,0.0,0.8346073662265462,0.0,0.0,0.0,0.0,0.001017818735103056
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,0.0,0.8345289067228586,0.0003099333643266698,0.0,0.0,0.0,0.0012005166703909194
2024-12-27,0.0,0.02286534107467103,0.01697853711452038,0.002232748732586749,0.0011314375468659183,0.0020581362970496014,0.0030280846228743375
2025-01-08,0.0,,,0.0,,0.0,0.0
2025-01-11,0.0,0.889181555291533,0.011118859445219278,0.0,0.0011314375468659183,0.0010290681485248007,0.0032267362915690953
2025-01-16,0.0,0.002858167634333879,0.0,0.0,0.0,0.0,0.001396289751016307
2025-01-23,,0.0,,,,,0.0
2025-01-26,0.0,0.9027550494294874,0.01790833720750039,0.0,0.0,0.0,0.0038978020558046184
2025-01-28,0.0,0.02572350870900491,0.0,0.0,0.0,0.0,0.00045699810053286346
2025-02-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-12,1.0,1.0,1.0,1.0,1.0,1.0,0.9998833163817966
2025-02-20,0.0,0.017149005806003273,0.0,0.0,0.0,0.0,0.18605989066925674
2025-02-25,0.0,0.0,0.0,0.0,,,0.00014775361548520654
2025-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0011242590788509434
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0004212844792518539
2025-03-17,,0.6833517585882158,,,,,0.09969022239056329
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.00010038752208033395
2025-11-02,0.0,0.14698289770893846,0.05963568020818273,0.0,0.0,0.0,0.0002367925387851885
2025-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00023537306399885928
2025-11-17,,0.0,0.0,0.0,0.0,0.0,0.0006201736064402475
2025-11-19,0.0,0.0,0.0,,,,0.0
2025-11-22,0.0,0.005716335268667758,0.0,0.0,0.0,0.0,0.000508623944462604
2025-11-24,,,,,,,0.0
2025-11-27,0.0,0.011967144486307793,0.0,0.0,,,0.0005879491181916068
2025-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0008372230460691563
2025-12-12,,0.0,0.0,0.0,0.0,,0.000637599059494274
2025-12-17,0.0,,,,0.0,0.0,0.0
2025-12-19,0.0,0.07395368647582326,0.0,0.0,0.0,0.0011300436507057233,0.0007889827234953319
2025-12-22,,0.012535849754833935,0.014622230377540258,0.0,,0.002576434215046376,0.0031830561490532087
2025-12-27,0.0,,,,0.0,0.0,0.0006482807938370828
2025-12-29,0.0,0.03143984397767267,0.0,0.0,0.0,0.0,0.0007649338783163743
2026-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0007288166138385053
2026-01-13,0.0,,,,,,0.0005832257415257872
2026-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00042702016993319774
2026-02-10,,,,,,,0.0
2026-02-20,0.0,0.8622139030240533,0.0012978459631179298,0.0,0.0,0.0,0.06944149665820944
2026-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0008275964365800243
2026-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.000629541943111358
2026-03-02,0.0,0.0,0.0,0.004820962680077136,0.0,0.0,0.0007017112069537049
2026-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656356490661474
2026-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00018837923868985336
2026-03-17,0.0,,,,,,0.0
2026-03-19,0.0,0.0,0.0,,0.0,0.0,0.00032521973231708156
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.00011664278729604529
