d,ctrl:ctrl_prineville_schwab:roof,hall:hall_A_original,hall:hall_B,hall:hall_C,hall:hall_H_east,hall:hall_H_west,ring:builtup
2018-11-04,0.0,0.0,0.0,0.0,0.005506329394747469,0.0,0.0005738503171837719
2018-11-06,0.0,0.0,0.0,0.0,0.004170789388446915,0.0,0.0003203445448175948
2018-11-09,0.0,,,,,,0.0
2018-11-11,0.0,0.0,0.0,0.0,0.003212395231101666,0.0,0.000642659361159872
2018-11-14,0.0,0.0,0.0,0.0,,,0.0
2018-11-16,0.0,0.0,0.0,0.0,0.004170789388446915,0.0,0.00039217132418160384
2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0003520431213707779
2018-11-24,0.0,0.002858167634333879,0.014208507670850768,0.0,0.02111573053150943,0.0,0.0025544224766344114
2018-12-04,0.0,0.0,0.0018596001859600187,0.33168417425721586,0.0649520882299765,0.0,0.013497182713204917
2018-12-06,0.0,0.0,0.0,0.0,0.005918947566544821,0.0,0.0005943234420044039
2019-01-10,,,,,0.10510231923601639,0.0,0.007998885930112493
2019-01-13,0.0,0.0,0.0,0.0,0.07705311544656288,0.0,0.00533157504387593
2019-01-25,0.0,0.0,0.0,0.0,0.026528882716515,0.0,0.0014947036320773093
2019-01-30,0.0,0.0,,,0.10636617664925282,0.0,0.0007083635043714827
2019-02-17,,,,0.0,0.0,,0.1340268721623731
2019-02-22,0.0,0.0,0.0,0.0,0.0033943126405977546,0.0,0.07356560636763977
2019-03-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-14,1.0,1.0,1.0,1.0,1.0,0.8640661509219241,0.9956998157422708
2019-03-19,,,,,,,0.0
2019-03-24,0.0,0.0,0.0,0.0,0.012294954675942979,0.0,0.0007478908506724223
2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,0.0,0.0,0.0,0.0,,0.0,0.0002269190648459049
2019-03-31,0.0,0.0,0.0,0.0,0.0032434543010156323,0.0,0.00018837923868985336
2019-11-01,0.0,0.0,0.0,0.0,0.005537388464661436,0.0,0.00039217132418160384
2019-11-04,0.0,0.0,0.0,0.0,0.0011314375468659183,0.0,0.00030483185897085363
2019-11-06,0.0,0.0,0.0,0.0,0.0011314375468659183,0.0,0.00030369016661515756
2019-11-09,0.0,0.0,0.0,0.0,0.000980579207283796,0.0,0.0002466055488303535
2019-11-16,0.0,0.0,0.0,0.0,0.0032434543010156323,0.0,0.00033394501404110366
2019-11-21,0.0,0.0,0.0006198667286533395,0.002232748732586749,0.006606707871699421,0.0,0.0011431238196973302
2019-11-24,0.0,0.0,0.0,0.0,0.005475270324833503,0.0,0.0034369530420213317
2019-11-29,1.0,1.0,1.0,1.0,1.0,1.0,0.9998970517781376
2019-12-04,0.11245239469128679,0.9949001322603062,0.3487331473733148,0.44274969573326106,0.8302888049801003,1.0,0.6068524146850414
2019-12-09,0.0,0.0,0.0,0.0,0.007414243689462547,0.0020581362970496014,0.0014655904770070592
2019-12-16,0.0,0.02616064022955009,0.020484658298465828,0.3390801075221743,0.6318390962698059,0.990512395226738,0.013553372462174886
2019-12-29,,,0.0,,,,0.0
2020-01-10,,,,,,,0.0
2020-01-25,0.0,0.011432670537335515,0.023768014876801486,0.0026530308469560194,0.018963780687470334,0.008490821115671296,0.0020521656589835126
2020-01-30,0.0,0.0,0.0,,,,0.0
2020-02-02,0.0,,,,,,0.0018791400482283684
2020-02-07,0.0,0.0,0.0,0.0,0.006637766941613388,0.0010290681485248007,0.0007430678156063289
2020-02-09,0.0,0.0,0.0006198667286533395,0.0,0.00773814541856534,0.0,0.0013313735665257886
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.00031831648177575484
2020-02-14,,,,,0.0,,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.011759728136039435,0.0,0.0002778462405442386
2020-02-19,0.0,0.0,0.0,0.0,0.011299409380007902,0.0,0.0014617650241982084
2020-02-22,0.0,0.0,0.0,0.0,0.000980579207283796,0.0,0.000392903398265529
2020-02-24,0.0,0.0,0.0,0.0,0.008780842765677067,0.0,0.0008030526317599582
2020-02-27,0.0,0.0,0.0,0.0,0.000980579207283796,0.0,0.00036305816911135375
2020-02-29,0.0,0.0,0.0,0.0,0.0021430758240636805,0.0,0.0002955077082364839
2020-03-03,0.0,0.0,0.0,0.0,0.011043717859408905,0.0,0.0005961023196349517
2020-03-10,0.0,0.0,0.0,0.0,0.006517967671945231,0.0,0.000945321270516355
2020-03-13,0.0,0.0,0.0,0.0,0.002112016754149714,0.0,0.00027571870390060354
2020-03-18,0.0,0.0,0.0,,,,0.0004232166122201722
2020-03-20,0.0,0.0,0.0,0.0,0.009912280312542987,0.0,0.0006541897198138544
2020-03-23,0.0,0.0,0.0,0.0,0.0009881511289961996,,0.00040980572564696424
2020-03-25,,,,,,,0.0
2020-11-13,,,,,,,1.0
2020-11-20,0.0,0.0,0.0006198667286533395,0.0,0.0,0.0,0.0016187687078090729
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.00038243773430394313
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.008043929782276204
2020-12-05,0.0,0.0,0.0,0.0,0.0011314375468659183,0.0,0.0013823405509286585
2020-12-08,0.0,0.0,0.0,0.0,0.0,,0.0002933668039930098
2020-12-23,0.0,0.009504808446725996,0.005239810940647761,0.32150706161510917,0.5621203583329267,0.34771607404448,0.007663267429903235
2021-01-09,0.0,0.0,0.0,0.0,0.023533785283897588,0.008673828812962312,0.005965985390136247
2021-01-14,0.0,0.0,0.0018499147683248103,0.0,0.0,0.0,0.0014545160611568071
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0009402376268532734
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.002035015857823337
2021-01-29,,,,,,,0.9655030191044973
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.000799831935064071
2021-02-03,,0.0,0.0,0.0,0.0,0.0,0.0005187138743756364
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0008140266496113057
