d,ctrl:ctrl_newalbany_af:roof,ctrl:ctrl_newalbany_dsv:roof,hall:LCO_1,hall:LCO_2,hall:NAO_1_NAO_2,hall:NAO_3,hall:NAO_5_NAO_6,ring:builtup
2023-11-05,0.0,,0.0,0.0,0.0,,0.0,0.0
2023-11-10,0.012898787513973688,0.0,0.0,0.0,0.0,0.0,0.0,5.9341988110192714e-05
2023-11-15,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,0.01160890876257632,0.0,0.0,0.0,0.0,0.0,0.0,0.00017802596433057812
2023-11-30,0.0,,,,,,,0.0
2023-12-15,0.009029151259781583,0.0,0.0,0.0,0.0,0.0,0.0,0.00011868397622038543
2023-12-20,0.9017011224474312,1.0,0.1455675725642448,0.6491452219923063,0.9706689591492346,0.9265781881130986,0.8830635368891417,0.4937104474013559
2024-01-14,1.0,1.0,0.030786186627479797,0.11564463911635878,0.05639194658554818,0.11341836196901023,,0.804566810448503
2024-02-03,0.012898787513973688,0.0,0.0,0.0,0.0,0.0,0.0,0.0004210659408134617
2024-02-08,0.010319030011178952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-02-23,,0.04862902554714157,0.0,0.0,0.0,0.0,0.0,0.0002556714571643779
2024-03-04,0.0,0.0,0.0,,,0.0,0.0,0.0
2024-03-24,0.009029151259781583,0.0,0.0,0.0,0.0,0.0,0.0,5.9341988110192714e-05
2024-03-29,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,5.9341988110192714e-05
2024-11-04,,,,,,0.0,0.0,0.0
2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,0.031685492151973006,0.012045435632853464,0.004252172305416898,0.1959809462968878,0.0008119209093514181,0.0,0.007077386362847884,0.0019657324453599915
2025-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998126454293934
2025-01-28,0.6257277698249308,0.2579921500097085,0.3988144758735442,0.526698793172886,0.014614576368325525,0.011771494518176568,0.4230126074617855,0.4555907832351204
2025-02-17,1.0,,,,,,,0.9914061160303195
2025-02-22,0.5290728553868879,1.0,,,,,,0.9991965484139971
2025-03-09,0.006449393756986844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,,,,,,,,0.0
2025-03-24,,,,,,,,0.0
2025-03-26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,,0.0008841641008571194,0.0,0.0,0.0,0.0,0.0,6.43762684333871e-05
2025-11-19,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,,1.0,0.9750156621977197,,1.0,1.0,1.0,0.9737578620476737
2025-12-14,1.0,1.0,,,1.0,0.10802738021157436,1.0,1.0
2026-01-18,,1.0,0.40347393226891193,0.9508381129612399,,,,0.6628889253188334
2026-01-23,0.007739272508384213,0.27977725999278813,0.06949066370863377,0.09868485008401963,0.0,0.0,0.0,0.004450649108264453
2026-01-28,1.0,,1.0,1.0,1.0,1.0,1.0,0.9988208388492973
2026-02-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994791310271434
2026-02-12,0.6727299398562419,0.9608757179721966,0.5387352417920104,0.13401283503208758,0.16692796541823923,0.16587552742616035,0.2923001121100249,0.8425591524728966
2026-02-27,0.009029151259781583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,0.006449393756986844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,0.01267356257571522,0.0,0.0,,0.0,0.0,0.0,0.0
2026-03-29,0.006449393756986844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
