d,ctrl:ctrl_newalbany_af:roof,ctrl:ctrl_newalbany_dsv:roof,hall:LCO_1,hall:LCO_2,hall:NAO_1_NAO_2,hall:NAO_3,hall:NAO_5_NAO_6,ring:builtup
2018-11-11,0.01659138158660145,0.0,0.0,0.0,0.006469895246282673,0.0,0.0,5.9341988110192714e-05
2018-12-11,0.07160110859670983,0.5793979362569692,1.0,1.0,0.880078636959371,0.8604847085978072,0.0,0.24450632198431693
2018-12-26,0.018058302519563165,0.0,0.0,0.0,0.028910752380042655,0.0,0.0,0.00035605192866115624
2019-01-05,0.023262414223015095,0.0,0.0,0.0,0.03224802836263656,0.0,0.0,0.00025903347499755576
2019-01-25,1.0,0.6372841205974284,,,0.8964135612216307,1.0,,0.9455800371648526
2019-02-04,0.033124971250121385,0.39386256494345584,2.3109632094657054e-05,0.007082644742872221,0.013869519533861872,0.058107328332371595,0.0,0.06668621814752106
2019-02-09,0.016855389402714152,0.0,0.0,0.0,0.01356049376150813,0.0,0.0,0.013322221651095987
2019-03-11,0.0,0.0,0.0,0.0,0.004871525456108508,0.0,0.0,0.0007121038573223125
2019-03-26,0.012898787513973688,0.0,0.0,0.0,0.003259639905662185,0.0,0.0,6.19522088513429e-05
2019-11-01,0.015478545016768427,0.0,0.0,0.0,0.0,0.0,0.0,5.9398385202487925e-05
2019-11-06,0.014011624083806714,0.0,0.0,0.0,0.0,0.0,0.0,0.00017802596433057812
2019-11-16,0.7993757998512846,0.0,0.0,0.0,0.9754640685197568,0.005885747259088284,0.0,0.08614757863744277
2019-11-26,0.01160890876257632,0.0,0.0,0.0,0.0,0.0,0.0,0.00017802596433057812
2019-12-01,0.018058302519563165,0.0,0.0,0.0,0.0032222116088770005,0.005885747259088284,0.0,0.00017802596433057812
2019-12-21,0.0290753845609101,0.4274985437297163,0.0,0.0,0.01685611487884866,0.002942873629544142,0.0,0.07761647952661366
2019-12-26,0.020461017840793558,,0.0,0.0,0.0,0.0,0.0,0.0010674468253340712
2020-01-20,0.18000637351853632,0.10023946635741132,0.0,0.0,1.0,0.4001342565543302,0.0,0.27354256870657806
2020-02-14,,1.0,,,1.0,1.0,1.0,0.986114179700953
2020-02-19,0.02192793877375527,0.0,0.0,0.0,0.0,0.002942873629544142,0.0,0.0010618725166541543
2020-03-15,,0.0,0.0,0.0,1.0,,0.0,0.16448937727872381
2020-03-25,0.015478545016768427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10,0.0062723515754225,0.0,0.0,0.0,0.0,0.0,0.0,5.9341988110192714e-05
2020-12-05,,0.06102232013284549,,0.0,,,,0.3556234856595481
2020-12-10,0.017428503525310942,0.0,,,,,,0.0
2021-01-09,0.015478545016768427,0.0,0.0,0.0,0.0,0.0,0.0,0.00035605192866115624
2021-01-19,1.0,0.8832903386868602,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-29,0.009029151259781583,0.05728343180494302,0.0,0.0,0.0,0.0,0.0,0.00011868397622038543
2021-02-03,,1.0,,,,,,0.9823860272350503
2021-02-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-05,0.010372547324747171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-20,0.012898787513973688,0.0,0.0,0.0,0.0,,0.0,0.0
2021-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-10,0.002579757502794738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-15,,,,,,,,0.13598884194117403
2021-11-30,0.01160890876257632,0.0,0.0,0.0,0.0,0.0,0.0,5.9341988110192714e-05
2021-12-20,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.005308039772135913,0.0004747359048815417
2022-01-04,0.0062723515754225,0.0,0.0,0.0,0.0,0.005885747259088284,0.09023667612631052,0.010859583824165266
2022-01-19,1.0,0.9328035283348589,,,,,,0.9386735221321849
2022-01-29,1.0,0.9642834910358565,,,1.0,,1.0,0.8429641794108589
2022-02-28,0.014188666265371058,0.0,0.0,0.0,0.0,0.0,0.005308039772135913,0.0
2022-03-05,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,0.0,0.0,,,,,,0.0
2022-03-20,,,,,,,,0.0
2022-11-05,,0.0,0.0,0.0,0.0,,,0.0
2022-11-10,0.006034074775201137,,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-20,,0.0,0.0,0.0,0.01729550737096825,0.002942873629544142,0.021580886689936084,0.03151141651904809
2022-11-25,,,0.0,0.0,,0.0,,0.0
2022-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000712164293664903
2022-12-05,0.014188666265371058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
2023-01-19,0.0,0.0,,,0.0,,0.37227722772277233,0.00033452581948986796
2023-02-03,,,,,,,,0.0
2023-02-13,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-18,0.013606349629827251,0.0,0.0,0.0,0.0,0.0,0.0,7.762592523253531e-05
2023-02-23,0.007739272508384213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05,0.006449393756986844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,0.2219400788090626,0.0,0.0058929561841375485,0.013484800088880247,0.4389785716560001,0.20544720138488165,0.9877811006029654,0.07233578908321514
2023-03-20,0.007828209182028888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-25,0.0,0.0,,,,,,0.0
2023-03-30,0.010319030011178952,0.0,0.0,0.0,0.0,0.0,0.0,5.9341988110192714e-05
