d,ctrl:ctrl_newcarlisle_mfg:roof,hall:north_1471517731,hall:north_1471517732,hall:north_1471517733,hall:north_1471517734,hall:north_1471517735,hall:north_1471517736,hall:north_1471517737,hall:south_1471517722,hall:south_1471517723,hall:south_1471517724,hall:south_1471517725,hall:south_1471517726,hall:south_1471517727,hall:south_1471517728,hall:south_1471517729,hall:south_1471517730,ring:builtup
2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051437216338880475,0.0,0.0,0.0,0.025664251207729465,0.0,0.0,0.0,0.03132922414380732
2018-12-04,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0
2018-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010626383643703607
2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021930233191479607
2018-12-17,,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43991177139923e-05
2019-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014498336244845628
2019-01-13,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0
2019-01-21,0.9001069120996608,,,,,,,,,,,,,,,,,0.9424766420304003
2019-02-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-22,0.0,0.0,0.0,0.18916321259085725,0.0,0.15349144930732375,0.010179292067380089,0.42333990266661303,0.0,0.29052950075642975,0.14165199975723736,0.7824582458245825,0.9163187403077658,0.22322866344605474,1.0,0.5525896976167933,0.40973096051291263,0.21831956204439248
2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020715342757686003
2019-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
2019-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.253123382069828e-05
2019-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.905114252562001e-05
2019-12-04,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.00038610857070177894
2019-12-17,0.0,0.0,0.9991406678920107,0.0,1.0,0.0,0.008788014311270126,0.0,0.029824944860611605,1.0,1.0,1.0,0.35015308759791647,1.0,1.0,0.48375269445395774,1.0,0.103407821411615
2019-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017262785631405003
2019-12-22,0.0,,,,,,,,,,,,,,,,,0.0
2019-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021405768588811418
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998610272908554
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014410239746831869
2020-01-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975057194559317
2020-02-02,0.0,,,,,,,0.0,,,,,,,,,,0.00017719506466577537
2020-02-07,,,,,,,,,,,,,,,,,,1.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030520193256115914
2020-03-01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,0.8094086243439351
2020-03-08,,,,,,,,,,,,,,,,,,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027620457010248004
