d,ctrl:ctrl_newcarlisle_mfg:roof,hall:north_1471517731,hall:north_1471517732,hall:north_1471517733,hall:north_1471517734,hall:north_1471517735,hall:north_1471517736,hall:north_1471517737,hall:south_1471517722,hall:south_1471517723,hall:south_1471517724,hall:south_1471517725,hall:south_1471517726,hall:south_1471517727,hall:south_1471517728,hall:south_1471517729,hall:south_1471517730,ring:builtup
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013810228505124002
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041430685515372005
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0009460235761060985
2020-11-23,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013119717079867801
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23794384723905662,0.0,0.0,0.0,0.0,0.006119162640901771,0.0,0.0,0.0,0.12813258370210942
2021-02-01,0.9971616723671449,,,1.0,,0.5937880032867708,1.0,1.0,0.22399507222763135,,,0.6655725213211805,,1.0,,,,0.7940536513902713
2021-02-11,0.03152649242347197,,,,,,,,,,,,,,,,,0.987957094196382
2021-02-16,,,,,,,,,,,,,,,,,,1.0
2021-02-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928290811824911
2021-02-24,0.0,,,,,,,,,,,,,,,,,0.0
2021-02-26,0.022424329289744232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.862653194781854
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.05507258015941535,1.0,0.0,0.02313666162380232,0.0,0.0,0.0,0.00034219001610305956,0.006176170774120047,0.0,0.0,0.040325867234962086
2021-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081909503428723
2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019334319907173604
2021-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-13,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0019132270262699827
2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034525571262810007
2021-03-31,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0002516983055275251
2021-11-03,,,,,,,,,,,,,,,,,,0.0
2021-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027620457010248004
2021-11-16,,,,,,,,,,,,,,,,,,0.0
2021-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008078983675497541
2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010979131661573582
2021-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008416736653329473
2021-12-21,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014553583842789724
2022-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-07,1.0,,,,,,1.0,,,,,,,,,,,0.998988993910175
2022-01-15,0.0,0.4577903229035294,0.16688784332649692,0.7137422158146614,0.29920167306802875,0.7478297479901358,1.0,1.0,0.30756850199694,0.26866364094805856,0.0,0.0,0.0,0.3799114331723027,0.1999760148707802,0.0,0.0,0.5458539600605111
2022-01-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994443294363757
2022-02-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978594145817058
2022-02-24,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0003507480906580654
2022-02-26,0.15295313349938452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9235967848308775
2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008545422743003052
2022-03-13,0.03265097758946348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14140923711840747,0.2928492849284928,1.0,1.0,0.06224141032559811,1.0,0.2518625042443126,0.8134917808831233
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-03,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-11-23,0.23871560569707495,1.0,1.0,1.0,1.0,1.0,0.8113518180175477,0.9859228572577726,1.0,0.07850731215330309,0.74906435232951,0.8689468946894688,0.018370511749970186,0.9569847020933978,0.051288201315184585,0.5302282479502005,0.9380629955859148,0.24353200655850468
2022-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020715342757686003
2022-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.00029376120324588857
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009858447059863144
2022-12-03,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0
2023-02-01,0.634624419557498,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,0.9725329363056765
2023-02-04,0.4057787533820002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.9595721584261445
2023-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010818592706147226
2023-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010357671378843
2023-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165837254580509
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.905114252562001e-05
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005524091402049601
2023-03-11,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0059827734300439035
2023-11-01,0.3537178596247395,0.22991946184466322,1.0,,1.0,0.0,0.9216971796140524,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40183387270765913
2023-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.989246427672813e-05
2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.905114252562001e-05
2023-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010357671378843
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002487215091272395
2024-02-04,,,,,,,,,,,,,,,,,,0.0
2024-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006930477795292711
2024-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008286137103074401
2024-02-21,0.0,,,,,,,,,,,,,,,,,0.0008499348383290614
2024-02-24,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013810228505124002
2024-03-02,,,,,,,,,,,,,,,,,,0.0
2024-03-15,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,,,,,,,,,,,,,,,,,,0.0
2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025692379276162727,0.0,0.0,0.0,0.0,0.0,0.0,0.00041430685515372005
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002796025805673466
2024-12-30,,,,,,,,,,,,,,,,,,0.0
2025-01-09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7245785510903987
2025-01-24,0.9831863052202034,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,0.9974829337147868
2025-02-10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18639863986398636,1.0,1.0,1.0,1.0,1.0,0.5972328861784159
2025-02-25,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020139965803809307,0.0,0.010193679918450561,0.010274179576542636,0.0,0.1794138234971561
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.015209352260527264,,,0.0,0.0,0.011639316045148214
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020715342757686003
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003461161022712003
2025-03-17,0.0,,,,,,,,,0.0,,,,,,,,0.0
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,,,,,,,,,,,,,,,,,,0.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0
2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.340516484497119e-05
2025-11-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-11-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962021871610909
2025-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024167899883967004
2026-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998599539770324
2026-02-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993093455032975
2026-02-10,,,,,,,,,1.0,,,1.0,,,,,,0.9979002050388021
2026-02-13,0.8050844861912294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841182372191074
2026-02-15,0.26373985399969374,0.900006005645307,1.0,1.0,1.0,0.8787064696565687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.840266725759987,1.0,0.9163100152589485
2026-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013929497623108765
2026-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,,0.00027380918506333317
