name,d,snow,n
hall:technical_strip,2020-12-23,1.0,1107
ring:builtup,2020-01-03,0.9998832458389351,25851
ring:builtup,2020-01-06,0.8357823528097578,26136
ring:builtup,2020-01-11,0.7957452542271197,16262
ring:builtup,2020-01-16,1.0,75
ring:builtup,2020-01-18,1.0,239
ring:builtup,2020-01-28,,0
ring:builtup,2020-02-02,,0
ring:builtup,2020-02-05,1.0,427
ring:builtup,2020-02-10,0.26905829596412556,223
ring:builtup,2020-02-17,0.9741820273382675,25683
ring:builtup,2020-02-20,0.00535871895095196,14089
ring:builtup,2020-02-25,0.0002708208922615317,25994
ring:builtup,2020-02-27,0.00023122589318935445,26106
ring:builtup,2020-03-03,,0
ring:builtup,2020-03-11,3.9000402851220006e-05,25794
ring:builtup,2020-03-21,7.713474956766724e-05,26086
ring:builtup,2020-03-31,8.149912364471744e-05,24688
ring:builtup,2020-11-01,0.00011541279838922948,26151
ring:builtup,2020-11-03,3.8958824647399685e-05,25824
ring:builtup,2020-11-11,0.021304662570187833,13201
ring:builtup,2020-11-13,,0
ring:builtup,2020-11-21,3.8531709178978394e-05,26110
ring:builtup,2020-11-23,0.5676037483266398,747
ring:builtup,2020-11-26,0.00012127497570933568,24884
ring:builtup,2020-11-28,0.00011541279838922948,26151
ring:builtup,2020-12-01,7.703670315537797e-05,26119
ring:builtup,2020-12-03,7.709312365616097e-05,26100
ring:builtup,2020-12-06,0.00011563968548424145,26100
ring:builtup,2020-12-08,0.00011560403637915454,26108
ring:builtup,2020-12-13,0.20512820512820512,117
ring:builtup,2020-12-16,,0
ring:builtup,2020-12-18,0.9994229360080539,26151
ring:builtup,2020-12-21,0.39116293893609205,21595
ring:builtup,2020-12-23,0.975379897532521,24467
hall:technical_strip,2021-01-02,1.0,1107
hall:technical_strip,2021-01-05,1.0,1107
hall:technical_strip,2021-01-07,0.8063940934189746,1107
hall:technical_strip,2021-01-10,0.5188944755399553,686
hall:technical_strip,2021-01-12,,0
hall:technical_strip,2021-01-15,0.34673339263950365,1107
hall:technical_strip,2021-01-17,0.2514255034819516,1107
hall:technical_strip,2021-01-20,0.13515928409353659,1107
hall:technical_strip,2021-01-25,1.0,1107
hall:technical_strip,2021-01-30,,0
hall:technical_strip,2021-02-01,0.0,591
hall:technical_strip,2021-02-06,0.6330221531148569,732
hall:technical_strip,2021-02-21,1.0,1107
hall:technical_strip,2021-02-26,0.9346210935282143,1064
hall:technical_strip,2021-03-01,0.9998706759727715,1107
hall:technical_strip,2021-03-03,0.7232779330101539,1107
hall:technical_strip,2021-03-03,,0
hall:technical_strip,2021-03-06,0.0,1107
hall:technical_strip,2021-03-08,0.0,1107
hall:technical_strip,2021-03-16,,0
hall:technical_strip,2021-03-18,,0
hall:technical_strip,2021-03-21,0.9811657189436187,1107
hall:technical_strip,2021-03-23,0.0,1107
hall:technical_strip,2021-03-28,,0
hall:technical_strip,2021-03-31,0.0,1107
hall:technical_strip,2021-11-03,0.0,1107
hall:technical_strip,2021-11-08,,0
hall:technical_strip,2021-11-13,0.0,1107
hall:technical_strip,2021-11-16,,0
hall:technical_strip,2021-11-21,0.025374941706215008,1107
hall:technical_strip,2021-11-23,0.0,1107
hall:technical_strip,2021-11-26,0.0,1107
hall:technical_strip,2021-11-28,0.0019986440571690585,1107
hall:technical_strip,2021-12-01,0.003997288114338117,1107
hall:technical_strip,2021-12-03,0.0009993220285845292,1107
hall:technical_strip,2021-12-08,0.012176053109067187,1107
hall:technical_strip,2021-12-11,,0
hall:technical_strip,2021-12-13,1.0,1107
hall:technical_strip,2021-12-18,1.0,1107
hall:technical_strip,2021-12-21,1.0,1107
hall:technical_strip,2021-12-28,,0
ring:builtup,2021-01-02,0.5606071761460173,26150
ring:builtup,2021-01-05,0.4748813445029437,7739
ring:builtup,2021-01-07,0.12962353280576291,26148
ring:builtup,2021-01-10,0.08022920563683852,13104
ring:builtup,2021-01-12,0.14285714285714285,70
ring:builtup,2021-01-15,0.016476969155578718,26133
ring:builtup,2021-01-17,0.009119014340700612,26147
ring:builtup,2021-01-20,0.001538837311856393,26151
ring:builtup,2021-01-25,1.0,427
ring:builtup,2021-01-30,0.14649618000837805,992
ring:builtup,2021-02-01,0.00016443537004809722,24480
ring:builtup,2021-02-06,0.010417324016149409,11253
ring:builtup,2021-02-21,0.7208911656104613,16119
ring:builtup,2021-02-26,0.0595954062490147,19999
ring:builtup,2021-03-01,0.049748270321829505,26108
ring:builtup,2021-03-03,0.02200245373334514,26109
ring:builtup,2021-03-03,0.0,3380
ring:builtup,2021-03-06,0.0001538837311856393,26151
ring:builtup,2021-03-08,0.0,20700
ring:builtup,2021-03-16,0.0,4408
ring:builtup,2021-03-18,,0
ring:builtup,2021-03-21,0.06324682006657979,25588
ring:builtup,2021-03-23,0.00013015633903055128,23139
ring:builtup,2021-03-28,0.0,318
ring:builtup,2021-03-31,3.852725561595182e-05,26113
ring:builtup,2021-11-03,0.0,19786
ring:builtup,2021-11-08,0.0,39
ring:builtup,2021-11-13,0.0001313116939671974,22972
ring:builtup,2021-11-16,0.0,4415
ring:builtup,2021-11-21,0.0006929032965138504,26135
ring:builtup,2021-11-23,7.694186559281965e-05,26151
ring:builtup,2021-11-26,0.0,24346
ring:builtup,2021-11-28,0.00023082559677845897,26151
ring:builtup,2021-12-01,0.0002692965295748688,26151
ring:builtup,2021-12-03,0.0,26110
ring:builtup,2021-12-08,0.00023082559677845897,26151
ring:builtup,2021-12-11,,0
ring:builtup,2021-12-13,1.0,326
ring:builtup,2021-12-18,0.9989988313659036,26127
ring:builtup,2021-12-21,0.984374873189141,9747
ring:builtup,2021-12-28,,0
hall:technical_strip,2022-01-02,1.0,1107
hall:technical_strip,2022-01-07,0.9948309578207725,1107
hall:technical_strip,2022-01-10,0.9215708558507368,1107
hall:technical_strip,2022-01-12,0.008605926175575006,1107
hall:technical_strip,2022-01-15,0.7180657828218504,1107
hall:technical_strip,2022-01-17,,0
hall:technical_strip,2022-01-20,,0
hall:technical_strip,2022-01-22,0.7418300525525819,1107
hall:technical_strip,2022-01-25,0.014675983735151927,1080
hall:technical_strip,2022-01-27,0.013990508400183411,1107
hall:technical_strip,2022-01-30,0.004996610142922646,1107
hall:technical_strip,2022-02-01,0.0,29
hall:technical_strip,2022-02-04,1.0,1107
hall:technical_strip,2022-02-06,0.035176135406175445,1107
hall:technical_strip,2022-02-09,,0
hall:technical_strip,2022-02-11,0.0,1107
hall:technical_strip,2022-02-14,,0
hall:technical_strip,2022-02-19,0.0,1107
hall:technical_strip,2022-02-24,,0
hall:technical_strip,2022-02-24,1.0,1107
hall:technical_strip,2022-02-26,0.3358427419828902,1107
hall:technical_strip,2022-03-01,0.013575103949085527,1107
hall:technical_strip,2022-03-03,,0
hall:technical_strip,2022-03-11,1.0,1107
hall:technical_strip,2022-03-18,0.0,1107
hall:technical_strip,2022-03-21,0.0,1107
hall:technical_strip,2022-03-23,0.0,1107
hall:technical_strip,2022-03-26,0.0,1107
hall:technical_strip,2022-11-03,0.9825882832431331,1107
hall:technical_strip,2022-11-11,0.0,1107
hall:technical_strip,2022-11-13,0.0,1107
hall:technical_strip,2022-11-16,0.0,1107
hall:technical_strip,2022-11-18,0.0,1107
hall:technical_strip,2022-11-21,0.004373503466275823,1107
hall:technical_strip,2022-11-23,,0
hall:technical_strip,2022-12-03,,0
hall:technical_strip,2022-12-06,,0
hall:technical_strip,2022-12-08,1.0,1107
hall:technical_strip,2022-12-13,,0
hall:technical_strip,2022-12-16,1.0,1107
hall:technical_strip,2022-12-18,1.0,1107
hall:technical_strip,2022-12-26,1.0,1107
ring:builtup,2022-01-02,1.0,26136
ring:builtup,2022-01-07,0.028224842182903605,16387
ring:builtup,2022-01-10,0.024517016306509046,26083
ring:builtup,2022-01-12,0.006155822887922828,26149
ring:builtup,2022-01-15,0.007342703193417199,26145
ring:builtup,2022-01-17,,0
ring:builtup,2022-01-20,0.001390674572606165,2885
ring:builtup,2022-01-22,0.021756745727199423,26151
ring:builtup,2022-01-25,0.0004856171622818294,6195
ring:builtup,2022-01-27,0.000502228135501908,26042
ring:builtup,2022-01-30,0.0005789515905654347,26065
ring:builtup,2022-02-01,0.0,20058
ring:builtup,2022-02-04,0.6345521077336428,26120
ring:builtup,2022-02-06,0.0021554502249487005,26138
ring:builtup,2022-02-09,,0
ring:builtup,2022-02-11,0.00019235466398204913,26151
ring:builtup,2022-02-14,0.0,879
ring:builtup,2022-02-19,0.0003462783601222518,26148
ring:builtup,2022-02-24,,0
ring:builtup,2022-02-24,0.9788353214049039,760
ring:builtup,2022-02-26,0.02703523730937316,25819
ring:builtup,2022-03-01,0.00019235466398204913,26151
ring:builtup,2022-03-03,,0
ring:builtup,2022-03-11,0.6605851932996882,26079
ring:builtup,2022-03-18,0.0,26151
ring:builtup,2022-03-21,3.8470932796409825e-05,26151
ring:builtup,2022-03-23,3.8470932796409825e-05,26151
ring:builtup,2022-03-26,0.0,26151
ring:builtup,2022-11-03,0.24306080035835384,9045
ring:builtup,2022-11-11,0.00030824179634857346,26111
ring:builtup,2022-11-13,0.0,26135
ring:builtup,2022-11-16,0.00011552835496230519,26125
ring:builtup,2022-11-18,0.0004612814797475721,21821
ring:builtup,2022-11-21,0.0003467453005435664,26113
ring:builtup,2022-11-23,0.0,259
ring:builtup,2022-12-03,,0
ring:builtup,2022-12-06,,0
ring:builtup,2022-12-08,1.0,26151
ring:builtup,2022-12-13,1.0,401
ring:builtup,2022-12-16,1.0,26121
ring:builtup,2022-12-18,1.0,26125
ring:builtup,2022-12-26,1.0,408
hall:technical_strip,2023-01-07,1.0,1107
hall:technical_strip,2023-01-12,1.0,1045
hall:technical_strip,2023-01-17,,0
hall:technical_strip,2023-01-20,1.0,1107
hall:technical_strip,2023-01-30,1.0,1107
hall:technical_strip,2023-02-01,1.0,1107
hall:technical_strip,2023-02-04,1.0,1107
hall:technical_strip,2023-02-09,1.0,1107
hall:technical_strip,2023-02-11,1.0,1107
hall:technical_strip,2023-02-16,0.9844223330838293,1107
hall:technical_strip,2023-02-19,1.0,471
hall:technical_strip,2023-02-24,,0
hall:technical_strip,2023-03-08,1.0,1107
hall:technical_strip,2023-03-11,1.0,1107
hall:technical_strip,2023-03-16,0.00302061831020714,553
hall:technical_strip,2023-03-18,,0
hall:technical_strip,2023-03-21,,0
hall:technical_strip,2023-03-26,1.0,1107
hall:technical_strip,2023-03-28,1.0,1107
hall:technical_strip,2023-03-31,1.0,1107
hall:technical_strip,2023-11-01,0.0,1107
hall:technical_strip,2023-11-03,,0
hall:technical_strip,2023-11-08,,0
hall:technical_strip,2023-11-11,0.0,1107
hall:technical_strip,2023-11-13,,0
hall:technical_strip,2023-11-21,0.0,1107
hall:technical_strip,2023-11-28,0.9603719829292284,1107
hall:technical_strip,2023-12-06,0.0029979660857535877,1107
hall:technical_strip,2023-12-08,0.5414182598286141,1094
hall:technical_strip,2023-12-11,0.0,1107
hall:technical_strip,2023-12-13,0.0009993220285845292,1107
hall:technical_strip,2023-12-16,1.0,42
hall:technical_strip,2023-12-18,,0
hall:technical_strip,2023-12-21,0.0019986440571690585,1107
hall:technical_strip,2023-12-26,0.8555019535765933,1107
hall:technical_strip,2023-12-28,0.0009993220285845292,1107
ring:builtup,2023-01-07,0.7339941447776032,20315
ring:builtup,2023-01-12,0.823728813559322,295
ring:builtup,2023-01-17,,0
ring:builtup,2023-01-20,1.0,408
ring:builtup,2023-01-30,0.9633222031562582,23851
ring:builtup,2023-02-01,0.6671123066104613,25837
ring:builtup,2023-02-04,0.4571077755653486,26116
ring:builtup,2023-02-09,0.25258475702926647,25953
ring:builtup,2023-02-11,1.0,288
ring:builtup,2023-02-16,0.06347941993900537,26024
ring:builtup,2023-02-19,0.1299722378866091,5466
ring:builtup,2023-02-24,,0
ring:builtup,2023-03-08,0.9059109803246973,22348
ring:builtup,2023-03-11,0.4284402179053977,26151
ring:builtup,2023-03-16,0.009044290422214666,18715
ring:builtup,2023-03-18,0.03443788289892082,1601
ring:builtup,2023-03-21,,0
ring:builtup,2023-03-26,0.9900750248576335,18541
ring:builtup,2023-03-28,0.09645598223759308,26151
ring:builtup,2023-03-31,0.3239448175672943,10116
ring:builtup,2023-11-01,0.0001382952837511899,21819
ring:builtup,2023-11-03,0.0,13863
ring:builtup,2023-11-08,0.0,20868
ring:builtup,2023-11-11,3.848425752397415e-05,26142
ring:builtup,2023-11-13,,0
ring:builtup,2023-11-21,7.846629472617258e-05,25646
ring:builtup,2023-11-28,0.07563064404118568,26054
ring:builtup,2023-12-06,0.0005017723970230726,25697
ring:builtup,2023-12-08,0.0198003500051983,18179
ring:builtup,2023-12-11,0.0003847707437829721,26146
ring:builtup,2023-12-13,5.958560664106118e-05,16923
ring:builtup,2023-12-16,0.006231747699751953,325
ring:builtup,2023-12-18,8.042096432620636e-05,12475
ring:builtup,2023-12-21,0.00011575102061381924,26073
ring:builtup,2023-12-26,0.03441911802182174,26086
ring:builtup,2023-12-28,0.0,26151
hall:technical_strip,2024-01-02,0.18938132169155833,1107
hall:technical_strip,2024-01-07,1.0,933
hall:technical_strip,2024-01-15,1.0,1107
hall:technical_strip,2024-01-27,0.0,322
hall:technical_strip,2024-01-27,0.0,413
hall:technical_strip,2024-01-30,0.18683011133623076,1107
hall:technical_strip,2024-02-04,1.0,1040
hall:technical_strip,2024-02-11,0.9779718073620642,1107
hall:technical_strip,2024-02-14,0.9567744236263243,1107
hall:technical_strip,2024-02-24,0.0,1107
hall:technical_strip,2024-02-26,,0
hall:technical_strip,2024-02-29,,0
hall:technical_strip,2024-03-17,0.0,1107
hall:technical_strip,2024-03-20,0.0,1107
hall:technical_strip,2024-03-22,0.0,1107
hall:technical_strip,2024-03-27,0.0,1107
hall:technical_strip,2024-11-02,,0
hall:technical_strip,2024-11-07,0.0,1107
hall:technical_strip,2024-11-10,0.0,1107
hall:technical_strip,2024-11-15,,0
hall:technical_strip,2024-11-17,0.00106511396719449,1033
hall:technical_strip,2024-11-20,0.0,1107
hall:technical_strip,2024-11-22,,0
hall:technical_strip,2024-11-25,1.0,822
hall:technical_strip,2024-11-27,1.0,1107
hall:technical_strip,2024-11-30,0.9802839642125147,1107
hall:technical_strip,2024-12-07,0.13747535985390308,1107
hall:technical_strip,2024-12-10,0.030833983219227756,1107
hall:technical_strip,2024-12-10,0.023764269730731712,1107
hall:technical_strip,2024-12-12,,0
hall:technical_strip,2024-12-15,0.006398434265497384,695
hall:technical_strip,2024-12-17,0.0,353
hall:technical_strip,2024-12-17,0.0,580
hall:technical_strip,2024-12-20,0.0,1107
hall:technical_strip,2024-12-22,,0
hall:technical_strip,2024-12-30,,0
ring:builtup,2024-01-02,0.021305956914667377,26151
ring:builtup,2024-01-07,1.0,189
ring:builtup,2024-01-15,1.0,26105
ring:builtup,2024-01-27,0.036515950879615226,18035
ring:builtup,2024-01-27,0.04177294730445823,16027
ring:builtup,2024-01-30,0.020928187441246946,26151
ring:builtup,2024-02-04,1.0,41
ring:builtup,2024-02-11,0.16910149713969788,21784
ring:builtup,2024-02-14,0.014481990345339776,7226
ring:builtup,2024-02-24,0.0005252310707751956,9565
ring:builtup,2024-02-26,0.0,7630
ring:builtup,2024-02-29,,0
ring:builtup,2024-03-17,7.694186559281965e-05,26151
ring:builtup,2024-03-20,3.8470932796409825e-05,26151
ring:builtup,2024-03-22,0.0,26151
