d,hall:hall_north,hall:hall_south,ring:builtup
2018-11-01,,0.0,0.0
2018-11-03,,0.0,0.0
2018-11-05,0.0,0.0,0.00438369786045674
2019-02-06,1.0,1.0,0.9942791785671679
2019-02-11,1.0,0.9997314983968875,0.9896353682960465
2019-02-19,0.991960796650099,0.9884250503878177,0.9606928802440299
2019-02-21,0.998692600257285,1.0,0.9984966963639317
2019-02-26,1.0,1.0,0.9996983647822548
2019-02-28,0.9986717837943644,0.9101568369403584,0.9580715975064897
2019-03-03,0.9981754376153459,1.0,0.9994428887637686
2019-03-05,0.9986717837943644,1.0,0.9986742425817894
2019-03-10,1.0,1.0,1.0
2019-03-11,1.0,1.0,0.9999211282800583
2019-03-16,,1.0,1.0
2019-03-21,,,1.0
2019-03-25,1.0,1.0,0.998629190517903
2019-03-26,0.9998881502142624,1.0,0.9982608442252743
2019-03-30,0.9998881502142624,0.9511147495116657,0.9051911120290697
2019-11-01,,1.0,0.9996180413881365
2019-11-03,0.895476375228069,1.0,0.9906230722182904
2019-11-05,0.8979790141839512,0.9984492446909435,0.9781990852405105
2019-11-15,0.9848024103628829,1.0,0.9997595482398617
2020-02-03,1.0,1.0,0.9995099996579605
2020-02-06,1.0,1.0,1.0
2020-02-08,1.0,1.0,0.999972486985535
2020-02-14,0.9998811596026538,1.0,1.0
2020-02-19,1.0,1.0,1.0
2020-02-23,0.9341547032354833,1.0,0.8764712747948474
2020-02-26,1.0,1.0,0.978910323054541
2020-02-28,0.9998811596026538,1.0,0.999147699587919
2020-03-07,0.9998881502142624,1.0,0.9988138994242528
2020-03-09,0.9973855112583802,0.9909742335611363,0.9888596138314685
2020-03-10,1.0,1.0,0.9990007743225605
2020-03-14,0.9927577263734805,0.9999635384382991,0.9970572209124143
2020-03-15,0.9927577263734805,0.9928239457417761,0.9891053913297616
2020-03-19,1.0,,0.9999199421741801
2020-03-20,0.9627600081598775,0.9864250814754176,0.9778107558836011
2020-03-25,1.0,,1.0
2020-03-27,1.0,0.9758911211924819,0.978155621507801
2020-03-29,,,1.0
2020-03-30,0.810383643111251,0.9416453697056711,0.9518510600884914
2020-11-04,0.005664023455720665,0.006219837456311797,0.003688367734165304
2021-01-28,,,1.0
2021-02-03,1.0,1.0,0.9997510995138307
2021-02-05,0.9982173940398046,1.0,0.9975266052455781
2021-02-07,,,1.0
2021-02-08,0.9145356436639073,,0.9630171456215733
2021-02-10,0.9560857619237725,0.9973575540276576,0.9934148486816626
2021-02-13,0.98039133443785,1.0,0.9572097630518696
2021-02-15,0.8637879328062416,0.9797412475453748,0.9813524256047732
2021-02-17,0.9991682281431379,1.0,0.9999464227691045
2021-02-22,,,1.0
2021-02-25,1.0,1.0,0.9999433346995967
2021-03-02,0.8922061754779846,0.9853007466205188,0.9774754700827155
2021-03-04,0.9446203748365948,0.9889639021155111,0.9890682940148403
2021-03-05,0.9789803457509353,0.9979318556894858,0.9951653709258221
2021-03-07,1.0,1.0,0.9987147544508977
2021-03-09,1.0,1.0,1.0
2021-03-10,0.9998848664090554,1.0,0.9991833605133269
2021-03-17,,,1.0
2021-03-22,1.0,1.0,0.9998085647385258
2021-03-25,0.8824318939664036,0.9940156370626364,0.9645015418322619
2021-03-30,,,1.0
2021-11-07,0.24379772696426147,0.1061794050135224,0.16714879101781296
2021-11-10,,,0.009381426131676883
2022-02-12,1.0,1.0,1.0
2022-02-22,1.0,1.0,1.0
2022-02-28,1.0,1.0,1.0
2022-03-04,1.0,1.0,0.9994480140566235
2022-03-12,1.0,1.0,0.999579439281237
2022-03-15,1.0,1.0,0.9794697306576603
2022-03-17,1.0,1.0,0.986680870498948
2022-03-22,1.0,1.0,0.9956348467308376
2022-03-29,1.0,1.0,1.0
2022-11-12,0.0037000224903327855,0.014533452847883193,0.00820322097585928
2022-11-15,0.0,0.9563890100305276,0.5127279190049733
2023-01-28,0.9998881502142624,1.0,0.9979707710418954
2023-01-31,1.0,1.0,1.0
2023-02-03,1.0,1.0,1.0
2023-02-10,1.0,1.0,0.9962761335221351
2023-02-13,1.0,1.0,0.9990027203572477
2023-02-15,0.9998881502142624,1.0,0.9989512710619471
2023-02-17,0.9998879716568291,1.0,0.9997369559552862
2023-02-22,1.0,1.0,0.9999737149550774
2023-02-23,1.0,1.0,1.0
2023-03-07,1.0,1.0,0.9974467265454969
2023-03-12,1.0,1.0,0.9952360586325086
2023-03-19,1.0,1.0,0.9994218076032678
2023-03-20,1.0,1.0,0.9999474299101546
2023-03-25,1.0,,0.9927158205949461
2023-03-27,1.0,1.0,1.0
2023-03-29,1.0,1.0,1.0
2023-03-30,1.0,1.0,1.0
2023-11-02,1.0,1.0,0.9768892343583997
2023-11-17,1.0,1.0,1.0
2024-01-29,1.0,1.0,0.9940886480147987
2024-02-10,1.0,1.0,0.9987090127031291
2024-02-12,1.0,1.0,0.9999737142641556
2024-02-17,,,0.9940625181908144
2024-02-18,0.9998881502142624,1.0,0.9999737149550774
2024-02-20,0.9998881502142624,1.0,1.0
2024-02-27,1.0,1.0,0.9998947962187286
2024-03-09,1.0,1.0,0.9973452104628086
2024-03-11,1.0,1.0,0.9982914720800253
2024-03-14,1.0,1.0,0.9964395135550448
2024-03-16,1.0,1.0,1.0
2024-03-18,1.0,1.0,0.999823498406929
2024-03-19,1.0,1.0,0.9999728564065586
2024-03-21,1.0,1.0,0.9999324512079181
2024-03-26,1.0,1.0,1.0
2024-11-08,,,0.0
2024-11-14,0.0035652119203909162,0.006606114930855997,0.048150137505187776
2025-02-11,1.0,1.0,0.9995273007016341
2025-02-12,1.0,1.0,0.9997107124271134
2025-02-19,1.0,1.0,1.0
2025-03-04,1.0,1.0,0.9946432982675689
2025-03-09,1.0,1.0,0.998817172978479
2025-03-11,1.0,1.0,0.9998422897304639
2025-03-13,,,0.0
2025-03-14,1.0,1.0,0.9996608021515181
2025-03-21,0.9377482094973014,1.0,0.9931315083094994
2025-03-23,0.9487817657846475,1.0,0.9928416239869433
2025-03-25,1.0,1.0,0.9972661397491219
2025-03-26,,1.0,0.9719172984829307
2025-11-09,0.03276499660955338,0.4248690434863707,0.19404054524572942
2026-02-04,1.0,1.0,0.9994209375361914
2026-02-06,1.0,1.0,0.9993428566038891
2026-02-07,0.9999440751071311,1.0,1.0
2026-02-09,1.0,1.0,0.9999474299101546
2026-02-11,1.0,1.0,1.0
2026-02-14,1.0,1.0,0.9998684606773254
2026-02-16,1.0,1.0,0.999575761978624
2026-02-22,1.0,1.0,1.0
2026-02-24,1.0,1.0,1.0
2026-03-01,,,0.9886304284131008
2026-03-04,1.0,1.0,0.9956674736808235
2026-03-09,1.0,1.0,0.999579439281237
2026-03-11,1.0,1.0,0.9998422897304639
2026-03-14,0.9186938499915599,1.0,0.9989238044146996
2026-03-19,,,0.3235294117647059
2026-03-23,0.46612000083887367,0.892980938120133,0.7690858254691548
