d,hall:technical_strip,ring:builtup
2018-11-02,0.0,5.683065467799861e-05
2018-11-07,0.0009993220285845292,7.708123878921388e-05
2018-11-09,0.0,3.8545076047923436e-05
2018-11-12,0.0,0.00011559067363071505
2018-11-14,0.0009993220285845292,0.0
2018-11-19,0.005176879999059464,0.00019255467344539645
2018-12-04,1.0,1.0
2018-12-07,1.0,1.0
2018-12-14,1.0,1.0
2018-12-19,0.9123496608183467,0.006392137438846462
2018-12-22,0.9998706759727715,0.10661561191087446
2018-12-24,,0.0
2018-12-27,,1.0
2018-12-29,1.0,0.999679331097244
2019-01-01,1.0,0.990321260608361
2019-01-03,1.0,0.9983573666027948
2019-01-08,1.0,0.9995014450761103
2019-01-11,,0.25760181349175343
2019-01-13,1.0,0.6118994795394266
2019-01-26,1.0,0.9994998778736467
2019-01-28,1.0,0.9959240423868211
2019-01-31,1.0,0.8750038659515795
2019-02-07,1.0,1.0
2019-02-10,1.0,0.9979690939250998
2019-02-12,1.0,1.0
2019-02-15,,0.12143326243448535
2019-02-17,1.0,0.9455443652173027
2019-02-20,1.0,0.735156688844372
2019-02-22,1.0,0.9963159212290059
2019-02-25,1.0,0.7747747747747747
2019-03-04,1.0,0.18752075355957948
2019-03-17,0.0,0.0021188357930209383
2019-03-19,0.0,0.000770426382662324
2019-11-02,0.0,0.00015421596978939378
2019-11-04,0.0,3.8470932796409825e-05
2019-11-07,0.0,7.703670315537797e-05
2019-11-09,0.0029979660857535877,3.8481295675788866e-05
2019-11-12,0.0,0.00011562631449359972
2019-11-14,0.0,0.0
2019-11-17,0.0,7.694186559281965e-05
2019-11-24,0.014170778256320227,0.0001538837311856393
2019-12-04,1.0,0.32702458719593264
2019-12-17,1.0,0.8589253530483442
2019-12-19,1.0,0.6687076647259435
2019-12-24,0.007994576228676234,0.0005002760950575887
2019-12-27,0.9825882832431331,0.05451506585739607
2020-01-03,1.0,0.9998832458389351
2020-01-06,1.0,0.8357823528097578
2020-01-11,1.0,0.7957452542271197
2020-01-16,,1.0
2020-01-18,1.0,1.0
2020-02-05,1.0,1.0
2020-02-10,,0.26905829596412556
2020-02-17,1.0,0.9741820273382675
2020-02-20,0.06851827644242557,0.00535871895095196
2020-02-25,0.0009993220285845292,0.0002708208922615317
2020-02-27,0.0019986440571690585,0.00023122589318935445
2020-03-11,0.0,3.9000402851220006e-05
2020-03-21,0.0,7.713474956766724e-05
2020-03-31,0.0009993220285845292,8.149912364471744e-05
2020-11-01,0.0,0.00011541279838922948
2020-11-03,0.0,3.8958824647399685e-05
2020-11-11,0.8375563955615167,0.021304662570187833
2020-11-21,0.0,3.8531709178978394e-05
2020-11-23,,0.5676037483266398
2020-11-26,0.0019986440571690585,0.00012127497570933568
2020-11-28,0.07237050941910005,0.00011541279838922948
2020-12-01,0.0019986440571690585,7.703670315537797e-05
2020-12-03,0.004996610142922646,7.709312365616097e-05
2020-12-06,0.0009993220285845292,0.00011563968548424145
2020-12-08,0.0029979660857535877,0.00011560403637915454
2020-12-13,1.0,0.20512820512820512
2020-12-18,1.0,0.9994229360080539
2020-12-21,1.0,0.39116293893609205
2020-12-23,1.0,0.975379897532521
2021-01-02,1.0,0.5606071761460173
2021-01-05,1.0,0.4748813445029437
2021-01-07,0.8063940934189746,0.12962353280576291
2021-01-10,0.5188944755399553,0.08022920563683852
2021-01-12,,0.14285714285714285
2021-01-15,0.34673339263950365,0.016476969155578718
2021-01-17,0.2514255034819516,0.009119014340700612
2021-01-20,0.13515928409353659,0.001538837311856393
2021-01-25,1.0,1.0
2021-01-30,,0.14649618000837805
2021-02-01,0.0,0.00016443537004809722
2021-02-06,0.6330221531148569,0.010417324016149409
2021-02-21,1.0,0.7208911656104613
2021-02-26,0.9346210935282143,0.0595954062490147
2021-03-01,0.9998706759727715,0.049748270321829505
2021-03-03,0.7232779330101539,0.01100122686667257
2021-03-06,0.0,0.0001538837311856393
