name,d,snow,n
hall:NAO_1_NAO_2,2018-11-11,0.006469895246282673,715
hall:NAO_3,2018-11-11,0.0,397
hall:NAO_5_NAO_6,2018-11-11,0.0,657
hall:LCO_1,2018-11-11,0.0,388
hall:LCO_2,2018-11-11,0.0,321
ctrl:ctrl_newalbany_dsv:roof,2018-11-11,0.0,1235
ctrl:ctrl_newalbany_af:roof,2018-11-11,0.01659138158660145,836
hall:NAO_1_NAO_2,2018-12-11,0.880078636959371,707
hall:NAO_3,2018-12-11,0.8604847085978072,397
hall:NAO_5_NAO_6,2018-12-11,0.0,628
hall:LCO_1,2018-12-11,1.0,388
hall:LCO_2,2018-12-11,1.0,321
ctrl:ctrl_newalbany_dsv:roof,2018-12-11,0.5793979362569692,1235
ctrl:ctrl_newalbany_af:roof,2018-12-11,0.07160110859670983,830
hall:NAO_1_NAO_2,2018-12-26,0.028910752380042655,715
hall:NAO_3,2018-12-26,0.0,397
hall:NAO_5_NAO_6,2018-12-26,0.0,657
hall:LCO_1,2018-12-26,0.0,388
hall:LCO_2,2018-12-26,0.0,321
ctrl:ctrl_newalbany_dsv:roof,2018-12-26,0.0,1235
ctrl:ctrl_newalbany_af:roof,2018-12-26,0.018058302519563165,836
ring:builtup,2018-11-11,5.9341988110192714e-05,16957
ring:builtup,2018-12-11,0.24450632198431693,16927
ring:builtup,2018-12-26,0.00035605192866115624,16957
hall:NAO_1_NAO_2,2019-01-05,0.03224802836263656,631
hall:NAO_3,2019-01-05,0.0,397
hall:NAO_5_NAO_6,2019-01-05,0.0,657
hall:LCO_1,2019-01-05,0.0,388
hall:LCO_2,2019-01-05,0.0,321
ctrl:ctrl_newalbany_dsv:roof,2019-01-05,0.0,1235
ctrl:ctrl_newalbany_af:roof,2019-01-05,0.023262414223015095,832
hall:NAO_1_NAO_2,2019-01-25,0.8964135612216307,317
hall:NAO_3,2019-01-25,1.0,136
hall:NAO_5_NAO_6,2019-01-25,,0
hall:LCO_1,2019-01-25,,0
hall:LCO_2,2019-01-25,,0
ctrl:ctrl_newalbany_dsv:roof,2019-01-25,0.6372841205974284,982
ctrl:ctrl_newalbany_af:roof,2019-01-25,1.0,293
hall:NAO_1_NAO_2,2019-02-04,0.013869519533861872,715
hall:NAO_3,2019-02-04,0.058107328332371595,397
hall:NAO_5_NAO_6,2019-02-04,0.0,657
hall:LCO_1,2019-02-04,2.3109632094657054e-05,388
hall:LCO_2,2019-02-04,0.007082644742872221,321
ctrl:ctrl_newalbany_dsv:roof,2019-02-04,0.39386256494345584,955
ctrl:ctrl_newalbany_af:roof,2019-02-04,0.033124971250121385,828
hall:NAO_1_NAO_2,2019-02-09,0.01356049376150813,683
hall:NAO_3,2019-02-09,0.0,397
hall:NAO_5_NAO_6,2019-02-09,0.0,589
hall:LCO_1,2019-02-09,0.0,388
hall:LCO_2,2019-02-09,0.0,321
ctrl:ctrl_newalbany_dsv:roof,2019-02-09,0.0,1235
ctrl:ctrl_newalbany_af:roof,2019-02-09,0.016855389402714152,832
hall:NAO_1_NAO_2,2019-03-11,0.004871525456108508,715
hall:NAO_3,2019-03-11,0.0,397
hall:NAO_5_NAO_6,2019-03-11,0.0,657
hall:LCO_1,2019-03-11,0.0,388
hall:LCO_2,2019-03-11,0.0,321
ctrl:ctrl_newalbany_dsv:roof,2019-03-11,0.0,1235
ctrl:ctrl_newalbany_af:roof,2019-03-11,0.0,836
