rank,lat,lon,area_ha,early_db,late_db,rise_db
1,41.49981,103.12331,218.4,-12.8,0.0,12.4
2,41.49823,103.13461,8.5,-16.3,-3.0,12.2
3,41.51408,103.10999,7.0,-15.7,-3.2,11.3
4,41.52536,103.11176,5.8,-15.0,-4.8,8.7
5,41.50521,103.14354,3.5,-15.5,-3.6,10.9
6,41.50932,103.146,3.3,-14.9,-2.5,11.2
7,41.50139,103.13652,3.1,-14.3,-3.7,9.9
8,41.51257,103.14179,3.0,-17.5,-4.9,11.5
9,41.51114,103.15363,2.6,-15.5,-6.8,7.5
10,41.5119,103.14383,2.5,-15.3,-5.7,8.9
11,41.48457,103.12776,1.9,-16.4,-4.7,9.4
12,41.50658,103.1089,1.6,-16.4,-4.5,10.4
13,41.51243,103.13827,1.6,-18.4,-2.1,14.9
14,41.50957,103.13991,1.4,-16.7,-5.6,9.0
15,41.48985,103.12779,1.3,-7.5,-0.5,5.8
16,41.5035,103.14179,1.2,-14.9,-5.9,7.3
17,41.50399,103.13895,1.1,-15.6,-4.6,9.7
