rank,lat,lon,area_ha,early_db,late_db,rise_db
1,34.95785,117.24027,81.8,-11.0,-0.3,10.2
2,34.99015,117.27752,10.6,-6.1,2.1,7.7
3,34.97272,117.24947,10.0,-10.1,-0.4,9.0
4,34.93194,117.25637,7.9,-9.0,-2.5,6.0
5,34.96167,117.24641,6.5,-6.2,2.5,8.1
6,34.99298,117.28241,4.6,-11.4,-5.0,5.7
7,34.96708,117.26342,4.3,-10.5,-1.9,8.0
8,34.97234,117.27364,4.0,-9.8,-0.3,8.5
9,34.99092,117.28231,3.8,-7.8,0.1,6.8
10,34.95617,117.25529,3.7,-8.8,3.6,11.4
11,34.95757,117.2468,2.9,-10.8,-2.9,6.6
12,34.98532,117.28281,2.8,-8.2,-0.8,6.3
13,34.99198,117.27027,2.5,-8.4,0.5,8.1
14,34.96817,117.25565,2.4,-10.4,-1.8,7.3
15,34.9773,117.25584,2.3,-10.2,0.4,9.5
16,34.97766,117.25269,2.3,-9.5,-1.0,7.7
17,34.96693,117.27119,2.0,-8.7,-1.1,6.9
18,34.978,117.24323,1.5,-5.9,5.1,9.8
19,34.99318,117.2748,1.3,-7.8,1.0,7.1
20,34.96052,117.25004,1.2,-10.8,-3.1,6.3
21,34.97955,117.25721,1.2,-9.3,0.3,7.7
22,34.92942,117.25048,1.2,-7.4,1.0,6.4
23,34.98626,117.28103,1.2,-7.4,2.8,8.9
24,34.9707,117.27393,1.2,-8.9,-2.0,5.9
25,34.96949,117.2554,1.1,-10.0,-0.3,8.4
26,34.99257,117.24264,1.1,-7.2,-0.9,5.2
27,34.98708,117.26587,1.0,-10.5,-3.6,5.3
