rank,lat,lon,area_ha,early_db,late_db,rise_db
1,40.46735,118.56862,6.7,-10.8,-4.2,6.2
2,40.43297,118.57085,5.2,-5.0,2.2,6.2
3,40.47423,118.56915,4.6,-12.3,-4.9,6.7
4,40.4706,118.56433,4.5,-12.0,-6.1,5.3
5,40.44183,118.56047,3.7,-10.0,1.4,10.3
6,40.43178,118.5741,3.7,-10.8,-0.5,9.3
7,40.47412,118.56578,3.4,-3.7,6.8,9.2
8,40.45917,118.56823,3.0,-11.6,-1.3,8.8
9,40.47791,118.59045,2.8,-15.5,-6.6,8.4
10,40.44369,118.55853,2.7,-12.3,-0.8,10.0
11,40.45822,118.5353,2.6,-7.2,1.7,7.9
12,40.43765,118.59945,2.5,-6.5,2.1,7.0
13,40.43664,118.59823,2.4,-7.1,1.2,7.4
14,40.46267,118.55562,2.1,-9.1,-2.8,5.9
15,40.44571,118.53983,1.9,-9.8,1.1,9.2
16,40.45122,118.55885,1.5,-7.0,0.0,5.8
17,40.46263,118.54625,1.5,-12.4,-2.4,8.3
18,40.46693,118.57593,1.3,-11.7,0.1,10.2
19,40.46673,118.55958,1.3,-15.0,-7.0,7.5
20,40.45982,118.54401,1.2,-6.6,0.0,5.7
21,40.42242,118.59155,1.2,-14.0,-4.8,7.5
22,40.43128,118.56305,1.2,-10.7,-0.5,8.8
23,40.45141,118.56176,1.0,-5.6,2.1,6.5
24,40.47747,118.58722,1.0,-10.4,-4.4,5.7
