rank,lat,lon,area_ha,early_db,late_db,rise_db
1,39.60594,106.79595,8.8,-12.7,-3.5,7.9
2,39.60441,106.75341,7.1,-13.5,-7.4,5.7
3,39.64072,106.79424,4.2,-11.0,-2.6,7.4
4,39.65887,106.80319,3.9,-11.4,-4.5,6.5
5,39.63675,106.78256,2.9,-10.4,1.9,11.5
6,39.6346,106.78771,2.8,-13.2,-4.6,7.4
7,39.65202,106.83206,2.8,-11.0,-5.6,5.0
8,39.6347,106.78085,2.3,-11.6,-2.8,7.6
9,39.63879,106.78216,2.2,-12.5,-5.5,5.6
10,39.63718,106.77979,1.8,-11.4,-2.5,7.3
11,39.63795,106.78637,1.8,-12.0,-2.9,7.3
12,39.64122,106.79072,1.6,-11.0,-2.8,6.9
13,39.62141,106.75351,1.4,-16.1,-7.4,8.2
14,39.60755,106.75226,1.4,-15.0,-7.5,7.0
15,39.63259,106.78863,1.3,-11.2,-1.8,7.4
16,39.63073,106.79321,1.2,-14.2,-2.0,10.7
17,39.63299,106.78542,1.2,-10.9,-3.4,5.7
18,39.63255,106.78762,1.2,-11.8,-4.0,6.8
19,39.64188,106.79745,1.2,-10.7,-2.6,6.4
20,39.65376,106.83112,1.1,-10.9,-5.2,5.3
21,39.65351,106.82675,1.0,-12.6,-4.8,6.7
