rank,lat,lon,area_ha,early_db,late_db,rise_db
1,37.28378,118.73174,87.8,-11.5,-0.0,10.6
2,37.29884,118.7353,4.8,-7.5,0.7,7.2
3,37.28254,118.75229,4.7,-12.5,-2.3,9.4
4,37.29159,118.7533,4.7,-13.7,-2.5,10.6
5,37.27744,118.73268,4.1,-11.2,-3.4,6.7
6,37.26025,118.76028,3.8,-13.4,1.8,14.4
7,37.2758,118.73562,3.6,-11.1,1.0,11.2
8,37.28932,118.7326,2.2,-6.7,1.3,6.8
9,37.31006,118.74813,2.2,-14.7,-3.8,9.3
10,37.30589,118.74899,1.8,-14.1,-1.9,10.0
11,37.28772,118.75577,1.5,-12.3,-2.0,7.8
12,37.29882,118.7231,1.5,-14.5,-2.1,9.9
13,37.30139,118.74623,1.4,-12.2,-3.0,7.6
14,37.3063,118.74693,1.4,-12.7,-5.6,5.5
15,37.30654,118.75235,1.4,-13.6,-3.0,8.8
16,37.29805,118.732,1.2,-6.9,4.0,8.9
