rank,lat,lon,area_ha,early_db,late_db,rise_db
1,40.96557,121.531,125.1,-12.1,1.3,12.9
2,40.95902,121.52469,13.4,-11.7,-3.6,7.4
3,40.95289,121.54683,6.5,-12.4,-3.9,8.2
4,40.98363,121.5237,2.0,-4.6,3.0,6.7
5,40.94265,121.48576,2.0,-9.2,-1.2,7.2
6,40.96983,121.50296,1.7,-13.4,-6.9,5.8
7,40.9554,121.51336,1.7,-12.7,0.9,10.4
8,40.95815,121.53084,1.4,-16.9,-4.7,10.2
9,40.93616,121.52168,1.1,-12.2,-1.4,9.1
10,40.9479,121.51141,1.1,-11.7,-5.3,6.2
11,40.98196,121.5279,1.0,-4.7,4.6,8.3
12,40.96483,121.52195,1.0,-11.6,-4.0,6.4
