rank,lat,lon,area_ha,early_db,late_db,rise_db
1,34.35765,107.36543,4.8,-10.6,-2.8,6.9
2,34.33436,107.37185,3.9,-10.4,-1.2,8.8
3,34.33522,107.37825,2.4,-12.3,-3.4,8.2
4,34.33718,107.36717,1.9,-16.2,-6.2,8.8
5,34.36299,107.39656,1.7,-12.5,-6.9,5.1
6,34.31782,107.3837,1.6,-11.7,-6.3,5.1
7,34.3186,107.38833,1.5,-9.2,0.2,7.8
8,34.3618,107.38056,1.3,-10.3,-4.2,5.1
9,34.3614,107.36976,1.2,-11.5,0.9,10.5
10,34.33253,107.38027,1.2,-10.1,-3.8,5.7
11,34.33534,107.38029,1.2,-12.2,-5.8,5.7
12,34.34542,107.38079,1.2,-10.6,-3.8,5.1
13,34.33924,107.36988,1.2,-15.1,-6.3,7.4
