rank,lat,lon,area_ha,early_db,late_db,rise_db
1,27.7024,102.81395,4.7,-9.7,-0.3,8.4
2,27.72143,102.80204,2.9,-10.1,-2.3,6.6
3,27.72685,102.77484,2.9,-9.8,-3.1,6.0
4,27.72095,102.78541,2.8,-12.9,-4.8,7.3
5,27.71757,102.80905,2.1,-8.0,-2.2,5.1
6,27.7097,102.79437,2.0,-8.9,-1.1,6.8
7,27.70902,102.8011,1.9,-10.0,-1.3,7.5
8,27.70487,102.80214,1.4,-8.0,-2.1,5.1
9,27.70852,102.79328,1.4,-9.1,-2.2,5.9
10,27.72292,102.79069,1.2,-7.6,0.6,6.8
11,27.70696,102.81883,1.1,-7.0,-0.2,5.4
12,27.6985,102.77109,1.1,-8.3,-0.7,5.9
