rank,lat,lon,area_ha,early_db,late_db,rise_db
1,28.86193,105.57831,18.1,-9.3,-1.1,7.7
2,28.87144,105.58109,12.0,-9.8,0.1,9.4
3,28.86244,105.57131,4.8,-6.5,1.6,7.0
4,28.86598,105.56989,3.9,-8.7,-1.7,6.5
5,28.8723,105.58442,2.4,-10.3,-2.7,6.7
6,28.8786,105.55059,2.0,-10.6,-3.3,6.5
7,28.86874,105.58364,1.9,-10.5,-1.6,7.4
8,28.87356,105.57874,1.7,-9.9,-3.7,5.1
9,28.85864,105.58168,1.4,-9.6,-3.7,5.2
10,28.87349,105.59298,1.3,-8.4,-2.8,5.2
11,28.86002,105.5722,1.2,-8.8,-1.1,6.7
12,28.87301,105.57685,1.1,-7.8,-1.1,5.2
