rank,lat,lon,area_ha,early_db,late_db,rise_db
1,28.75348,104.84851,143.3,-11.0,-2.0,8.7
2,28.74037,104.82852,43.5,-10.7,-0.8,9.3
3,28.75911,104.83468,10.2,-10.5,-1.7,7.9
4,28.76432,104.84375,9.2,-9.7,-0.2,8.8
5,28.74313,104.82094,5.0,-10.9,0.4,10.4
6,28.74607,104.81953,3.8,-12.4,-1.2,10.2
7,28.74701,104.83864,3.0,-5.2,1.5,5.7
8,28.75163,104.86467,2.9,-9.7,0.1,8.4
9,28.74236,104.82339,2.0,-11.5,-4.1,6.3
10,28.74589,104.85353,1.8,-9.3,-2.1,5.8
11,28.75983,104.85276,1.8,-10.6,-0.4,8.6
12,28.74426,104.84812,1.4,-14.4,-4.0,9.4
