model,site_id,n_frames,truth_mw,thermal_mw,thermal_lo_mw,thermal_hi_mw,thermal_identified,thermal_raw_mw,const_mw,geometry_mw,thermal_abs_log_err,const_abs_log_err,geometry_abs_log_err,slope,slope_se,converged
all_frames,colossus_memphis,80,0.5,,,,False,2812.138038351925,7.587129093319956,5.926286956964161,,2.719600451839002,2.4725450519213545,-0.0035262913280392,0.007822473034609088,True
all_frames,fairwater_wi,33,0.5,,,,False,1311.912840237843,7.587129093319956,4.662728057646397,,2.719600451839002,2.2327478775017973,0.011440260440012805,0.008335560173187272,True
all_frames,nsa_utah,301,50.0,,,,False,361.7943666162853,4.548364396581939,4.1591181865722175,,2.3972553103699887,2.4867199280063974,0.010069964155308824,0.008680108995895495,True
all_frames,nscc_guangzhou,37,18.5,,,,False,130.51611512747274,5.079638866918397,14.580207937950963,,1.2925305622101366,0.2381057437432604,0.010926408967988625,0.007882394449876809,True
all_frames,nscc_wuxi,41,15.4,,,,False,174.48501375300202,5.184214345598564,15.352095439629954,,1.0887492036938082,0.003115533978040098,0.010903918852869695,0.008066307883728769,True
all_frames,ornl_olcf,193,17.0,,,,False,-241.20503504773515,5.12758831808297,5.09735375635228,,1.198577908845622,1.2044918102897082,0.01015935560330461,0.008336366706894449,True
all_frames,prometheus_oh,20,217.39130434782612,,,,False,1356.8373407951149,3.863101526256632,1.3368442542715657,,4.030228610435479,5.091387173104355,0.010464482355676612,0.008053824892615363,True
all_frames,rainier_in,45,0.49999999999999994,652.6590994368083,-526.5825585760809,1831.9007574496977,True,652.6590994368083,7.587129093319956,3.329757737724247,7.1742021205894515,2.719600451839002,1.8960467304716238,0.03553318999227367,0.014887572338275437,True
all_frames,riken_kobe,139,12.66,,,,False,-46.27921042100449,5.298306307771693,71.44703658307176,,0.8710602118009712,1.7305090114053412,0.015712954378813645,0.007614275078153303,True
all_frames,stargate_abilene,143,0.5,,,,False,328.71256781532384,7.587129093319956,2.8428412868476385,,2.719600451839002,1.737951185728744,0.010133942518595788,0.008419104698290355,True
conditioned,colossus_memphis,31,0.5,,,,False,21702.950205790443,10.658986378360245,8.30238374288136,,3.059550508318877,2.809689852066578,-0.0005387235297904471,0.01369850255801463,True
conditioned,nsa_utah,125,50.0,,,,False,244.0461784793515,5.993988525192979,5.228858919853378,,2.121265950917726,2.2578299309163294,0.03007447309111157,0.016336337660167177,True
conditioned,nscc_guangzhou,12,18.5,18.7177563473619,-106.07846363855724,143.51397633328105,True,18.7177563473619,6.787200701051126,16.210524512685733,0.011701878542978633,1.0027321434058758,0.13211003950757683,0.03072135702022663,0.014547715131950714,True
conditioned,nscc_wuxi,9,15.4,98.039207452072,-42.156428093857876,238.23484299800188,True,98.039207452072,6.944597307969599,17.077290740657066,1.850999965283459,0.796403517908093,0.1033820446176918,0.030779188335635924,0.014712585292199248,True
conditioned,ornl_olcf,124,17.0,,,,False,3.03499399967704,6.8593196619850145,6.456997172659561,,0.9076050818743048,0.9680489682841269,0.029815137908638406,0.016125777059000757,True
conditioned,prometheus_oh,6,217.39130434782612,,,,False,1101.242117596232,4.988062502202678,1.7043935602935165,,3.7746514172340353,4.848489611134156,0.029087333763448762,0.014589591481708715,True
conditioned,rainier_in,9,0.49999999999999994,981.908759670549,-149.47237273044215,2113.28989207154,True,981.908759670549,10.658986378360245,5.803818821076947,7.582645571838638,3.059550508318877,2.451663298877722,0.05943638235825806,0.02520414165666125,True
conditioned,riken_kobe,61,12.66,,,,False,-7.547516943943755,7.116770229814743,68.59440410041323,,0.5759934136165956,1.6897635418082875,0.0544319876124521,0.015031066003378332,True
conditioned,stargate_abilene,18,0.5,,,,False,277.75186369740015,10.658986378360245,5.551487603841685,,3.059550508318877,2.4072131091310935,0.02869335846652958,0.015201671402830642,True
alt_log_it_mw,colossus_memphis,80,0.5,,,,False,8.379073503176614e-15,7.587129093319956,5.926286956964161,,2.719600451839002,2.4725450519213545,0.02163758641290579,0.02648959901914123,True
alt_log_it_mw,fairwater_wi,33,0.5,155329.4143556672,1.3387806198002326,18021792821.944763,True,155329.4143556672,7.587129093319956,4.662728057646397,12.646450575211396,2.719600451839002,2.2327478775017973,0.08429340689499351,0.02493949777237997,True
