ym,west_halls
2018-01,0.21215387187867787
2018-02,0.27599019434028244
2018-03,0.22919242567655998
2018-04,0.21784164461585462
2018-05,0.2370661441792099
2018-06,0.23249334013160855
2018-08,0.22858865612062673
2018-10,0.22273824534797668
2018-11,0.2181274954896073
2018-12,0.2123372017289035
2019-01,0.16026465403393575
2019-02,0.20739005354665482
2019-03,0.19551101964027914
2019-04,0.22744231611975516
2019-05,0.25514752865298396
2019-06,0.1981358188653844
2019-07,0.20225408602150607
2019-08,0.16763691608134745
2019-09,0.20156727772693667
2019-10,0.19704885239900682
2019-11,0.20052146139280513
2019-12,0.2313129704100763
2020-01,0.16163942135063034
2020-02,0.18255575125709284
2020-03,0.21350479120168928
2020-04,0.22147833071861328
2020-05,0.1914717404584541
2020-06,0.19184650334567288
2020-07,0.18164588391339445
2020-08,0.16858537449663882
2020-09,0.16672504643802594
2020-10,0.19362001714915372
2020-11,0.22257902065629576
2020-12,0.19333406558820707
2021-01,0.15718546477205442
2021-02,0.18016666163526215
2021-03,0.18710570967000334
2021-04,0.22962099080489928
2021-05,0.2496838049418234
2021-06,0.19147524076295735
2021-07,0.18177094678539515
2021-08,0.18498342999130307
2021-09,0.19642508759403543
2021-10,0.19088119636553874
2021-11,0.1909890024905827
2021-12,0.24440809263012792
2022-01,0.14863816542756753
2022-02,0.2997541666666667
2022-03,0.27140480393639566
2022-04,0.263974941801439
2022-05,0.2558139979953814
2022-06,0.24959865010676852
2022-07,0.22790599503203113
2022-08,0.21380311957990195
2022-09,0.2026475878364526
2022-10,0.2052542971194501
2022-11,0.18901218098226386
2022-12,0.25544860892033516
2023-01,0.2103059978210668
2023-02,0.21991683636205248
2023-03,0.2253436785636478
2023-04,0.2407369180720801
2023-05,0.23622443609186466
2023-06,0.21457504004880884
2023-07,0.1924205325314866
2023-08,0.19766631716564315
2023-09,0.19031039360265042
2023-10,0.18922592914106487
2023-11,0.19141824462200255
2023-12,0.23663878576956082
2024-01,0.3923214334658079
2024-02,0.1728977041931471
2024-03,0.19174787702683552
2024-04,0.2017214296857985
2024-05,0.21696491184032884
2024-06,0.2279889621301267
2024-07,0.19765721209744289
2024-08,0.18756998875670086
2024-09,0.17267312781627334
2024-10,0.17058341133917368
2024-11,0.17804794125593815
2024-12,0.24857119925758925
2025-01,0.24297951631940892
2025-02,0.23322100143988814
2025-03,0.21067232994423885
2025-04,0.24099128452521115
2025-05,0.2495047293328109
2025-06,0.24546999529350338
2025-07,0.21991631655554142
2025-08,0.21911169159346944
2025-09,0.23714017270231488
2025-10,0.21484110349936864
2025-11,0.22536515252538536
2025-12,0.2586642639493604
2026-01,0.26808423567350953
2026-02,0.23251563049548019
2026-03,0.22600903917723517
2026-04,0.29295114669904865
2026-05,0.2715815668279088
2026-06,0.2589698317862912
2026-07,0.25643359123197057
2026-08,0.23123628435089638
2026-09,0.23874378428552867
