ym,structure_north,structure_south
2018-01,0.07170169779714378,0.09605509812988444
2018-02,0.05815228482207719,0.07892733926755892
2018-03,0.0870427640764947,0.11422113746239251
2018-04,0.13806113832001968,0.13814545957049515
2018-05,0.2373846034374247,0.2210006247951039
2018-06,0.1665121951101432,0.12329931976385582
2018-07,0.13073496413307298,0.0751332735763042
2018-08,0.08090795653478407,0.05496197481066513
2018-09,0.10550937903655308,0.08237674989654872
2018-10,0.05688485896877278,0.09756734063699556
2018-11,0.052051008085209474,0.0790263843137256
2018-12,0.061005234083757125,0.07717436945741268
2019-01,0.06464142701525057,0.06989828857765334
2019-02,0.0656978079883806,0.07180121294740135
2019-03,0.09826558121520228,0.11356502624753624
2019-04,0.1616874028564516,0.15489850001037464
2019-05,0.07604227697893984,0.09888101606670517
2019-06,0.06117450994916503,0.08531798887731659
2019-07,0.05536444366712444,0.052851170643825975
2019-08,0.10638187613843349,0.07342792934568938
2019-09,0.1271468725732271,0.135417505840855
2019-10,0.08887733938513698,0.10802213237887778
2019-11,0.08949714964899563,0.09211447021475277
2019-12,0.06302294398450747,0.06371139649341233
2020-01,0.08076906889373027,0.06651621512605055
2020-02,0.10560784788186905,0.10599524759829893
2020-03,0.09871371303395397,0.11193072584292996
2020-04,0.11285807901234575,0.12193794856404239
2020-05,0.1988396122972647,0.18417961083099918
2020-06,0.15832583747970974,0.15004532349828859
2020-07,0.1743518219317361,0.055586229816371034
2020-08,0.1588241083514889,0.04990444129059035
2020-09,0.055727680513192976,0.10252533200539495
2020-10,0.13274582628903442,0.12770691623612426
2020-11,0.14761402743709218,0.11484369204274318
2020-12,0.09646885809731315,0.09790435887540225
2021-01,0.1059151662067296,0.11361558382050913
2021-02,0.08439339288307923,0.08128308915862653
2021-03,0.12779109455337725,0.15999312009601196
2021-04,0.19330090292907293,0.18675760423280477
2021-05,0.06331942469135815,0.07550026649749868
2021-06,0.05205410297133424,0.06120198095006229
2021-07,0.06178448968687013,0.054657331092437006
2021-08,0.09540374755166472,0.08955489108828737
2021-09,0.09498814052045687,0.137008604455828
2021-10,0.09726688627451,0.14750864222429746
2021-11,0.11563589132890802,0.14264053499325696
2021-12,0.10264057251874308,0.1376976673928833
2022-01,0.08770161457274286,0.0831372931216933
2022-02,0.11744848782377179,0.10362823618250978
2022-03,0.12601307891551716,0.1333392883494139
2022-04,0.19833110521244135,0.23225350999066352
2022-05,0.1974541603485843,0.2140738201058203
2022-06,0.1467951979665944,0.09704744600062261
2022-07,0.08156165973573205,0.07755915551405762
2022-08,0.05955336751391926,0.06390984713088045
2022-09,0.09740070244492868,0.11544385882352949
2022-10,0.1371331916243042,0.12556426235086632
2022-11,0.09414318086883877,0.08808779682539718
2022-12,0.09228425262648293,0.09237457545388554
2023-01,0.09763734543694039,0.10499620512501306
2023-02,0.10364428817745469,0.09475793912231575
2023-03,0.13313150292907305,0.11720387168793443
2023-04,0.13901915685300487,0.09890970930594468
2023-05,0.0647930970908154,0.05083587401182703
2023-06,0.05834903916727196,0.05434880253138297
2023-07,0.08317590839990326,0.07828627268388849
2023-08,0.17178150936819245,0.17431746131341463
2023-09,0.1525824267247643,0.16126211922398642
2023-10,0.1605780363108214,0.15656656101255312
2023-11,0.13181119283466478,0.12018651918248803
2023-12,0.10691072127814093,0.1046392535325246
2024-01,0.09961504100702032,0.09306538292354007
2024-02,0.11572964212055212,0.10621827363834435
2024-03,0.10596002096670391,0.09861405681087261
2024-04,0.12489034412975103,0.12139231082062485
2024-05,0.13049578985407,0.12993996207075423
2024-06,0.05932221878479797,0.04402803340595497
2024-07,0.043001258892563524,0.043228165079365125
2024-08,0.06903154708303089,0.06840979197012152
2024-09,0.14245349687726955,0.12688266114742214
2024-10,0.11798093212297284,0.10184492528270601
2024-11,0.06926230927136298,0.06384193492661291
2024-12,0.07879472030985257,0.08046658159560126
2025-01,0.09262963766642479,0.08056297981118389
2025-02,0.08739336712660394,0.09337498275754776
2025-03,0.09558339404502558,0.1067503801308724
2025-04,0.08966463834422672,0.10562367440605894
2025-05,0.15715204110840023,0.1393718613549127
2025-06,0.26303518174763485,0.22326872314383195
2025-07,0.25376792360032047,0.22204183662205668
2025-08,0.19803725446347992,0.19080308571428584
2025-09,0.20095064860808554,0.246752142753398
2025-10,0.25966602323892524,0.2556393103433969
2025-11,0.1951910170418788,0.21559699802884164
2025-12,0.18468464831759912,0.1555403989625481
2026-01,0.20036233899782174,0.06445854208942839
2026-02,0.09077826952311807,0.07310338873573405
2026-03,0.09639462411038506,0.08258803651831105
2026-04,0.10677265102880673,0.08928984301276056
2026-05,0.11037242212539354,0.12285137267795632
2026-06,0.13645356700203243,0.12253526704217275
2026-07,0.12903068360619496,0.11040324290901592
2026-08,0.12775744618736412,0.11722055624027403
2026-09,0.11910910438150585,0.11453400717916823
