ym,LCO_1,LCO_2,NAO_1_NAO_2,NAO_3,NAO_5_NAO_6
2018-01,0.1252652864259029,,,,0.14827771747124407
2018-03,0.12738306449127984,0.1296703320510506,0.22565054629464434,0.1575110459703788,0.11432562753982196
2018-04,0.12308038993652547,0.12524701209604622,0.269131404039439,0.12421501926894767,0.11380798565094613
2018-05,0.16946357883465818,0.1694297660875563,0.4077147990363082,0.20259220619349882,0.11395290534583635
2018-06,0.0751715030886564,0.06603169506668333,0.42682849400967193,0.13813203540628213,0.06285544322710311
2018-07,0.06615071543569362,0.05325493864022482,0.47599599579711505,0.18778554952875548,0.0662261279794257
2018-08,0.04985978346274726,0.0493525934978544,0.359244230592634,0.12882200259465604,0.04578899142618587
2018-09,0.060104443597091294,0.060997355349711374,0.3304131333779091,0.09883699211386801,0.05530435467419735
2018-10,0.10613269184846245,0.11149537498669113,0.2883954582311798,0.11555720427005192,0.09109641215830225
2018-11,0.06075335397793795,0.0590132658398952,0.29364981798112977,0.10519980150028847,0.12468067064017962
2018-12,0.05683948511739694,0.052777559126196104,0.3077751771717362,0.12731161260174126,0.13750616338631994
2019-01,0.07619629051888822,0.06824887719249523,0.41179833977761093,0.11607456818618972,0.11602496929663278
2019-02,0.09302170957355027,0.08954224033774488,0.29776745642989777,0.14994405779914566,0.14886489017525317
2019-03,0.10074287934461082,0.09737563523916659,0.31073844382883,0.13331081592613953,0.15145538505838846
2019-05,0.16932139272408694,0.18991295406465114,0.5049867721213582,0.2517025454895171,0.15182510783762715
2019-06,0.12118732630169093,0.1003172700802237,0.5418429305568816,0.24013326381544736,0.10740864481928376
2019-07,0.15392068711880066,0.14862616319709657,0.4262192461485048,0.19312096168735318,0.09914354617322702
2019-08,0.1317990332470575,0.13375484513079738,0.4919665692361578,0.2437126127021595,0.06137246503516723
2019-09,0.1133859618614039,0.10574182996097602,0.3695847471370495,0.18673388170802074,0.07304707456465984
2019-10,0.09544775205662906,0.10090757287485946,0.31255776560959125,0.17254020218504595,0.0691521177806611
2019-11,0.04697336075676338,0.04828974613579235,0.40122137421593873,0.1620242569724946,0.08295325097198422
2019-12,0.05471773741295377,0.055716977053156855,0.34857897793485493,0.22123765839584558,0.10108679096037358
2020-01,0.11707447849263587,0.1117737460709838,,0.43932581138912286,0.25113597648272407
2020-02,0.04114943959142175,0.039819692992810886,0.4024400091274766,0.1975196960954027,0.07865431223300784
2020-03,0.0481953736442349,0.04577210410099018,0.4422376652763194,0.14872913252548559,0.11246804336328212
2020-04,0.10658308282225414,0.14500793959194502,,,0.16793324497336454
