ym,epoch_building_000,epoch_building_003,epoch_building_004,epoch_building_006,epoch_building_007,epoch_building_008,epoch_building_009
2018-01,0.09645925115861964,0.11529779646512969,0.13752083200847304,0.09972896779973121,0.10397175301873955,0.09928140916239425,0.1473781208273584
2018-02,0.09389897213151792,0.10495780614302597,0.10512746948937664,0.052472582017428465,0.06075290181184083,0.061777740596298536,0.11907886834032379
2018-03,0.13302789672026788,0.13695262457163215,0.1372777110599616,0.11143725723007054,0.10173664695976214,0.11107577663843383,0.15159449800386438
2018-04,0.13860992117279003,0.14758127934895152,0.1442992617762724,0.11249863610402105,0.09695644594933535,0.10903131360324966,0.1662518199051213
2018-05,0.13527986945419943,0.14143407923789925,0.13455492729830867,0.10310293877517174,0.08589288186606471,0.10613518592306848,0.1603032270298535
2018-06,0.09138891524449094,0.10142855495255812,0.09257049678238796,0.0441195304927326,0.06468408482329481,0.05002883194519872,0.10856187594112361
2018-07,0.040877607322065475,0.0428651280799447,0.040973247350184525,0.034198647230795846,0.036022561280881125,0.03815667719949481,0.04677289014409426
2018-08,0.04137823403774668,0.04270065616323984,0.038764513386840796,0.042782449170879214,0.04501851839908276,0.04356251378143874,0.04636633678015102
2018-09,0.07179957334729839,0.0699892404404867,0.06983042588074018,0.05680790407936433,0.0653717421500831,0.06551319250994973,0.08449642872370747
2018-10,0.106129231956681,0.10882177388541793,0.10570609983350904,0.0538286792012381,0.08757320129707272,0.13325734271529033,0.09616844860203187
2018-11,0.08485659506157629,0.08932325657499061,0.08494558628452462,0.08558741329010577,0.09755006138999375,0.13588963865008907,0.1232708509215436
2018-12,0.09055992213385189,0.0976722006088381,0.1020578198307569,0.09365993996961733,0.09600099549727101,0.1425696056098978,0.12333196341652247
2019-01,0.08783864740996315,0.09134335572757099,0.089246722641485,0.1032052228565741,0.1029689554146214,0.12808922867432554,0.11867253950194229
2019-03,0.1201827832292596,0.1340338873804457,0.06999858946747552,0.10977610122428376,0.11136316850906783,0.17441404866617272,0.08382705154658804
2019-04,0.09859367978970282,0.10691596394280094,0.10568109163820341,0.11606457946738144,0.10894624213216772,0.1363260944636817,0.12288163095165965
2019-05,0.10965292992148086,0.1173851005794907,0.11583958220978337,0.12709676806421566,0.1159777475605242,0.1353025378416564,0.1190710578284647
2019-06,0.11873713949301408,0.1304882169045243,0.10478145892888822,0.12907732745116193,0.11923813835441377,0.12524225365604824,0.09651408425734553
2019-07,0.04299151315384142,0.040115042347397226,0.04092268331341789,0.03812357134562378,0.04603921004617754,0.07062276464476222,0.03893360027019084
2019-08,0.03818226370662451,0.035376385046451256,0.03561919446314583,0.032737401203451574,0.03271826567296093,0.03663856440310215,0.03350256815922411
2019-09,0.056728142306560154,0.05792875613512492,0.05770030566433677,0.07163876924681187,0.053067234464390246,0.062261281738447694,0.034176661033951165
2019-10,0.08538339289014843,0.09249097848146512,0.08902062796602511,0.11530092569551599,0.11387289494428329,0.11029518219708456,0.06879806541878832
2019-11,0.10616862964560275,0.09837213949866269,0.09422063072716742,0.12616811648703277,0.10815051094628982,0.08579773531880089,0.15204680539550738
2019-12,0.13824514286790024,0.1474287028323582,0.1401222679083583,0.08822451481563116,0.10079144182880079,0.09778917043378915,0.1877999688068742
2020-02,0.23031689692237436,0.21381339579530287,0.3222529413275791,0.0950106382781394,0.14578528488993814,0.12679681142986102,0.22086475267061312
2020-03,0.11561751791838658,0.12342909505581444,0.12410583781872106,0.08352063191872089,0.09725304453760436,0.09518169766168083,0.15889735026738577
2020-04,0.13125346541939625,0.13741202054043347,0.13355099260131342,0.10630030078956787,0.10746887216787904,0.10509493019363375,0.16269978737059915
2020-05,0.12230959087206233,0.1334936875137089,0.12977962882021676,0.10008552540211818,0.10922386350878457,0.10632673740159068,0.1762071254973508
2020-06,0.11076537695356628,0.11950827218845583,0.10931275812275222,0.0898618789296439,0.09715803725202146,0.09359862595569689,0.15499709140932336
2020-07,0.053092792940806016,0.05183446642987031,0.052914862187205675,0.04144644924908701,0.04523303205656488,0.044012267067239326,0.06847999959606024
2020-08,0.0648158393578892,0.058079621496551395,0.050464829508269915,0.06938922534026307,0.0717040671066447,0.0820683126817447,0.05779627524393218
2020-09,0.08213250398756837,0.08104506029580677,0.08070898364111254,0.06758506960490868,0.0841008478149225,0.11754725472090649,0.08828282403262033
2020-10,0.11340803537811733,0.12166113267200168,0.12185570140653759,0.09949272276770166,0.12058771829875678,0.12293406624728787,0.13917524623494482
2020-11,0.10669976861835032,0.10833245100744593,0.1071805970412304,0.13395763130016852,0.11003938896652227,0.10889618844780466,0.13367008870965932
2020-12,0.1086425495793371,0.11139282264093983,0.11024645510441243,0.11869609002661446,0.11383986617220268,0.11512021593075564,0.10518074980195731
2021-01,,,0.9045481481481483,,,,
2021-03,0.10321224063691571,0.1057038386246943,0.10582269647290504,0.109852628026551,0.10729338945798146,0.11606962476874234,0.10178260244770547
2021-04,0.1273880681001375,0.13373191196552775,0.14619767187576782,0.12694309003746101,0.13494054474661715,0.13702235537423252,0.12692323371730066
2021-05,0.1070365757569534,0.1091352330698857,0.10625751817947904,0.11060835869160793,0.10811698418670215,0.13516356510833571,0.1083565268810689
2021-06,0.10597435360318726,0.10995527007521348,0.10425467966635998,0.10186491682722958,0.10053309536768641,0.10638545623478679,0.07692411503603741
2021-07,0.04678397853216406,0.044491053272105945,0.04282865642811573,0.045484767379305235,0.045705083067588706,0.04750146876638194,0.0348618772875894
2021-08,0.0579045066368198,0.053843033501789206,0.05104141231845484,0.05250010427701661,0.04780520041324787,0.04743401887910186,0.04422706733002553
2021-09,0.07055388984727441,0.07541032151474197,0.0753175935880399,0.08485071725997911,0.07555019235133228,0.07445720836830125,0.05620483706640993
2021-10,0.1052541179772589,0.10951519671315325,0.10951241139376593,0.08937097911378755,0.1017586245774959,0.08161798598230824,0.06903495313176743
2021-11,0.1134858282162392,0.12473763188987443,0.12394417875092467,0.08276391008003273,0.1020700060188912,0.10318384063132517,0.15179913781302523
2021-12,0.11117259719056123,0.12751606663508605,0.14057216717063828,0.07680924972686534,0.09081049207543578,0.09321410996001331,0.13927827656857653
2022-02,0.13156569463122664,0.19444752175591296,0.15401158087994501,0.08016469707526681,0.10272165860475112,0.0880890641786028,0.1730294316461759
2022-03,0.11537369368629291,0.11827980697794546,0.1156771038436277,0.07809543171626845,0.10694564237774673,0.09380447646988323,0.12895919624964386
2022-04,0.12166449250063319,0.12951021490920825,0.12343389425647142,0.11095285849371836,0.0943560463950482,0.10537857143959917,0.1393660959895514
2022-05,0.09348209581801634,0.10536341219076728,0.09889599600781937,0.08361818265304442,0.085826537437147,0.08320046621813822,0.1323478375758229
2022-06,0.07759319375132637,0.08399291733589939,0.07914724884472632,0.06379586897118875,0.07326801509668321,0.07370860414301203,0.13429887974040144
2022-07,0.034829914806371896,0.033609635241619557,0.03464221915950828,0.034686643595376765,0.0343985167269818,0.03816450874830936,0.060517413394193614
2022-08,0.036767209181333395,0.03607449851766423,0.03638927807288707,0.034280474602621624,0.034827923011692796,0.03677955551480868,0.030665417370756128
2022-09,0.0629343884131189,0.06390704539933444,0.0634229553740643,0.05731169188274525,0.0557973351487573,0.06441609413457276,0.06487094281783887
2022-10,0.11084961031359745,0.09504992777854052,0.09398940438046438,0.08449948003687632,0.13944242001577123,0.14787632789598287,0.15782581309707341
2022-11,0.12793950944352028,0.10727621987079702,0.1542353326104837,0.19522001822477864,0.18960558619083467,0.178747844688769,0.16057437675461333
2022-12,0.10354329369724596,0.1068622667709137,0.10172124029340956,0.17508076645977166,0.16946905508378435,0.16401749590376852,0.1573390902603391
2023-01,0.08777500958385527,0.08534115256619798,0.08861340534627665,0.15280621413996345,0.14677621818529277,0.13794988804417585,0.12075296435680447
2023-02,0.1395641977970825,0.15616843043399298,0.15468645254464614,0.1962779960090342,0.1838204838940845,0.17796989310476452,0.16245745901359765
2023-03,0.1176704161789169,0.12504648484762718,0.12662046570484925,0.19862854936772006,0.191141874966354,0.17894170433789172,0.17227422785792984
2023-04,0.11458380687846983,0.12242691777930301,0.11555493275149602,0.16068244354229044,0.15272225811267573,0.1492212244734844,0.12008134752059535
2023-05,0.12143800974130439,0.13215975075060188,0.1260851687880467,0.16448073138477512,0.15432234344954457,0.14659409743036422,0.1288490537711142
2023-06,0.08234138291609336,0.08042141816020547,0.07443766715192277,0.13746620204145965,0.13174668631385344,0.12197833975095869,0.09952311904329118
2023-07,0.039097720411558144,0.037311407027946254,0.037239135139707925,0.04570329029536466,0.043389436860272114,0.04126421868351713,0.037704749433923344
2023-08,0.05601495920015885,0.0589400292825769,0.05323815182053282,0.04938784663220784,0.048134509631257726,0.0473704805797718,0.05054360417511229
2023-09,0.07137881831064016,0.06700267681950847,0.0740656082091701,0.118405684976362,0.10009724730315436,0.07980098885495943,0.06053172011574389
2023-10,0.14104923209359316,0.13457312491008103,0.1312034188907113,0.13096926624529276,0.1288874766801631,0.13341884174277935,0.0821362332841873
2023-11,0.10559164424729081,0.10657440211277058,0.105153683540184,0.0879294648930095,0.10833779724581097,0.1177477188045822,0.11896357024400203
2023-12,0.10995168042634465,0.11200273347673191,0.11160407368372825,0.08963586003654442,0.1207775675110778,0.12731352244170668,0.12004299916294713
2024-01,,0.26680651432469304,,0.08263570381644963,,,
2024-02,0.11301290038266959,0.11198082167630125,0.10949265512626652,0.09712672323694818,0.1166735609779402,0.12115714683667503,0.11182149498104846
2024-03,0.12654750340569149,0.12853308857693407,0.12412647782802663,0.10145158175199612,0.09959735990500768,0.0986248546631216,0.11076513629600714
2024-04,0.13195269751298944,0.13534548978171532,0.1331916899790527,0.13868269582157242,0.13200935761462862,0.13391777743866404,0.1440277325449751
2024-05,0.1208951611799095,0.12979076234749143,0.12067852782937764,0.10115823362320113,0.10442891668831498,0.10541729025710954,0.11638292964322344
