ym,epoch_building_001,epoch_building_002,epoch_building_006,epoch_building_007
2018-01,0.16224495255253255,0.13584406941006877,0.1311119099046248,0.13354370191379933
2018-02,0.15834563550070488,0.13165771865168951,0.1266996351208412,0.13115243860488135
2018-03,0.13247006892293503,0.13421415626331587,0.12675795623227826,0.1265993719952679
2018-04,0.13143386485451047,0.13306400440612504,0.12716977147276076,0.12669965516373421
2018-05,0.09443564037329234,0.09769269068276804,0.09724352461712132,0.09597998061869165
2018-06,0.09078551521102768,0.09093590651943316,0.09120940597139635,0.0904465369545336
2018-07,0.08999334798829098,0.09279039854579738,0.0963421624312241,0.09553826507924519
2018-08,0.09168982187159426,0.0913720879683774,0.09900274614899163,0.09783129242283133
2018-09,0.09634087394132822,0.09708643937951604,0.1009890634027537,0.1001840259424266
2018-10,0.10470523784549803,0.10550908377983878,0.1045129258775322,0.10414021495632912
2018-11,0.12437526343588083,0.12537706861343428,0.11780069598144045,0.11773092954768549
2018-12,0.1283189413466939,0.12722804779648428,0.1267823155826956,0.12609287464236868
2019-01,0.13165336543289785,0.13058195437937997,0.12893931895149466,0.12906826205878158
2019-02,0.1703552294765502,0.16443021663448193,0.17903975360657048,0.1811143270658713
2019-03,0.15687108670724947,0.14509571445408476,0.14044284063536078,0.14027991811187462
2019-04,0.141174043025478,0.14607230913467167,0.1334143009519746,0.13321024776192042
2019-05,0.11823103931173765,0.11851157877081808,0.11732884767517313,0.11728120684302817
2019-06,0.10184585048967648,0.10734275142564435,0.105358961983236,0.10579455771183097
2019-07,0.0999668399968757,0.09864675592243045,0.10205062709438857,0.10033316720783303
2019-08,0.09691445521868995,0.09894066010280955,0.1022219300818645,0.09969432572344296
2019-09,0.10441749426262123,0.10388630316134934,0.10168513595193024,0.10323849706763313
2019-10,0.11689519771174364,0.11335318401465078,0.11046757508688657,0.11127579937409282
2019-11,0.16865843678850867,0.1204274285817898,0.16036769218668404,0.15829961707268395
2019-12,0.17321105111983714,0.16017908272194398,0.1811951933912903,0.16186205752460378
2020-01,0.14788438105300225,0.15287909682919754,0.1291968978605015,0.13222844102125228
2020-02,0.15201695458824294,0.14128538227214615,0.13274143622836726,0.13537450057472702
2020-03,0.14334625033940734,0.1427298848151874,0.13066439783827988,0.13278112839487521
2020-04,0.15069998772554305,0.1518408586504202,0.14099349706230055,0.14261932928926804
2020-05,0.12865612997533954,0.10973489202273781,0.12720836866572452,0.1291524427999698
2020-06,0.12207936031482121,0.12062196897580257,0.12211813373865586,0.12187209343300862
2020-07,0.1315764317410016,0.12890462325817542,0.12795299014248507,0.12834873392232374
2020-08,0.13002868652153057,0.13053161666712,0.12589080557851787,0.12785620495523836
2020-09,0.13403432347285293,0.1298041620202899,0.13049786672355407,0.13226111488669068
2020-10,0.13620460106155455,0.12460831361456369,0.13088687412780106,0.13051749435760607
2020-11,0.13912490896444493,0.1348268270459924,0.13257164164511176,0.13410418502017837
2020-12,0.14029417595619875,0.13565717717881065,0.13589439748273377,0.13785429535100294
2021-01,0.19886125323848133,0.16651854334956168,0.14556325786867905,0.14506475202832522
2021-02,0.16746656623929235,0.19255008307027363,0.1482037794547701,0.14942796026412272
2021-03,0.15785199719543286,0.1480658742501928,0.13808153827009062,0.14083206138253324
2021-04,0.15453516929451633,0.1636378407720691,0.1460867239095846,0.14742297062599108
2021-05,0.12963668278198254,0.12458703936590848,0.13087202252384383,0.13223543884819655
2021-06,0.09096316361107079,0.09392801878496121,0.09623869141267347,0.09634214595551527
2021-07,0.09556029287597961,0.09663335123888267,0.10073319644809474,0.10038367649156367
2021-08,0.12357060825513025,0.12181104613738775,0.12699367039101186,0.12761922189500535
2021-09,0.12511503509378816,0.11992697527674276,0.1274693261513027,0.1289749393809727
2021-10,0.1337202489483022,0.12764121540149223,0.13426837773214942,0.1341724667958754
2021-11,0.13455561482010478,0.13334209254675838,0.13081845728558347,0.1322289637292658
2021-12,0.18144964882854578,0.15057638280704616,0.15257451090193155,0.15420372188242001
2022-01,0.15786169811531298,0.1529934823800328,0.14882637263006315,0.15158363412117096
2022-02,0.2689018295317943,0.26694951329139144,0.2985076228537625,0.2297790690259844
2022-03,0.1561881938322714,0.15517357888867744,0.14832233629325436,0.1520287120239623
2022-04,0.16230501690527466,0.1624599477792585,0.16075633983093773,0.16031097519024728
2022-05,0.1483136517996957,0.154767959039356,0.15249651120414567,0.15268629632426345
2022-06,0.14923982800882274,0.15221978767191585,0.14875246348986246,0.15020684638425327
2022-07,0.14728463535564298,0.14359166054704847,0.1360315031599158,0.14348251235453532
2022-08,0.12836825081550737,0.13076491690918482,0.12670992595753008,0.12965927492092255
2022-09,0.11289542237149944,0.12162731004252003,0.12340557718460843,0.12623391980669024
2022-10,0.11108262271667207,0.11055682405417902,0.11646462760993048,0.11782276087157151
2022-11,0.1374319788656171,0.1366505861234259,0.1271881798707591,0.12938453690419252
