  2018: 79 polygon-images
  2019: 72 polygon-images
  2020: 69 polygon-images
  2021: 68 polygon-images
  2022: 85 polygon-images
  2023: 85 polygon-images
  2024: 74 polygon-images
  2025: 106 polygon-images
  2026: 75 polygon-images
wrote results_s2/ornl_olcf.csv
name     east_campus_5600_complex
ym                               
2018-01                      0.11
2018-02                      0.12
2018-04                      0.14
2018-05                      0.45
2018-06                      0.15
2018-07                      0.14
2018-08                      0.14
2018-09                      0.12
2018-10                      0.11
2018-11                      0.11
2018-12                      0.11
2019-01                      0.11
2019-03                      0.13
2019-04                      0.14
2019-05                      0.21
2019-06                      0.15
2019-07                      0.15
2019-08                      0.16
2019-09                      0.15
2019-10                      0.14
2019-11                      0.14
2019-12                      0.13
2020-01                      0.12
2020-02                      0.11
2020-04                      0.16
2020-05                      0.17
2020-06                      0.18
2020-07                      0.14
2020-08                      0.12
2020-09                      0.14
2020-10                      0.13
2020-11                      0.13
2020-12                      0.12
2021-01                      0.13
2021-02                      0.14
2021-03                      0.15
2021-04                      0.15
2021-05                      0.39
2021-06                      0.15
2021-07                      0.15
2021-08                      0.14
2021-09                      0.13
2021-10                      0.16
2021-11                      0.12
2021-12                      0.12
2022-01                      0.13
2022-02                      0.13
2022-03                      0.22
2022-04                      0.16
2022-05                      0.17
2022-06                      0.17
2022-07                      0.15
2022-08                      0.16
2022-09                      0.13
2022-10                      0.13
2022-11                      0.12
2022-12                      0.12
2023-01                      0.12
2023-02                      0.13
2023-03                      0.14
2023-04                      0.14
2023-05                      0.14
2023-06                      0.14
2023-07                      0.15
2023-08                      0.14
2023-09                      0.15
2023-10                      0.12
2023-11                      0.12
2023-12                      0.12
2024-02                      0.13
2024-03                      0.14
2024-04                      0.15
2024-05                      0.15
2024-06                      0.15
2024-07                      0.16
2024-08                      0.14
2024-09                      0.14
2024-10                      0.13
2024-11                      0.15
2024-12                      0.13
2025-01                      0.13
2025-02                      0.15
2025-03                      0.15
2025-04                      0.15
2025-06                      0.15
2025-07                      0.16
2025-08                      0.14
2025-09                      0.13
2025-10                      0.13
2025-11                      0.12
2025-12                      0.12
2026-01                      0.12
2026-02                      0.14
2026-03                      0.14
2026-04                      0.15
2026-05                      0.15
2026-06                      0.16
2026-07                      0.16
2026-08                      0.13
2026-09                      0.13

roof-on month (first month >= threshold, sustained):
  east_campus_5600_complex   not yet
