ym,epoch_building_000
2018-01,0.11702119631368457
2018-02,0.11745234741784044
2018-03,0.13947126007071237
2018-04,0.15242604474584134
2018-05,0.18381498000347757
2018-06,0.14192869066249347
2018-07,0.149061377731409
2018-08,0.13838039181591605
2018-09,0.1395583492725903
2018-10,0.1366238335361966
2018-11,0.13345475424563844
2018-12,0.11840318205529472
2019-01,0.13682576943140326
2019-02,0.1446292586796499
2019-03,0.16436362951370767
2019-04,0.21017725033327533
2019-05,0.38679348519098117
2019-06,0.3910875731756795
2019-07,0.2885400162290615
2019-08,0.25660433547788797
2019-09,0.23666681446704932
2019-10,0.22062512026893866
2019-11,0.20460888830927962
2019-12,0.18600524111748684
2020-01,0.1916507969628471
2020-02,0.20821003303773258
2020-04,0.21311830082242605
2020-05,0.3077016084159277
2020-06,0.32652554338375933
2020-07,0.28212674462412335
2020-08,0.2300339998840782
2020-09,0.2177501521390949
2020-10,0.20720296904886104
2020-11,0.20044937691995598
2020-12,0.18807669970439927
2021-01,0.18487996290500203
2021-02,0.20309327286470144
2021-03,0.2055168550397032
2021-04,0.250396064452559
2021-06,0.31203509679476027
2021-07,0.2611514577174985
2021-08,0.29140199240711767
2021-09,0.2365216498579957
2021-10,0.24026387294963186
2021-11,0.2085130035356169
2021-12,0.18547653178276172
2022-01,0.19965449631948068
2022-02,0.20879427925578162
2022-03,0.2320042659247668
2022-04,0.2554942270909406
2022-05,0.2925853474758013
2022-06,0.32091480612067463
2022-07,0.27570503390714657
2022-08,0.27046030980119395
2022-09,0.22711482061090818
2022-10,0.2248577783573871
2022-11,0.2081212108039182
2022-12,0.20467727283100384
2023-01,0.19279819161884887
2023-02,0.19951935025792608
2023-03,0.2161124529067408
2023-04,0.2388840810293862
2023-05,0.22281238316968646
2023-06,0.26069232597229475
2023-07,0.24304132614617746
2023-08,0.262387732568249
2023-09,0.23858979307946454
2023-10,0.23438102214107692
2023-11,0.2023342780965629
2023-12,0.20097272358430418
2024-01,0.18254940590042307
2024-02,0.19748334055600675
2024-03,0.22098759491102998
2024-04,0.24047886599431983
2024-05,0.29762572306265583
2024-06,0.2837340346606387
2024-07,0.27851704341273986
2024-08,0.24094842346258621
2024-09,0.21790883034834524
2024-10,0.20658846142699822
2024-11,0.18427067756332235
2024-12,0.15798983075407178
2025-01,0.15319031762592017
2025-02,0.17851008520257353
2025-03,0.18086242440158265
2025-04,0.16161568422882977
2025-05,0.22761938158509387
2025-06,0.16302791398597352
2025-07,0.21660197936590736
2025-08,0.30874908058166395
2025-09,0.280202871964296
2025-10,0.3703173303193647
2025-11,0.30318690662493486
2025-12,0.1492542525849598
2026-01,0.17650686112560132
2026-02,0.258400121717962
2026-03,0.26976465687126877
2026-04,0.26559582101663476
2026-05,0.3039720280530922
2026-06,0.3361112067466529
2026-07,0.3140621022430881
2026-08,0.4153474456988363
2026-09,0.2603026299773952
