ym,epoch_building_000
2018-01,0.09194423596574025
2018-02,0.10128402444280257
2018-03,0.10381103987367044
2018-04,0.11442422936419977
2018-05,0.11541112958174275
2018-06,0.12288628606903908
2018-07,0.1428566913283806
2018-08,0.12665389978314098
2018-09,0.08576903090752364
2018-10,0.07583554048830882
2018-11,0.1073038477062213
2018-12,0.11108918989177577
2019-01,0.11233423155331168
2019-02,0.11067384438834824
2019-03,0.1105578666078342
2019-04,0.10684836158655875
2019-05,0.09311122381616929
2019-06,0.09903335853764574
2019-07,0.10318525205571284
2019-08,0.1114811496942085
2019-09,0.09396146390659797
2019-10,0.09115050965261544
2019-11,0.08788802265046712
2019-12,0.07881689925980652
2020-01,0.08064865933998272
2020-02,0.0894634240446579
2020-03,0.08382913759252406
2020-04,0.0816563910951032
2020-05,0.09583974589199465
2020-06,0.10831364210072647
2020-07,0.10364795446305185
2020-08,0.10687384148093415
2020-09,0.09736270121016845
2020-10,0.08619828171817918
2020-11,0.09257415821806286
2020-12,0.08800260760853207
2021-01,0.10931483762681893
2021-02,0.09647816352323893
2021-03,0.10676582300346149
2021-04,0.10804413335111986
2021-05,0.092155997311497
2021-06,0.10282509526057254
2021-07,0.08577087626044964
2021-08,0.0840767292273803
2021-09,0.08422019934600282
2021-10,0.07511079163759249
2021-11,0.07588937169067848
2021-12,0.08282612824775266
2022-01,0.08419852491482979
2022-02,0.09295289800790821
2022-03,0.10727647850565741
2022-04,0.11394841922177072
2022-05,0.12189070123411178
2022-06,0.1236600045834531
2022-07,0.12936264785857643
2022-08,0.13125102734337585
2022-09,0.09134212030880162
2022-10,0.08389879513333054
2022-11,0.07571770940223554
2022-12,0.07578553227913915
2023-01,0.0782141367031975
2023-02,0.08208599532761426
2023-03,0.08643126838511958
2023-04,0.09210226855272344
2023-05,0.0957529648784357
2023-06,0.09658130780623625
2023-07,0.10843765169895075
2023-08,0.10715809321512132
2023-09,0.08878252832163526
2023-10,0.07126211365595364
2023-11,0.06659532179945
2023-12,0.060714807802815754
2024-01,0.06527310735883651
2024-02,0.07255767386337197
2024-03,0.07274459152540047
2024-04,0.08293760047681599
2024-05,0.08558500757637946
2024-06,0.08858124093570849
2024-07,0.09796955090711326
2024-08,0.09260900041387903
2024-09,0.07251425530859634
2024-10,0.06726824060392131
2024-11,0.07310109181956241
2024-12,0.07091942152717932
2025-01,0.0698805983116473
2025-02,0.07960821840495845
2025-03,0.09225270765778708
2025-04,0.09703473342431834
2025-05,0.10141509529477755
2025-06,0.10585448631120957
2025-07,0.08281277833055847
2025-08,0.09448622646704699
2025-09,0.17479000106035106
2025-10,0.20202610610009725
2025-11,0.2068044671564802
2025-12,0.197288722482179
2026-01,0.22092103394491608
2026-02,0.3440173351154071
2026-03,0.5490781781458218
2026-04,0.6840095843765817
2026-05,0.7642761704052596
2026-06,0.7367414715278626
2026-07,0.6665644989328082
2026-08,0.6230892686484975
2026-09,0.6481517517170847
