ym,phase1_block1,phase1_block2,phase2_mid_block1,phase2_mid_block2,phase2_mid_block3,phase2_mid_block4,phase2_south_block1,phase2_south_block2,phase2_south_block3,phase2_south_block4,phase2_south_block5,phase2_south_block6
2018-01,0.08046180688616192,0.08318471715929565,0.08316538169556159,0.09218107693650068,0.09305525889334934,0.08199840960854252,0.08865521287331124,0.0815590753788415,0.08558046517105337,0.1078393156436901,0.09517872958834461,0.08821516573041258
2018-02,0.0906213581203957,0.09425109261617898,0.0954910369808034,0.10274029601029595,0.10315505904280275,0.09301883342260775,0.10119914615792817,0.09090872604210924,0.09508222516634283,0.11872036602506422,0.10713335790065509,0.1003287229835137
2018-03,0.09382181154226804,0.09416430844081389,0.09557106505184611,0.10751292367427959,0.10756564308430219,0.09412340645127579,0.10217438517281283,0.09651244866166263,0.09690004475063299,0.12239352281481752,0.10481731470616987,0.09864180527378419
2018-04,0.08700029935594587,0.08811318251911718,0.08296438743923827,0.09986924634077171,0.10088226630519787,0.08500306124226463,0.09103951074805783,0.09155450656186566,0.09013450391568036,0.10710026934363664,0.09387063459470042,0.08877348557533858
2018-05,0.0981802612782597,0.09957313574499439,0.07702500441368597,0.10671511855681336,0.1154732917122848,0.09524504526867246,0.09367532165879376,0.09637332825850921,0.10188416416416415,0.1224372314649824,0.10504552508066878,0.09704440261614078
2018-06,0.10330148556607043,0.105225146763875,0.08169916257665105,0.10542350718757501,0.11430222225118608,0.09883967138296984,0.09682114248679864,0.09481905596468863,0.10381875228169343,0.12741781784607417,0.11136781984561323,0.10429960328213848
2018-07,0.117848909959192,0.11782919344527898,0.09471734402033821,0.12392797199136187,0.1324428681594634,0.11263422847288446,0.11151183504275733,0.1097099528513431,0.11901075075075075,0.1468763756814453,0.12529208247775506,0.11355947325633342
2018-08,0.0982650701828803,0.10219321299427597,0.08277610430422654,0.10660687280500836,0.11008763012008416,0.09446910995562408,0.09623060608433152,0.09084433980078362,0.09783762703880347,0.12745559976006066,0.10533244108731797,0.09563048099294212
2018-09,0.08211881920168496,0.07879328472923718,0.06742698586443509,0.09881812664965205,0.09168220287437227,0.07753547687117748,0.09688778033193515,0.07743076287589101,0.08045871047518108,0.11344399769470073,0.08268180013689264,0.07757132376816057
2018-10,0.06632632654896806,0.07329066847712054,0.058031261254899186,0.0763119955064023,0.08168327214527202,0.06548058433386031,0.06456082939687345,0.06893544145069158,0.07131128098686917,0.08560413197214128,0.0711332636648089,0.06527547685486965
