  2018: 8 polygon-images
  2019: 27 polygon-images
  2020: 34 polygon-images
  2021: 45 polygon-images
  2022: 31 polygon-images
  2023: 24 polygon-images
  2024: 17 polygon-images
  2025: 31 polygon-images
  2026: 22 polygon-images
wrote results_s2/nscc_guangzhou.csv
name     nscc_building_box
ym                        
2018-01               0.13
2018-03               0.15
2018-10               0.15
2018-12               0.15
2019-01               0.14
2019-02               0.24
2019-03               0.14
2019-04               0.16
2019-06               0.15
2019-08               0.15
2019-09               0.16
2019-10               0.14
2019-11               0.13
2019-12               0.13
2020-01               0.13
2020-02               0.15
2020-03               0.13
2020-04               0.15
2020-05               0.16
2020-06               0.19
2020-07               0.19
2020-08               0.22
2020-09               0.16
2020-10               0.14
2020-11               0.14
2020-12               0.13
2021-01               0.13
2021-02               0.14
2021-03               0.14
2021-04               0.14
2021-05               0.18
2021-07               0.17
2021-08               0.15
2021-09               0.16
2021-10               0.14
2021-11               0.13
2021-12               0.13
2022-01               0.14
2022-02               0.14
2022-03               0.14
2022-04               0.15
2022-05               0.17
2022-07               0.15
2022-08               0.17
2022-09               0.15
2022-10               0.14
2022-12               0.12
2023-01               0.12
2023-02               0.13
2023-03               0.13
2023-06               0.16
2023-09               0.13
2023-10               0.13
2023-11               0.12
2023-12               0.10
2024-01               0.11
2024-02               0.12
2024-07               0.19
2024-08               0.16
2024-09               0.13
2024-10               0.13
2024-11               0.11
2024-12               0.11
2025-01               0.11
2025-03               0.13
2025-04               0.14
2025-05               0.11
2025-06               0.15
2025-07               0.15
2025-08               0.15
2025-09               0.15
2025-11               0.11
2025-12               0.11
2026-01               0.11
2026-02               0.11
2026-03               0.13
2026-05               0.16
2026-07               0.12
2026-08               0.14
2026-09               0.15

roof-on month (first month >= threshold, sustained):
  nscc_building_box          not yet
