ym,fairwater_1
2018-02,0.04892546632785641
2018-03,0.08068444229556607
2018-04,0.09162436629176397
2018-05,0.11638535242282515
2018-06,0.09791309422168616
2018-07,0.07137303222634613
2018-08,0.057294372947240935
2018-09,0.09174211331937358
2018-10,0.11835133550488601
2018-12,0.055867865324814886
2019-03,0.07385088579786869
2019-04,0.0779499930158574
2019-05,0.08248036910633604
2019-06,0.06925273744777759
2019-07,0.07978270472314791
2019-08,0.053591353855508186
2019-09,0.043356415215122804
2019-10,0.05073677192180445
2019-11,0.19623802825818917
2019-12,0.06343154218086017
2020-01,0.04769896629973934
2020-04,0.10164877015597418
2020-05,0.06752925720841958
2020-06,0.10768870159933142
2020-07,0.08272835528821937
2020-08,0.06628035487661213
2020-09,0.07620404788955645
2020-10,0.06998632221024588
2020-11,0.06605225460822693
2021-03,0.06426738985588273
2021-04,0.1110535879669988
2021-05,0.061212088094314984
2021-06,0.12832819329930636
2021-07,0.059341605994261845
2021-08,0.05779342961224679
2021-09,0.08104850804520951
2021-10,0.06211782793911024
2021-11,0.056001876082635495
2021-12,0.07101081115401173
2022-03,0.08678652620696825
2022-05,0.1228284010527694
2022-06,0.09904001393890438
2022-07,0.06045936885000255
2022-08,0.037242714008613786
2022-09,0.08493389550079297
2022-10,0.0902471494613994
2022-11,0.10958702213900269
2022-12,0.10151325926407316
2023-01,0.08462322029479805
2023-02,0.09214608510794044
2023-03,0.10062500000000002
2023-05,0.12560866782863986
2023-06,0.1035127430724401
2023-07,0.08182053576964132
2023-08,0.1319706816896694
2023-09,0.12382449947600271
2023-10,0.1611894110313602
2023-11,0.12567790389072758
2024-02,0.14506332869466734
2024-03,0.1883032484853374
2024-04,0.2563157570621471
2024-05,0.2973409946763653
2024-06,0.31561669157802
2024-07,0.2619275800057814
2024-08,0.2983689025260187
2024-09,0.3670633865846197
2024-10,0.3815148482872415
2024-11,0.25061828903238753
2024-12,0.24054385030430725
2025-01,0.25505454941262157
2025-03,0.25456196650978163
2025-04,0.41493446110430143
2025-05,0.45323025000242717
2025-06,0.5025588995530889
2025-07,0.4529699994472441
2025-08,0.40404897038051263
2025-09,0.3869410432292284
2025-10,0.36432462339784866
2025-11,0.34145976879873474
2026-01,0.364902380952381
2026-02,0.374383799498311
2026-03,0.26838292736666514
2026-04,0.3600532430776915
2026-05,0.4367868193915655
2026-06,0.49551674446329347
2026-07,0.48000902747121005
2026-08,0.3853822726637333
2026-09,0.3927518106483158
