ym,name,bright_mean,ndvi_mean,ndbi_mean,bsi_mean
2018-01,long_halls,0.09449867383735958,0.13969110481500152,0.1450614990569085,0.21242690001106446
2018-01,white_block,0.08722345094949185,0.10758202158167143,0.12348437395755851,0.18931348586902436
2018-04,long_halls,0.11273875312300255,0.1408073620801299,0.13918184563916552,0.18642910208533878
2018-04,white_block,0.119857933934719,0.0896763843791131,0.10664857639257748,0.14819618079750846
2018-06,long_halls,0.14693203689852907,0.11609689643016115,0.08158947015875219,0.11930994507246911
2018-09,long_halls,0.08651498088431811,0.35214423210732165,0.03167991948821381,0.08984929227221947
2018-09,white_block,0.12865076771110232,0.15050992072871774,0.08139789885835526,0.13936439382421625
2018-10,long_halls,0.09217518662483284,0.1849624856469897,0.14711298697929603,0.21170761177393999
2018-10,white_block,0.12091082203919169,0.10115028399341447,0.10709721677390742,0.17102641718784306
2018-11,long_halls,0.0964763953866711,0.1598259646187805,0.14088820215228365,0.20486929605519608
2018-11,white_block,0.13250727095771442,0.08830670774130657,0.09571989449794448,0.1571205293465627
2018-12,long_halls,0.10363605322177687,0.14916131977579775,0.1294662237871377,0.18522965970947397
2018-12,white_block,0.12384263026394154,0.08173151752027186,0.09182915050253168,0.14187798348139757
2019-01,long_halls,0.10718121912372527,0.12831768244423014,0.08116978559604546,0.14301457404806642
2019-01,white_block,0.11612656451415672,0.036013438415076045,-0.03257520406708813,0.03525051110841182
2019-02,long_halls,0.11424464868398107,0.14544250888838878,0.09651797758469688,0.17803403524220857
2019-02,white_block,0.15129919976370892,0.07819449358351796,0.007976680704688738,0.08806893053420281
2019-03,long_halls,0.12013634791702975,0.1383308466074064,0.1244980481579878,0.18835192152910266
2019-03,white_block,0.14382782100028235,0.08024156513455086,0.08851937661284894,0.13330200745087842
2019-04,long_halls,0.1087159319621175,0.15010425088669233,0.13620872385169436,0.19283127278872356
2019-04,white_block,0.1401937014279281,0.07729004291677685,0.09265987411094785,0.13885069679339496
2019-05,long_halls,0.12587170248678176,0.17811363109881365,0.08946837029683188,0.14760503597444036
2019-05,white_block,0.18201656022759108,0.07471816214235655,0.05815794839894734,0.09948342724895418
2019-06,long_halls,0.12661104049735647,0.17380970617411248,0.11020088642197683,0.15784451160425816
2019-06,white_block,0.16881072334152342,0.08555435480019749,0.11197178284849779,0.13225749156738242
2019-07,long_halls,0.09619745546452813,0.33014578268296974,0.02185431616286684,0.06998018747510866
2019-07,white_block,0.13981954427765633,0.15679181614136262,0.044905819311171914,0.07942259805989241
2019-08,long_halls,0.08604806548137812,0.33156044524546346,0.05112542379915753,0.1003830379659263
2019-08,white_block,0.16702796197033756,0.09048760955769417,0.05218602288676431,0.08851281460210897
2019-09,long_halls,0.07997890587415024,0.28175447478892757,0.10711774478213643,0.15982014009709006
2019-09,white_block,0.14721879125284892,0.07211390976408878,0.08121332442109494,0.11776792816205633
2019-10,long_halls,0.08161886200685624,0.19211018263893145,0.15531646784334716,0.188408308260932
2019-10,white_block,0.14938850674165408,0.06026048228808721,0.05075655718646901,0.10474856869158018
2019-11,long_halls,0.08953353186915351,0.14611386975120147,0.19229471805519932,0.2214305416851952
2019-11,white_block,0.13881845397364945,0.05535363432892779,0.05093141895297863,0.11737468294429444
2019-12,long_halls,0.08866184768247536,0.08517383465563502,-0.0016863597412755948,0.0699862322601537
2019-12,white_block,0.12352986521888654,0.02129636730621609,-0.11103230049512505,0.01176417304866671
2020-01,long_halls,0.09153395626490428,0.14346882106730152,0.07851966649443656,0.1615390826850773
2020-01,white_block,0.09905033425897357,0.005225683269075101,0.015530647758909256,0.05524853412783968
2020-02,long_halls,0.09667379222590182,0.1305050520900757,0.1584129945494838,0.20163309816851954
2020-02,white_block,0.16277378509899632,0.03775571527099861,0.04185997814228847,0.08714622226090492
2020-03,long_halls,0.10045671210272505,0.12749170732116935,0.16527060895828244,0.1949716857791998
