ym,east_campus_5600_complex
2018-01,0.11297004738993788
2018-02,0.12370622274910573
2018-04,0.13668114030745837
2018-05,0.44688430413049207
2018-06,0.14921231018784728
2018-07,0.13522742570544666
2018-08,0.14375637954812653
2018-09,0.12481723200137848
2018-10,0.1123835630091386
2018-11,0.10936086326496937
2018-12,0.10645064358941644
2019-01,0.11382572782230899
2019-03,0.12535333646326416
2019-04,0.13525441540557795
2019-05,0.20711474380215286
2019-06,0.14885477076921977
2019-07,0.15405818300827837
2019-08,0.1579120253082832
2019-09,0.15091680694641113
2019-10,0.14322050926802296
2019-11,0.14259946792348444
2019-12,0.1342499541015799
2020-01,0.11538260462278166
2020-02,0.11412486088917523
2020-04,0.15796076750456334
2020-05,0.16718026588586637
2020-06,0.17886662075594872
2020-07,0.14285019937568585
2020-08,0.12391846008442646
2020-09,0.1404670205245599
2020-10,0.13292089784147895
2020-11,0.13147719181732395
2020-12,0.12427648172721002
2021-01,0.13061137508551052
2021-02,0.14087660419726594
2021-03,0.15067460054088555
2021-04,0.15274539482628252
2021-05,0.39009612949557637
2021-06,0.1529390360109366
2021-07,0.15191327804706434
2021-08,0.1358072138197547
2021-09,0.13377054009655598
2021-10,0.16181331396408052
2021-11,0.11939087433512413
2021-12,0.12049432186910582
2022-01,0.13113707643750466
2022-02,0.13055929876903785
2022-03,0.2179125263352762
2022-04,0.16475261913472652
2022-05,0.16911063980811003
2022-06,0.16744209804772658
2022-07,0.1506861335446756
2022-08,0.15709773052050904
2022-09,0.1336666920421683
2022-10,0.12857549283302241
2022-11,0.12322013604366087
2022-12,0.12480589417853641
2023-01,0.12105302232157603
2023-02,0.12650208846252053
2023-03,0.13608839728456748
2023-04,0.14400731290311725
2023-05,0.13885372203342128
2023-06,0.1438206084352442
2023-07,0.15455894728265096
2023-08,0.1423647837889488
2023-09,0.14966261134215644
2023-10,0.12285674605375735
2023-11,0.12447629438753738
2023-12,0.12368270825451069
2024-02,0.13058798967984267
2024-03,0.14123664457213364
2024-04,0.14679745596371163
2024-05,0.14969333149645808
2024-06,0.15454278806863012
2024-07,0.1552361336719249
2024-08,0.13632837629204841
2024-09,0.13616769667236675
2024-10,0.12798054231182565
2024-11,0.1462405985059605
2024-12,0.12597072949224053
2025-01,0.1286938122008328
2025-02,0.14659890337216847
2025-03,0.14939756443640997
2025-04,0.14688174670281257
2025-06,0.1471422570103991
2025-07,0.15596443093623757
2025-08,0.1364108278009128
2025-09,0.13082151483848756
2025-10,0.12601106834164574
2025-11,0.12429955759095718
2025-12,0.12394142462055291
2026-01,0.11943349833431705
2026-02,0.13848854699751062
2026-03,0.1433838983033927
2026-04,0.14839063946698672
2026-05,0.14929683811450425
2026-06,0.15598758430414966
2026-07,0.1574581219646917
2026-08,0.13450484385041322
2026-09,0.13358264296514832
