ym,epoch_building_003,epoch_building_004,epoch_building_005,epoch_building_006,epoch_building_007,epoch_building_008,epoch_building_009,epoch_building_013,epoch_building_024,epoch_building_025,epoch_building_026,epoch_building_027
2018-01,0.022140492516123284,0.023972350822524094,0.0214538488389588,0.05473124118427852,0.040035357814287326,0.03304964966802253,0.022082277087763953,0.04057551383668678,0.03442804857718104,0.034470915577046665,0.07955856556216581,0.04500642825876234
2018-02,0.2353628503425391,,,,0.14314870547629477,,,0.1732084925568352,,0.09302165379972678,,
2018-03,0.024309930694913745,0.0246919090690403,0.02416673355033095,0.05648399808415616,0.04334357364437133,0.033972274072579495,0.02498978307216705,0.04384794127852146,0.03876725228035603,0.03486356196821773,0.07312919801397275,0.04598773285548086
2018-04,0.025245721371694837,0.025310545221266478,0.025013287131622222,0.05374404216794157,0.04280309101335433,0.03176912945974251,0.025683849206303476,0.039787805167043555,0.03554624448050693,0.03458439891908466,0.07172376670399971,0.045880097461992064
2018-05,0.03604293907220695,0.036570465753367004,0.03564773079908652,0.055257430053527484,0.051205993679967574,0.04064790658280615,0.040689626160751016,0.044664567590260267,0.03827247720540145,0.039510528275293784,0.06947896628885225,0.0476357935968405
2018-06,0.03645385981455288,0.03736508062806037,0.036823714497643135,0.047734249333553344,0.06547371960437316,0.04117919408769384,,0.04669920142498124,0.040471725271400624,0.04191289268687538,0.0758794638569825,0.050877056960577774
2018-07,0.029206782257519347,0.028935421964568345,0.028359293157248226,0.041259517657369224,0.039897388605407216,0.03279713685878323,0.028445327344403006,0.035745210723235284,0.03265272398745464,0.04199503032577263,0.05734199631156213,0.0408301965570115
2018-08,0.03301070295351623,0.032643732818529586,0.03275381829047481,0.04039692194539367,0.03859819084830837,0.03508084714040875,0.03302877076093768,0.03582129280107979,0.033476190912337125,0.03607557225824032,0.05207851336419618,0.03968463955125612
2018-09,0.02866774249843583,0.02871021239165479,0.028704408878326683,0.041944747910474124,0.03591454729321346,0.03102096152862877,0.029219802710008815,0.031145875007294266,0.03169641457831945,0.03372716006466652,0.05281633256176228,0.04131127525643109
2018-10,0.021420003987048006,0.021236644912838568,0.019880126029415628,0.03877963550597527,0.031736801132717124,0.026115701692040624,0.019736412953400912,0.027468567714708132,0.02356588577546987,0.024485175640344248,0.04493841074537665,0.030335291321399657
2018-11,0.017308073951013338,0.01852471125695719,0.018053488387274448,0.036537858508604214,0.030722400777239506,0.023044852727995627,0.017108368075476513,0.025692799635510535,0.037233461829199274,0.026769561291588972,0.0472037743704045,0.030660650351234997
2018-12,0.016918752054630365,0.018479615034417772,0.017511140735082188,0.0351765175423643,0.02976779612394674,0.02525690883845274,0.016602268616174067,0.02723289356360354,0.04435370607303447,0.02606140062922052,0.047720797052349176,0.037129997017069614
2019-01,0.015291002968758058,0.017241969737774098,0.015768568633647843,0.03906750175889091,0.031194164549598398,0.02494223419115825,0.015231968339574058,0.02928241606958542,0.05866644452430066,0.026421876807600247,0.053027039086197124,0.05447346346209813
2019-03,0.026433617858234035,0.026044433291509832,0.02599681473149683,0.050602764583374385,0.042356852705239825,0.03450409888698629,0.026629378784981207,0.03993579678376629,0.08215897472794868,0.03546954971575111,0.06366297876156071,0.07060695121556437
2019-04,0.025603274582442208,0.02595430287404996,0.025733988509548708,0.0484588019288505,0.039498359433413184,0.03092560403154073,0.02559109928123142,0.03561425893536477,0.06769598265343982,0.033573152779273814,0.05972490521500545,0.06482911553913681
2019-05,0.030039135828965474,0.030347851342340006,0.029121645605952432,0.08118521728552101,0.04037328526966868,0.034928560541199666,0.02918995385417693,0.03629214104388629,0.07193377623836619,0.042749630008764056,0.06547851560877131,0.06356540586045004
2019-06,0.055901595670041104,0.03883515323257767,0.035204954350514385,0.08330503948974402,0.04267352887102915,0.03864790213825276,0.0608382966787786,0.0401341038757901,0.06778861256964078,0.04573338502306407,0.068527950708375,0.060134029464141106
2019-07,0.03327709256288827,0.03397563330267034,0.03409249021423359,0.089789313240425,0.039007170153252155,0.03317600198199079,0.03266563115251652,0.034337312732092715,0.06576158719475386,0.039531267707004276,0.07855073260425277,0.06814976493443414
2019-08,0.027520428557553513,0.059463700217913106,0.027125488300985188,0.04440002975856151,0.053710342987021056,0.05543311472970842,0.027430408299225932,0.0598704671174268,0.08273376689472631,0.06999254611410255,0.08386756273413362,0.09183420582288673
2019-09,0.02921157488903016,0.02911895362401816,0.028498887340943836,0.03946013428727228,0.03538687652662103,0.03170586602324615,0.028332900809587554,0.03219130011617898,0.05641619352605161,0.031181293589911875,0.05698721943008562,0.06762083612568774
2019-10,0.02232808811681763,0.028322635262938982,0.028916913409585025,0.04200212437525553,0.03663074085843043,0.027874551756890794,0.022034366673041365,0.03368251076208961,0.05380064621428229,0.032119642897305484,0.05537603779421557,0.06151424530244045
2019-11,0.019796180269335655,0.02088619883621212,0.020360730721874488,0.03868760892218051,0.03121263122937457,0.02698110531937495,0.01988067248237331,0.0272450038215433,0.045610931993429055,0.026267306137700355,0.04681062002924105,0.05426455573740308
