ym,computer_building
2018-02,0.11367248907725719
2018-03,0.12937347931873486
2018-04,0.15227624859377853
2018-09,0.1237327250608272
2018-10,0.12103072626429111
2018-12,0.11374383720296494
2019-01,0.10822242810430117
2019-02,0.13832944945104614
2019-03,0.11560779308269892
2019-04,0.13971850979776582
2019-05,0.13208237579467863
2019-06,0.1572842424967436
2019-07,0.12187382989299642
2019-08,0.1442501236166706
2019-09,0.12712986273191187
2019-10,0.10742541532585095
2019-11,0.1094233007673278
2019-12,0.11275879967558797
2020-01,0.11948730171288428
2020-02,0.12485853674489178
2020-03,0.12287283834340577
2020-04,0.14742922320239457
2020-05,0.136717678705645
2020-06,0.14561557485132592
2020-07,0.2174356464447677
2020-08,0.12726195722404635
2020-09,0.1242340096891055
2020-10,0.11171231195876824
2020-11,0.10183687378668568
2020-12,0.10668605034481851
2021-01,0.1129816211084299
2021-02,0.11897120205176895
2021-03,0.11724584602402334
2021-04,0.13820836267257405
2021-05,0.1406703777830102
2021-06,0.14951796039034096
2021-07,0.13193915855215696
2021-08,0.12895253141534396
2021-09,0.10395108220491017
2021-10,0.09776878025077101
2021-11,0.10162676839663506
2021-12,0.09646770833333335
2022-01,0.10015282617795569
2022-02,0.10223732831017976
2022-03,0.12401734230698797
2022-04,0.1340875618083353
2022-05,0.125701634487089
2022-06,0.1406123917536562
2022-07,0.11461354027679677
2022-08,0.13700339586113072
2022-09,0.10992508698950895
2022-10,0.10459268110823333
2022-11,0.10244930015958978
2022-12,0.09596765756220083
2023-01,0.09769518418229861
2023-02,0.107134105119954
2023-03,0.11355659746749341
2023-04,0.11918831985977027
2023-05,0.13042000235460327
2023-06,0.14521475420558305
2023-07,0.12768472581953275
2023-08,0.12646741556131127
2023-09,0.11442281872171206
2023-10,0.11696873610130032
2023-11,0.09564306503937421
2023-12,0.09936614472961308
2024-01,0.10173432226669805
2024-02,0.1209372982235827
2024-03,0.12397970331999059
2024-04,0.13006897775852694
2024-05,0.13661654762839126
2024-06,0.13230991287967978
2024-07,0.12865314666562017
2024-08,0.14723164979201006
2024-09,0.11614009169871545
2024-10,0.107904345551108
2024-11,0.09244714308139078
2024-12,0.09967054522146356
2025-01,0.10424337987616535
2025-02,0.11295315582241058
2025-03,0.12097899301467706
2025-04,0.13724042461345268
2025-05,0.14470899066007378
2025-06,0.14866893321462538
2025-07,0.14315267574497031
2025-08,0.12621786097375934
2025-09,0.1268650328336342
2025-10,0.11347443554927657
2025-11,0.10270862373440076
2025-12,0.09572165711744239
2026-01,0.09934681539910531
2026-02,0.1127504709206499
2026-03,0.1280957355518929
2026-04,0.1117902207180865
2026-05,0.13236261936530366
2026-06,0.1441946210396881
2026-07,0.1441434764408864
2026-08,0.11936900818878687
2026-09,0.13350635873688618
