  2018: 30 polygon-images
  2019: 128 polygon-images
  2020: 135 polygon-images
  2021: 144 polygon-images
  2022: 153 polygon-images
  2023: 116 polygon-images
  2024: 136 polygon-images
  2025: 184 polygon-images
  2026: 90 polygon-images
wrote results_s2/nscc_wuxi.csv
name     nscc_building_box
ym                        
2018-01               0.10
2018-02               0.10
2018-03               0.12
2018-04               0.14
2018-05               0.13
2018-10               0.11
2018-11               0.09
2019-01               0.12
2019-03               0.11
2019-04               0.16
2019-05               0.13
2019-06               0.12
2019-07               0.13
2019-08               0.13
2019-09               0.11
2019-10               0.10
2019-11               0.09
2019-12               0.11
2020-01               0.11
2020-02               0.10
2020-03               0.12
2020-04               0.12
2020-05               0.13
2020-06               0.15
2020-08               0.13
2020-09               0.12
2020-10               0.11
2020-11               0.10
2020-12               0.13
2021-01               0.10
2021-02               0.10
2021-03               0.12
2021-04               0.12
2021-05               0.14
2021-06               0.15
2021-07               0.14
2021-08               0.13
2021-09               0.12
2021-10               0.11
2021-11               0.09
2021-12               0.10
2022-01               0.12
2022-02               0.10
2022-03               0.12
2022-04               0.13
2022-05               0.14
2022-06               0.16
2022-07               0.15
2022-08               0.14
2022-10               0.10
2022-11               0.09
2022-12               0.09
2023-01               0.09
2023-02               0.10
2023-03               0.10
2023-04               0.12
2023-05               0.13
2023-06               0.15
2023-07               0.15
2023-08               0.13
2023-09               0.11
2023-10               0.10
2023-11               0.08
2023-12               0.09
2024-01               0.09
2024-02               0.09
2024-03               0.10
2024-05               0.13
2024-07               0.12
2024-08               0.12
2024-09               0.14
2024-10               0.10
2024-11               0.08
2024-12               0.09
2025-01               0.08
2025-02               0.09
2025-03               0.10
2025-04               0.11
2025-05               0.12
2025-06               0.12
2025-07               0.12
2025-08               0.11
2025-09               0.10
2025-10               0.09
2025-11               0.08
2025-12               0.09
2026-01               0.08
2026-02               0.09
2026-03               0.10
2026-04               0.11
2026-05               0.12
2026-06               0.14
2026-07               0.11
2026-08               0.12

roof-on month (first month >= threshold, sustained):
  nscc_building_box          not yet
