ym,epoch_building_001
2018-01,0.10901976330878832
2018-02,0.1331899701589823
2018-03,0.15574263751820505
2018-04,0.13070972379235538
2018-05,0.11971250318270232
2018-06,0.11970743377432856
2018-07,0.1347903393524601
2018-08,0.12986906922505018
2018-09,0.08384183802336356
2018-10,0.06923597115707782
2018-11,0.10006086243596402
2018-12,0.11540385590760481
2019-01,0.12833731043824542
2019-02,0.13592427816309685
2019-03,0.1360824111134875
2019-04,0.12429023903368061
2019-05,0.11010840742664513
2019-06,0.12721536785645665
2019-07,0.1116524152891931
2019-08,0.13025866458899854
2019-09,0.12478960554859604
2019-10,0.09066947508325951
2019-11,0.11434182070946253
2019-12,0.11033291168892012
2020-01,0.11975242547384073
2020-02,0.12130783097558732
2020-03,0.11439563791540626
2020-04,0.11752721745241224
2020-05,0.1236081319319258
2020-06,0.13659315082444717
2020-07,0.139564733111308
2020-08,0.1387096438428713
2020-09,0.126702796704248
2020-10,0.13281336327619744
2020-11,0.13213479584873755
2020-12,0.13270721887826287
2021-01,0.12767289661564155
2021-02,0.1297640094920916
2021-03,0.1356502067483476
2021-04,0.1367233167323576
2021-05,0.12522738549909868
2021-06,0.09854854206768711
2021-07,0.10223277012231766
2021-08,0.14127126401662132
2021-09,0.13483830496908955
2021-10,0.15340619939503192
2021-11,0.1764088677727194
2021-12,0.22760959190116814
2022-01,0.2894773055496144
2022-02,0.3344271634737796
2022-03,0.3844313845010031
2022-04,0.46564594090867406
2022-05,0.632518661329911
2022-06,0.6444561174086179
2022-07,0.5996372595150069
2022-08,0.5499246947151861
2022-09,0.43218103720451784
2022-10,0.35643691323698634
2022-11,0.26589827981300984
2022-12,0.32154658406917425
2023-01,0.3102062930186823
2023-02,0.3340213123936977
2023-03,0.36328744232943266
2023-04,0.4657904142096203
2023-05,0.5081879361169053
2023-06,0.6569913186063324
2023-07,0.559663223237292
2023-08,0.5246752841228062
2023-09,0.45216027783718804
2023-10,0.375089518979091
2023-11,0.3310802407650707
2023-12,0.31573100766903966
2024-01,0.3294457046248485
2024-02,0.4236155555555554
2024-03,0.40657989957937385
2024-04,0.5306729545045857
2024-05,0.6324632268485957
2024-06,0.6554856477945143
2024-07,0.6113705470174259
2024-08,0.5577101011335512
2024-09,0.46373247374907045
2024-10,0.3835969349302863
2024-12,0.3154422754539805
2025-01,0.3182394543065783
2025-02,0.3518284416470611
2025-03,0.41702192347255745
2025-04,0.4863195881328484
2025-05,0.5875638791286012
2025-06,0.6129338731196592
2025-07,0.5267992015236231
2025-08,0.514947191583407
2025-09,0.45505711448562447
2025-10,0.4357172293684499
2025-11,0.4183207379795697
2025-12,0.40031244054711923
2026-01,0.39756118834468906
2026-02,0.40850850163463603
2026-03,0.4046700866713515
2026-04,0.43519178048010426
2026-05,0.46381720288836586
2026-06,0.4754472007495901
2026-07,0.4552183063949403
2026-08,0.42935836668805427
2026-09,0.425966547506289
