ym,epoch_building_000,epoch_building_002,epoch_building_007
2018-01,0.09199820672508932,0.07866979139868277,0.07977299908219763
2018-02,0.13138782234155622,0.12064181307702292,0.1238969627889196
2018-03,0.13088047659058022,0.13098279422633802,0.12450239710755506
2018-04,0.12021259533898795,0.11304711472723396,0.11341644540913964
2018-05,0.12100208722375258,0.11881214810388088,0.12123074180743365
2018-06,0.14069850750173435,0.13291926590762937,0.13448030460946242
2018-07,0.14063281046339746,0.13697364343336052,0.1359335687579834
2018-08,0.13173633226918094,0.12606941002565109,0.12553549978487674
2018-09,0.13119712690687138,0.12444865126637009,0.1241050520468654
2018-10,0.12109567881242755,0.11471795379780372,0.1141602681543499
2018-11,0.11962912129243256,0.11217813469478033,0.11139420265923772
2018-12,0.11382908202203876,0.11476825435674615,0.09685420267964531
2019-01,0.10671641230237419,0.10183676472704734,0.0996135281609644
2019-03,0.10919649058970135,0.10353647049596468,0.1055860144690606
2019-04,0.2864222275747094,0.10992872848602407,0.28486342200218173
2019-05,0.3025970940314372,0.10298550183808444,0.23342685260080479
2019-06,0.3327872877625181,0.12636281296948454,0.2805913139958788
2019-07,0.39550609928313796,0.13151440147106033,0.2758563124060431
2019-08,0.44646452003587955,0.1331268692619183,0.2571580974063485
2019-09,0.4365633522612917,0.12522888216589698,0.2275919597969835
2019-10,0.5906247796158888,0.12613865422752346,0.22242236320385422
2019-11,0.7735588846004287,0.12101939864607306,0.2066560349084382
2019-12,0.7995457386593665,0.11336614627538646,0.21143459407614137
2020-01,0.7944002925495093,0.1747325902748861,0.24147739773630428
2020-02,0.82191927196957,0.10619273435622201,0.2442640160523692
2020-03,0.8137382017580284,0.12281905513482155,0.2202842689603468
2020-04,0.8860670745914792,0.11382389123178233,0.24782829757675767
2020-05,0.8660254060151777,0.12754215436503913,0.26612475567046484
2020-06,0.8141821864181678,0.13501915385028357,0.2558117858639628
2020-07,0.8190734705690147,0.1369505040576307,0.27139045900813974
2020-08,0.3403120908177094,0.12844728371196107,0.22616960008277803
2020-09,0.7054823148018486,0.12338882319126235,0.2500088678172171
2020-10,0.6633981833731286,0.11511843443426667,0.24654235863933022
2020-11,0.7073456676985272,0.11501413210452764,0.21056133814438743
2020-12,0.7182483848508876,0.10114771330280353,0.2114742094944684
2021-01,0.7450677199043392,0.19397944842098747,0.20373515355975524
2021-03,0.8527221779381328,0.09631076845316137,0.21792501106970227
2021-04,0.8598844620267935,0.1114985112022013,0.23174932583421398
2021-05,0.860762010958847,0.12733754560161412,0.25415568734537647
2021-06,0.8038993940071976,0.1367041392238323,0.24072390324018234
2021-07,0.7235879595327965,0.13774016277244455,0.2390044440046705
2021-08,0.5800376424366392,0.14389985556183552,0.22146967184801375
2021-09,0.6464192101946507,0.12126139209356865,0.22213322142716077
2021-10,0.6322639686841058,0.10828152066627132,0.1850603837852829
2021-11,0.6430736754598338,0.096633963776156,0.18775945961501617
2021-12,0.6774807179199922,0.1083838924877663,0.18139866311907746
2022-01,0.781855457218877,0.07238093016164374,0.1908403413852982
2022-02,0.8008028798685268,0.08595582994369094,0.20082854401766376
2022-03,0.8496232419662804,0.10232283011386326,0.19930368732564263
2022-04,0.8167856397691353,0.09923596693269948,0.20720039393650916
2022-05,0.8854379000235629,0.12476151616508584,0.2314563359533065
2022-06,0.7876055762982611,0.13592631700932514,0.2347932514413394
2022-07,0.8003466583953249,0.13060410680411016,0.24109953245233298
2022-08,0.7581568547108952,0.12543173557671422,0.20517475983755767
2022-09,0.7639905094838612,0.11497789246451805,0.19832452037529744
2022-10,0.719744301928904,0.11209998674047508,0.21073911574408566
2022-11,0.7534099830322016,0.09188544214929867,0.19043360198290857
2022-12,0.6881106694536034,0.09133929442681236,0.11372231321943561
2023-02,0.8693132020544935,0.07054346233176532,0.22746471143328
2023-03,0.8318887735518774,0.08297309029796043,0.21439935820603118
2023-04,0.6783968981935304,0.10830290132313095,0.23299776975935405
2023-05,0.9012237323556862,0.10660165622029538,0.25107370669162066
2023-06,0.8437383823613125,0.12244215903656372,0.24742085978890166
2023-07,0.8308556625757526,0.12910733999127244,0.25477315889449836
2023-08,0.8058625188790065,0.12626867189349256,0.23788002042249412
2023-09,0.7683300651675338,0.11076161506164295,0.21699443465450838
2023-10,0.736892425556115,0.10289343470897326,0.170840011568342
2023-11,0.6601310516024519,0.12134833156258273,0.18712824485198476
2023-12,0.7126567516261617,0.12805348046782278,0.13836994319013002
2024-01,0.7361721066509681,0.08198710218405127,0.17710102410848616
2024-02,0.7977289039920942,0.07844890783550225,0.2954306176282383
2024-03,0.8332112994160586,0.07984445570304323,0.343626269771783
2024-04,0.8779380255932382,0.09030091677161298,0.34455870174893055
2024-05,0.8696287672062157,0.10447101586070848,0.23662092158544298
2024-06,0.8062373608547302,0.12319643953220671,0.1342015136429126
2024-07,0.8206009839891708,0.11937805380488413,0.46554738910430976
2024-08,0.7704368170463465,0.12246873778687406,0.4711481603883674
2024-09,0.7711581964287018,0.11245143209376159,0.6033258739394884
2024-10,0.7066113088980672,0.1168094388875218,0.6764168647628845
2024-11,0.6096346805647457,0.18338153034609395,0.572700506664324
2024-12,0.739409743835922,0.18503823658768492,0.675647986215431
2025-01,0.7766045706653616,0.18242205561359381,0.7180079874199718
2025-02,0.8082194062757173,0.21181313416527897,0.750214065277374
