ym,hall_A_original,hall_B,hall_C,hall_H_east,hall_H_west
2018-01,0.3336693880905945,0.2783303789581074,0.24788672375498727,0.09577818550654509,0.08080325757239464
2018-02,0.21586027515618467,0.2099339558982834,0.1950106199997947,0.13636003833078475,0.12799783407003712
2018-03,0.3439632559199566,0.29057457093599875,0.2750168342950803,0.1579999384734615,0.12281746712026366
2018-04,0.3505856669431432,0.3094164587530348,0.28779996175347633,0.205535778347687,0.15646830961095853
2018-05,0.3448242903151083,0.2914520636396509,0.28379309248833323,0.22620181889578866,0.1804492836806348
2018-06,0.3499539988193713,0.3028333840203522,0.2934239175546586,0.2209317871832527,0.17630349607407153
2018-07,0.34127594244808607,0.2921550506224492,0.2839496172222273,0.23164815250299106,0.17825107070169022
2018-08,0.3296877909539929,0.2876405507451316,0.27681784462403725,0.23741219149839315,0.16050200426155287
2018-09,0.3053686083525748,0.2616687199752055,0.2559909763387008,0.22507352169919748,0.1523868770942882
2018-10,0.3044990218715207,0.2638483045676428,0.2534946379006908,0.23932379398371023,0.1500912305906313
2018-11,0.28616648845150816,0.2509456648070667,0.22859688801524689,0.20260751185790915,0.1625926254151584
2018-12,0.2792350950699708,0.2509026516104986,0.2175529110886406,0.17057742012811034,0.12608055532420093
2019-01,0.3864642904345241,0.2686311573428381,0.24143700117036895,0.32525674215552536,0.1850166666666667
2019-02,0.2882173821426171,0.2544076882845188,0.18429144946609421,0.15668065173297166,0.14175776731222198
2019-03,0.3146887560058883,0.2750706036275117,0.2601073149518282,0.23196455930877316,0.1782812600636812
2019-04,0.3274540739163249,0.29378619311431386,0.27188816701544266,0.3060193560123707,0.2900415329194389
2019-05,0.3267128550292547,0.2936388788806241,0.2744120078102427,0.3462416682565957,0.2811992567275623
2019-06,0.3354995499787039,0.2917621171031561,0.276982000251002,0.34712898047863483,0.283754732757989
2019-07,0.3278373642837392,0.27299772005268874,0.26587985812560055,0.3239886803001194,0.3307844771459435
2019-08,0.3409079750349332,0.2999223224662946,0.27228622452404516,0.3180560860247497,0.30272776708354043
2019-09,0.34459314917766976,0.2934843243129813,0.2648037634220304,0.31375172873304086,0.2934676764986396
2019-10,0.315230835518991,0.2714365172529576,0.24730657668543343,0.2915841863485035,0.28653501683501675
2019-11,0.3052783455505989,0.2638794643318354,0.23608758066352054,0.2770546732807698,0.3284234423069419
2019-12,0.277684431766385,0.24502152196652704,0.1795479613516577,0.2384028312560734,0.18972391016050572
2020-01,0.14589080675364863,0.11860228862566902,0.08006647899902808,0.10866339496340201,0.176314928348608
2020-02,0.31134258408243465,0.28283786417170304,0.2475610123511429,0.25765221931844584,0.33945164590370314
2020-03,0.3319004348401781,0.2929108130048058,0.2598078624860272,0.2881256431076227,0.3780979417291842
2020-04,0.33299465989673227,0.28584184346825003,0.2626144647094363,0.2837325247622133,0.3761206900540901
2020-05,0.33175391662370063,0.28314809859109463,0.2695520723702453,0.2882675420887374,0.3916886213561904
2020-06,0.2794877183906935,0.2797528068340308,0.25934617908104185,0.25654256145470883,0.37153327481769344
2020-07,0.3146891480864578,0.27692612371491027,0.24187648533953388,0.23075903682661464,0.27865242372430077
2020-08,0.32391038897232993,0.2765757131695852,0.24668442329413592,0.26332919034920765,0.34974525249834887
2020-09,0.2980298043369425,0.27304678637842866,0.24948015626322517,0.2526024266007622,0.33077936832703086
2020-10,0.3049291478924283,0.26622769932589496,0.24773793863297414,0.24602872135725184,0.3321845956569286
2020-11,0.19947335867037377,0.18566219655597663,0.16904448575528813,0.15078386873094246,0.21961532510092932
2020-12,0.2655443083234321,0.22707352426519947,0.20295463541666667,0.14769776478679503,0.2929399209034861
2021-01,0.2818769028297727,0.25278571675318984,0.21902758217433058,0.21982757025959837,0.29276432731900187
2021-02,0.3083508884604753,0.2924177475592747,0.2677019833521586,0.2576874973193065,0.3349013987928292
2021-03,0.3307899564362947,0.2856478010873496,0.2551298289393423,0.2521640427668606,0.34602846523565645
2021-04,0.3421857827643152,0.3021684432951085,0.2686738292662281,0.27499300357475065,0.35870242927342383
