ym,epoch_building_000,epoch_building_002,epoch_building_005
2018-02,0.12487140397253803,0.10531930556638842,0.08013485192816783
2018-03,0.11994909234488016,0.12854975755921283,0.05279787107025101
2018-04,0.12599429483088717,0.12483065478511814,0.058787015987431884
2018-05,0.0837638350672758,0.07513537653069183,0.05090522420501896
2018-06,0.07601068570508092,0.06350445980552742,0.03502539806455365
2018-07,0.08126751707348212,0.06792905974572964,0.02792476440594372
2018-08,0.08077365228147922,0.059108820164833736,0.032487697118872914
2018-09,0.06190056744443336,0.051779774718560705,0.026119289254629665
2018-10,0.09049953099873836,0.05619076970075139,0.06585448964032259
2019-01,0.08760549877058775,0.0931030295348777,0.04520157633869397
2019-02,,1.0784995555555557,0.1619918874926753
2019-03,0.12438559057740635,0.12150931317109948,0.06458812954816116
2019-05,0.10112886459444598,0.10325571718274706,0.09463661802182824
2019-06,0.06792761603433238,0.05859711020981204,0.03993854667021799
2019-07,0.07933625343107875,0.06475196097548296,0.036155496673234935
2019-08,0.07927109501999541,0.07101181371821164,0.03209664756800052
2019-09,0.0764897927235701,0.07058510061617658,0.030354546706955324
2019-10,0.07593704892422626,0.06496822465746299,0.02753237157998181
2019-12,0.10226288208279768,0.09686960650495277,0.06922846655216859
2020-02,0.16552877179749667,0.15407181378082122,0.07591319758880492
2020-03,0.12736519577896727,0.13084810727192367,0.06065981254764381
2020-04,0.10906305228573443,0.11317606344181136,0.06159163031199201
2020-05,0.08907650761210612,0.07440420989002418,0.041520904473691486
2020-06,0.08615618867364008,0.06824196013051503,0.03969219821027858
2020-07,0.09436514396641583,0.07578849868704989,0.0304257421711165
2020-08,0.08676530066849979,0.0656094993890232,0.02772472301564707
2020-09,0.07033448221697233,0.05695374840756052,0.03013282635782799
2020-10,0.07668782331009344,0.04617648844343916,0.0597227906307498
2020-11,0.08464986383765077,0.05790604022047158,0.048274279259007555
2020-12,0.09586128276253507,0.19840212956037556,0.11718844273443978
2021-03,0.12362978855324479,0.1058239415152224,0.06594119941342691
2021-04,0.11390802142125533,0.08863408145490476,0.07018209849897288
2021-05,0.13660305149550628,0.07361815056027872,0.053683680654414805
2021-06,0.12846474337348301,0.0757810460702493,0.03842810866909746
2021-07,0.11815053756593943,0.12465888711228981,0.1026433046299763
2021-08,0.1082994530710992,0.07971389484699579,0.031008472093386377
2021-09,0.10240770928122699,0.08149619504458831,0.06632874610324466
2021-11,0.0730976074330054,0.07051313307594312,0.05112183392878467
2021-12,0.06846104267534704,0.08332810233211137,0.03465259197350014
2022-01,0.15323027271981263,0.15959392858071375,0.15887659024878456
2022-03,0.15290837945528987,0.12777212483425632,0.1348499462716177
2022-04,0.09997156456010145,0.10789360944284115,0.11930692741388957
2022-05,0.09624452113707718,0.11366570145334477,0.056609936536218444
2022-06,0.0855326301824515,0.10433403270675709,0.031641338556160706
2022-07,0.09370437664694134,0.09964627174167379,0.03080305899713144
2022-08,0.08362718566404984,0.08223699789408,0.0333375272086039
2022-09,0.06738082511952201,0.059260690468762145,0.026817635002127728
2022-10,0.06572636580258287,0.06255680036658606,0.04177239968405876
2022-11,0.06397868679316396,0.06486797344200917,0.04603743429370911
2022-12,0.17907333406277462,0.16585733107141934,0.07858626299750386
2023-01,,,0.1575189322857788
2023-02,0.08135798935623786,0.08176681486103528,0.03442603698839407
2023-03,0.15378144478340183,0.09748004965811292,0.12090297701588079
2023-04,0.10357060716858298,0.10417198736448006,0.06575721261438335
2023-05,0.09091514927709353,0.08261066641967603,0.04717749622676746
2023-06,0.08098401733638479,0.07897507539713491,0.039993211855144636
2023-07,0.06611306064391419,0.06316400111795754,0.02858669173991179
2023-08,0.06559862576325384,0.06515989294906793,0.03172580661456088
2023-09,0.06795364492628084,0.06247858461378465,0.0299810077056603
2023-10,0.06057822496573147,0.05847120869406968,0.03406659931484835
2023-11,0.07683191578601843,0.0586760251474368,0.0792099991810547
2024-02,0.134601639481991,0.1764818643626785,0.15447144286899397
2024-03,0.10405803403450865,0.10325690143774538,0.062347032080895676
2024-04,0.09335340783180018,0.08519295654265135,0.058869535547983576
2024-05,0.09119691871897981,0.07978979213789875,0.049295410738941337
2024-06,0.07479687632021254,0.06419468157710007,0.02902607510597381
2024-07,0.07221629662724649,0.06562016873358813,0.03134947817648014
2024-08,0.07265438682872416,0.06757528956399655,0.035016768306683474
2024-09,0.06827434768204872,0.0661773587603671,0.02990455604436648
2024-10,0.06124265437558321,0.053035187712866895,0.029823244337089754
2024-11,0.07277201377428055,0.06426916322179756,0.049769252670346514
2024-12,0.07915865649096256,0.07329247263603986,0.05588965078082193
2025-03,0.12816647140387855,0.11572404778618409,0.05875320885492728
2025-04,0.11861780596257354,0.10593836381717495,0.06869274881139349
2025-05,0.0942104345037825,0.0823735157814003,0.05068047746316321
2025-06,0.077894039250013,0.11331506967735218,0.03947432597448507
2025-07,0.08936308283108277,0.17889667830122458,0.032697825607773644
2025-08,0.10142134192858172,0.17160880879026597,0.03777055237679627
2025-09,0.10008034460015992,0.16825289174011396,0.04333431626778851
2025-10,0.11730365161282491,0.17395471882068494,0.054442621608300226
2025-11,0.04689938723404255,0.08553185589679198,0.09839441696185011
2025-12,0.33023643909041206,,0.19757241615331955
2026-04,0.23538876076628368,0.6654907752239969,0.2374376080307858
2026-05,0.29566274379291174,0.6924459942022199,0.2730811188361609
2026-06,0.3609763071433561,0.6494785625146244,0.22035271596207484
2026-07,0.3443253726988412,0.5374664690741753,0.20145808635115414
2026-08,0.3938730166039044,0.5617859160101915,0.20629200166542683
2026-09,0.35081268194238013,0.6011069534357694,0.22535299087995128
