ym,epoch_building_000,epoch_building_001,epoch_building_002,epoch_building_003,epoch_building_004
2018-01,,0.10208311911030049,0.1953234365082329,0.1625688928617036,0.1397228770494578
2018-03,0.12030610193451893,0.111689902461304,0.13579663069203826,0.12447019585030056,0.11372029150529675
2018-04,0.11217815794340658,0.10244531395807478,0.12392078907507335,0.12265983200669701,0.12225298491947223
2018-05,0.14031252128058114,0.13004891531261126,0.15893116349521932,0.14976029502877933,0.1517140052121863
2018-06,0.05987840311467085,0.059253849076933394,0.07320912666856004,0.08243397986161359,0.08900751705564663
2018-07,0.03796506671268653,0.04053715691650554,0.03925367084923587,0.03799305758467636,0.03967091184249336
2018-08,0.050970945071204005,0.04628012857513929,0.04740735113130741,0.05087098237299998,0.05513259282271344
2018-10,0.047288666163994415,0.049439554292091174,0.06767401637792289,0.11010634846313555,0.11276219182586084
2018-11,0.11333704409763218,0.09882362550145737,0.11609904525229575,0.10840851459299931,0.11293159948361645
2018-12,0.10438199556130939,0.09474024021857293,0.10024120278330018,0.11584248570496185,0.10470294454678647
2019-01,0.09678986593826615,0.07702640816954798,0.09339480829309856,0.09187076954364658,0.0941833451792112
2019-02,0.1223570338545,0.1084078684329514,0.12012181861213665,0.11349609481784187,0.11964116079933088
2019-03,0.12676781569949683,0.11001883435789395,0.12657608586575775,0.1213439322351338,0.12357750467791298
2019-05,0.15021712215409283,0.1315948189942951,0.16572481728675575,0.15329788636804345,0.15073300019823724
2019-06,0.10019425649561584,0.08420222805852981,0.11656347621823646,0.1026211698675787,0.09476891774685098
2019-07,0.06168112347242173,0.06655826066536577,0.06323177994411025,0.0572769348156955,0.037529991345256586
2019-08,0.047179459674780565,0.0381966325576695,0.04969889076438532,0.051544811225695,0.03915677745927798
2019-09,0.12048943842976574,0.08904545578669168,0.10169226995171826,0.054723268160255786,0.05593158352794418
2019-10,0.11609763388390167,0.0814002712921008,0.13310469279560727,0.11034516053139268,0.09952460178672991
2019-11,0.08598012666391619,0.07122467026465407,0.09419665151945474,0.12660820781251314,0.13581442634523233
2019-12,0.07392677654322742,0.06886787449373237,0.08139752035406607,0.10649977676565607,0.11596690019968772
2020-01,0.13854979395180983,0.11251442658277774,0.1260267414560258,0.15006739974555072,0.1861431649284654
2020-02,0.07215860446809215,0.06156433759512056,0.07366737811227873,0.0995933762775673,0.11208486773714726
2020-03,0.09727495649039941,0.08129791552425754,0.07680759269062722,0.08799219104291825,0.10009681210118215
2020-04,0.1648858797540671,0.16368705974571787,0.19327856550986888,0.18115060512036035,0.1622615200315114
2020-05,0.1119561347351249,0.11797122451829224,0.18288804691485458,0.07233920505871726,0.07419623319907054
2020-06,0.13739990894993678,0.12438683223181043,0.144224758117959,0.09910613374196578,0.09243741218336453
2020-07,0.04639556771137128,0.04387608011775227,0.055349614929470756,0.06544460666770724,0.062273363152238734
2020-08,,,0.03615622665573471,,0.03780920868189014
2020-09,0.07321612629402534,0.05818476627512092,0.0736081752343084,0.06369065584547644,0.06451836497874992
2020-10,0.09359119873098971,0.0829327734326147,0.09599020959138896,0.09316251986259297,0.10116288710636638
2020-11,0.10913137670541034,0.09160038865960538,0.11119529489728297,0.10332850305291891,0.10929923702876375
2020-12,0.09796360510828792,0.07821955251233809,0.10163182381899077,0.10015012462341033,0.10532666217006814
2021-01,0.14640970086260438,0.08071106718648167,0.1381304371390703,0.12118027119189172,0.12446236588773966
2021-03,0.10304784751959711,0.08888783370371436,0.11033572706617434,0.11626722357014149,0.12098815218810295
2021-04,0.13676495868760039,0.1310614813318326,0.14114593628703967,0.1473396335974047,0.15554726394628343
2021-05,0.1620997832818805,0.14287499443786486,0.17765561819558823,0.17992941963800108,0.18718240427805408
2021-06,0.13470445721356844,0.12344486252609507,0.12783363959102528,0.13987349352289344,0.16063668354099875
2021-07,0.15400336225832412,0.1106473307885075,0.11324389929628939,0.1160349640523394,0.14140023128634108
