ym,epoch_building_000
2018-01,0.06912453946357949
2018-02,0.07180682333064553
2018-03,0.06807848174173488
2018-04,0.06269795050493418
2018-05,0.0541512347367815
2018-06,0.06432034183849787
2018-07,0.07840656606381757
2018-08,0.07178606559344161
2018-09,0.05390523605191417
2018-10,0.052493194908420714
2018-11,0.056779223303766856
2018-12,0.08058869129900556
2019-01,0.1718185140920786
2019-02,0.14354960642015135
2019-03,0.16139658833467735
2019-04,0.1773464913796414
2019-05,0.16188826940060672
2019-06,0.17625446809123374
2019-07,0.20048317878124639
2019-08,0.20235141256767664
2019-09,0.19601435654494492
2019-10,0.1752133094785548
2019-11,0.18531219641554358
2019-12,0.1518306488307799
2020-01,0.16018684195369204
2020-02,0.16223411425335033
2020-03,0.15136383686408791
2020-04,0.20918047987943014
2020-05,0.19430979245087648
2020-06,0.2352864987712629
2020-07,0.20845985389548055
2020-08,0.2137441327804016
2020-09,0.20258020629343787
2020-10,0.21559522304458012
2020-11,0.2129974460882314
2020-12,0.20872744691471798
2021-01,0.1842736037514881
2021-02,0.22457450108807703
2021-03,0.2128951632876398
2021-04,0.23175665437929582
2021-05,0.22091347099028527
2021-06,0.2748171368597978
2021-07,0.23214054208424523
2021-08,0.2341076527281804
2021-09,0.24286382473217383
2021-10,0.21794804386015454
2021-11,0.21792891659947025
2021-12,0.22972276995597352
2022-01,0.22306549072687498
2022-02,0.20033497940905434
2022-03,0.22364538935606493
2022-04,0.22588505092539268
2022-05,0.24941394208616524
2022-06,0.2826325656126406
2022-07,0.27403550138232935
2022-08,0.29396562799984677
2022-09,0.23639085502822255
2022-10,0.22121888823292257
2022-11,0.18444317546941602
2022-12,0.19563501516722345
2023-01,0.1974164799562264
2023-02,0.1742446401144262
2023-03,0.17173353948277859
2023-04,0.18093206854991684
2023-05,0.1628177307721845
2023-06,0.1699829416733862
2023-07,0.17397602618745933
2023-08,0.22762363470990304
2023-09,0.23741116926813355
2023-10,0.1838047205583075
2023-11,0.15893681027531387
2023-12,0.19673469046384837
2024-01,0.21030151576239314
2024-02,0.23035080011903408
2024-03,0.19408936950428143
2024-04,0.1779302701301693
2024-05,0.19790370277020758
2024-06,0.23151253551818154
2024-07,0.23276447269899786
2024-08,0.5770493433936188
2024-09,0.7699666793860155
2024-10,0.7006143771838889
2024-11,0.7471851222017438
2024-12,0.7357074657777525
2025-01,0.7217912121299388
2025-02,0.7997190727834733
2025-03,0.7391927130130944
2025-04,0.731003548458319
2025-05,0.828538205563875
2025-06,0.886032334984449
2025-07,0.8081651974618906
2025-08,0.750537529278501
2025-09,0.7360031899390082
2025-10,0.7251538548890784
2025-11,0.7163958712513921
2025-12,0.7067995387436169
2026-01,0.7168317774929928
2026-02,0.7317588469070385
2026-03,0.7363248377683063
2026-04,0.7986685976078023
2026-05,0.7946337989094956
2026-06,0.8285441260607459
2026-07,0.8042272928426064
2026-08,0.7398119029105708
2026-09,0.7317008077986411
