ym,long_halls,white_block
2018-01,0.09449867383735958,0.08722345094949185
2018-04,0.11273875312300255,0.119857933934719
2018-06,0.14693203689852907,
2018-09,0.08651498088431811,0.12865076771110232
2018-10,0.09217518662483284,0.12091082203919169
2018-11,0.0964763953866711,0.13250727095771442
2018-12,0.10363605322177687,0.12384263026394154
2019-01,0.10718121912372527,0.11612656451415672
2019-02,0.11424464868398107,0.15129919976370892
2019-03,0.12013634791702975,0.14382782100028235
2019-04,0.1087159319621175,0.1401937014279281
2019-05,0.12587170248678176,0.18201656022759108
2019-06,0.12661104049735647,0.16881072334152342
2019-07,0.09619745546452813,0.13981954427765633
2019-08,0.08604806548137812,0.16702796197033756
2019-09,0.07997890587415024,0.14721879125284892
2019-10,0.08161886200685624,0.14938850674165408
2019-11,0.08953353186915351,0.13881845397364945
2019-12,0.08866184768247536,0.12352986521888654
2020-01,0.09153395626490428,0.09905033425897357
2020-02,0.09667379222590182,0.16277378509899632
2020-03,0.10045671210272505,0.16268115389085008
2020-04,0.10473560318195857,0.18889755786175721
2020-05,0.1481993023647667,0.1802180214918167
2020-06,0.11376105630120265,0.1815965012129401
2020-07,0.08183583873685443,0.19033316223019803
2020-08,0.0778165591482192,0.16783547779921437
2020-09,0.10683653534314733,0.15684713827906419
2020-10,0.09222763151472894,0.1536647322090034
2020-11,0.10180955714368715,0.15760424942984566
2020-12,0.07579166666666667,0.1462205581242743
2021-01,0.10714337557567284,0.12272071803297585
2021-02,0.11111710002124955,0.15746955665954884
2021-03,0.11410774088733604,0.15799503842187057
2021-04,0.09060267630342257,0.18090715155212725
2021-05,0.11907102422869088,0.18609774480324237
2021-06,0.11905847458021052,0.1903561589750294
2021-07,0.12104631630541089,0.17749024600165608
2021-08,0.11895393699772654,0.15633300057817998
2021-09,0.09157923828271317,0.16013170697810683
2021-10,0.09563971999196787,0.14877081022799024
2021-11,0.10469985067812804,0.15843678352735543
2021-12,0.10603087147754346,0.15364375984404166
2022-01,0.08891771948542088,0.10676541916584195
2022-02,0.13877530847770347,0.17808839503153703
2022-03,0.12033520492708161,0.1831664701268139
2022-04,0.18320985058140876,0.20700575492097997
2022-05,0.14387805008424814,0.19634009238680433
2022-06,0.12616733025390744,0.19888733763309635
2022-07,0.10398595793387945,0.19886064423817196
2022-09,0.10499117029806518,0.1738952452027136
2022-10,0.11043877665446498,0.17097935886299068
2022-11,0.1068087818406365,0.16250417234372316
2022-12,0.10924916629500088,0.16805036838533305
2023-01,0.1128330763284145,0.16157193983236715
2023-02,0.16519553288538846,0.19303050573023084
2023-03,0.11833112245075827,0.17751053187780552
2023-04,0.1648742434972445,0.21029626784000446
2023-05,0.16661412550113297,0.22036950734300798
2023-06,0.13726843832432725,0.20236226943246002
2023-07,0.10730412143549317,0.17285409290974832
2023-08,0.09579187882749393,0.17676345942098437
2023-09,0.0897167344140375,0.16116857679289948
2023-10,0.11206382633199682,0.1726425916684904
2023-11,0.11653984763516803,0.16727711639484208
2023-12,0.12740253154825548,0.1898761955140745
2024-01,0.27719444444444447,
2024-03,0.115850779754417,0.17586492015622296
2024-04,0.12515559101737264,0.1880583334059647
2024-05,0.12845286438905348,0.20597325910431313
2024-06,0.13033565734930652,0.21183102802109177
2024-07,0.09833110670501445,0.18606847053354808
2024-08,0.07698528023684129,0.16843222527272972
2024-09,0.104320174597641,0.17610350939120595
2024-10,0.1121492704994534,0.16663244055141535
2024-11,0.1035383573296147,0.16842107840767356
2024-12,0.12699056390816618,0.17444597305634524
2025-01,0.1396399481327243,0.17465060665875914
2025-02,0.16857320668951714,0.20239358487278972
2025-03,0.16889468588226442,0.207106799400626
2025-04,0.13932053692406024,0.2008466433765905
2025-05,0.1397989983731333,0.19888534759608756
2025-06,0.14325432316541725,0.20491367441272293
2025-07,0.1763263393362158,0.1769596363115693
2025-08,0.23813435047353448,0.18147185187606216
2025-09,0.2595780345418628,0.17766001240930326
2025-10,0.22728028377200601,0.16336713659011365
2025-11,0.2648569627541509,0.166907022704493
2025-12,0.32030960219289134,0.1946231002427548
2026-01,0.2458267649572318,0.17261138711747503
2026-02,0.23765570489511195,0.16644777014110657
2026-03,0.23296520803579157,0.18067052497784764
2026-04,0.2643200839228098,0.1959382742842203
2026-05,0.28902906368020476,0.2174117071222093
2026-06,0.30952634838184867,0.19993379686523993
2026-07,0.28517141862762185,0.2171973101785276
2026-08,0.2740215345999648,0.18177968681454346
2026-09,0.2508531170181858,0.18727451315349847
