ym,hall_north,hall_south
2018-02,0.11709153823483524,0.7871352390891132
2018-03,0.5107702147803863,0.6336027777777778
2018-04,0.033678710225015354,0.08148843165065178
2018-05,0.05602049123027779,0.10167520524991888
2018-06,0.061853407573628665,0.10971572757230216
2018-07,0.06445787177820195,0.10473033810952961
2018-08,0.07032397395298119,0.10345225174114829
2018-09,0.05604141203363881,0.09713372227652352
2018-10,0.058444195843764334,0.08702285885913946
2018-11,0.07656050118024822,0.1973833333333333
2019-02,,0.25214931332149276
2019-03,,0.11220138888888886
2019-04,0.07142182089203455,0.11784545692037741
2019-05,0.06734073022066937,0.10416421510130291
2019-06,0.10529069293272465,0.1090278916223476
2019-07,0.1410659962717234,0.10307034486299314
2019-08,0.11734157037099187,0.09162982319791242
2019-09,0.10523538834012597,0.0873110616364714
2019-10,0.12007524849868279,0.11352839429259516
2019-11,0.1248372962649478,0.20625556510118367
2020-03,0.09358327394865627,0.16671629969220753
2020-04,0.09533800332686497,0.09059938549328217
2020-05,0.13477730520528322,0.11279247260511514
2020-06,0.13171314185784586,0.10447427794732023
2020-07,0.12145766183127696,0.11297321384075194
2020-08,0.12368245932875617,0.1015526244020692
2020-09,0.10473264799858459,0.09162912087111615
2020-10,0.07435665839810379,0.0994844658980471
2020-11,0.06384720463783572,0.07618063833243378
2021-02,0.17935679905141635,0.21439693911393776
2021-03,0.10840163599182005,0.10912269794173955
2021-04,0.07573164871036689,0.10554544721929016
2021-05,0.09818405616257368,0.11214675485511053
2021-06,0.09804840252873727,0.106446382802735
2021-07,0.09623614534040616,0.10127786065427047
2021-08,0.09125228231818008,0.09845467877510186
2021-09,0.07932991061439361,0.08896107659811853
2021-10,0.053065296972832125,0.080871572808022
2021-11,0.08083684105717835,0.10494758849159627
2022-04,0.06458648944224783,0.10709453808466393
2022-05,0.10276803708893761,0.11613871252433029
2022-06,0.10074552698912329,0.10656027859670564
2022-07,0.10187179567840399,0.09920694151558956
2022-08,0.09700971322180994,0.09369873322430926
2022-09,0.07971469615461246,0.08614327031186049
2022-10,0.044985792280966684,0.0662195226671779
2022-11,0.11592871766312446,0.1500346691164018
2023-04,0.10132019604199588,0.11102584082722894
2023-05,0.09487371273712747,0.10387170269882513
2023-06,0.10849479828590211,0.10999609427487314
2023-07,0.09837861350539562,0.1036923743845087
2023-08,0.08494244396442245,0.09390000511949981
2023-09,0.06814126565458778,0.08726643040090915
2023-10,0.051844618976714274,0.07626513306126477
2024-05,0.10010805912659301,0.1103363626472129
2024-06,0.10479817207157457,0.10927307465121214
2024-07,0.09545688120853699,0.0985650588332824
2024-08,0.08445203904489607,0.09052213463003171
2024-09,0.06722077003917085,0.08205697078974598
2024-10,0.048366818828979405,0.07245014136222405
2024-11,0.10318583515671788,0.12079851781233088
2025-03,0.0681511126074131,
2025-04,0.0758190075749633,0.10121281609641983
2025-05,0.09099252144370103,0.10692802806173993
2025-06,0.09644277729652329,0.10495716560537055
2025-07,0.09049921472129599,0.09439355847663865
2025-08,0.08520848334020734,0.08556957732954065
2025-09,0.058431442201088916,0.07612893832613654
2025-10,0.051965094944156666,0.07597346365798252
2025-11,0.09360763980640668,0.10958874838517993
2026-02,0.2390229166666667,0.2055472590139809
2026-03,0.08338309123788167,0.07347007575757576
2026-04,0.0716285936986627,0.09464027581152298
2026-05,0.08848681162864938,0.09748553338549129
2026-06,0.08837169268339289,0.09364267584787099
2026-07,0.10250889166876316,0.09393568182877995
2026-08,0.07793906352126831,0.08446917923555602
2026-09,0.05961332585337894,0.07298651696260339
