ym,epoch_building_008,epoch_building_009
2018-01,0.12372510651387437,0.11707531858587497
2018-02,0.16424767827300607,0.1558707626059228
2018-03,0.1492017482966963,0.15456498574873928
2018-04,0.1662575780948708,0.16694837504856208
2018-05,0.17273506810096798,0.15752742146420656
2018-06,0.17508770040218175,0.1667384964823813
2018-07,0.2184639372486365,0.267786326968552
2018-08,0.22516251905312842,0.2718145682118035
2018-09,0.2754756312783502,0.30061773926155005
2018-10,0.21827959708372352,0.25220896713940094
2018-11,0.21664545892788278,0.27262310742873425
2018-12,0.1275758626705599,0.1971814383708343
2019-01,0.13367339219143115,0.179572783877455
2019-02,0.13840038978568678,0.20653758986371867
2019-03,0.1964658324610212,0.23334603945733662
2019-04,0.21511212651277256,0.2363481326690711
2019-05,0.19329798197528159,0.2938640748989334
2019-06,0.20976865530824745,0.3089754409043878
2019-07,0.2481161648577672,0.3151579447412658
2019-08,0.2408570207334763,0.30399950457155844
2019-09,0.21723360466824615,0.30571739576962553
2019-10,0.22546593713844967,0.2912922858375181
2019-11,0.224100943244633,0.27842533108698087
2019-12,0.14367151416593751,0.26331490976198996
2020-01,,0.3091028135607888
2020-02,0.1387682834279103,0.270027866799838
2020-03,0.13745214579561374,0.20890398842974575
2020-04,0.19092661616192816,0.27553352777361084
2020-05,0.17545900593172076,0.2918304165368473
2020-06,0.21394887064976587,0.2606316797480252
2020-07,0.2165896612675151,0.30401521096096984
2020-08,0.22875505147053193,0.29928729926108844
2020-09,0.24201428617339735,0.27894168407205266
2020-10,0.2520701709315262,0.27544494175325557
2020-11,0.247719942886526,0.25379990999203805
2020-12,0.24905703037481858,0.2583838916519538
2021-01,0.2431403352864655,0.23144479569346527
2021-02,0.2514780595192188,0.2529790216057576
2021-03,0.2332191031715424,0.24107935932794072
2021-04,0.2540161324904046,0.2640269700781225
2021-05,0.2702171836262465,0.272881647991938
2021-06,0.28417948368317647,0.2732029483377376
2021-07,0.2722245073733314,0.2641388530523855
2021-08,0.2585136108203403,0.24150324144058902
2021-09,0.25259331487704995,0.24147167499432656
2021-10,0.24003942298863254,0.1943430593860227
2021-11,0.2636521906506529,0.19965199902299058
2021-12,0.27104770682974333,0.2044683345065144
2022-01,0.20118434246047046,0.1542037858696924
2022-02,0.2395433559675318,0.2032756370755875
2022-03,0.21879112858795663,0.20683695788473583
2022-04,0.23559845187592984,0.23171480837627995
2022-05,0.2543704904331411,0.2540563769102653
2022-06,0.25821129827557737,0.28408594183331604
2022-07,0.2550360182175454,0.2692444300841998
2022-08,0.23577412171964832,0.24491806621354964
2022-09,0.23917100618882353,0.2343273062617079
2022-10,0.23919736469983277,0.22631507325648031
2022-11,0.19228968445264719,0.15665698542563394
2023-02,0.2530683883348943,0.25167693304745414
2023-03,0.21828148940053704,0.2180433307561824
2023-04,0.2540897690042334,0.25851173757678564
2023-05,0.25226179801847465,0.27080124645641723
2023-06,0.22181742488935416,0.2489986929613004
2023-07,0.2127731282023029,0.2295575777857273
2023-08,0.19432123849925617,0.2730388826703907
2023-09,0.23157122885791412,0.26568797355150664
2023-10,0.2193202174352194,0.22062440177400322
2023-11,0.1531721135658274,0.16085777838039522
2023-12,0.14189636154114568,0.16952057297376313
2024-01,0.15652663076414516,0.13382466987464275
2024-02,0.1402889382230445,0.16580659173696147
2024-03,0.2091778499348062,0.17179277378383478
2024-04,0.2074751712485996,0.15601611873358057
2024-05,0.40322977338255017,0.23299108795907358
2024-06,0.40955199943070175,0.36368240805917473
2024-07,0.6770521330321564,0.3276276116733404
2024-08,0.8478104911575122,0.25607012754974484
2024-09,0.7687217618863978,0.4205311419856369
2024-10,0.6441998677758803,0.6524039307323342
2024-11,0.6469877573320114,0.7507238474942008
2024-12,0.5794136402782826,0.7104621340450843
2025-01,0.613651487521349,0.7157734359193315
2025-02,0.6406934181771441,0.7446087596210436
2025-03,0.6439263686114631,0.7258050425614573
2025-04,0.7223987870273447,0.8253680125549571
2025-05,0.766729390483536,0.8722839728129806
2025-06,0.6724186794116027,0.7428033902999113
2025-07,0.6686618459956297,0.7361158410167049
2025-08,0.6483182124951796,0.7226455744161986
2025-09,0.634920901511395,0.699966000069237
2025-10,0.6454318343341966,0.7216314308573446
2025-11,0.5903158053734411,0.6619630390380691
2025-12,0.5812500514204914,0.6543752708893483
2026-01,0.5673339189300861,0.6473960467656756
2026-02,0.5798450076212514,0.6313957804397174
2026-03,0.6140722742548619,0.6768376104424624
2026-04,0.6427875061980053,0.7110324961438903
2026-05,0.724653347841258,0.7999693859456798
2026-06,0.6601975235524213,0.7249757901660538
2026-07,0.6427021911097648,0.7078746308327276
2026-08,0.6354018474647865,0.6773387705450866
2026-09,0.6171031784291043,0.6719669834254569
