ym,name,bright_mean,ndvi_mean,ndbi_mean,bsi_mean
2018-01,block_a,0.12408438872893873,0.14515568560714,0.10485445545278343,0.14442217010883032
2018-01,block_b,0.14260678293712248,0.12140435841008708,0.11206071894311184,0.14572755006700666
2018-01,block_c,0.19791451429497398,0.08500290564092736,0.12987778899000912,0.1421481120518799
2018-01,block_d,0.13956985807061772,0.13820767339521142,0.05529385369263548,0.1017648825166491
2018-02,block_a,0.14588126126773782,0.12276813373779027,0.10763356141217167,0.15645933696513856
2018-02,block_b,0.1623538209685947,0.1022128891956,0.10407457929319791,0.1520039233455872
2018-02,block_c,0.21891170408288566,0.07216013175927619,0.11310880819705647,0.13681559194797183
2018-02,block_d,0.1632897449840823,0.08117990712225652,0.05451054943295391,0.11107605617822999
2018-03,block_a,0.14056806928562918,0.13868319529954606,0.13250004677474478,0.1730421604891188
2018-03,block_b,0.1553171026155187,0.11193271633619756,0.12085405370073896,0.16672455001973968
2018-03,block_c,0.21933200396141014,0.07467492186914947,0.1305443217391403,0.1499289796519364
2018-03,block_d,0.13049771337092775,0.09936861020912119,0.09426989338859998,0.13739527558211814
2018-04,block_a,0.1504789360967405,0.20985889294740306,0.08114760565672414,0.14316580506118354
2018-04,block_b,0.1746020883714724,0.1153075720914974,0.10796313592375388,0.1645342041526473
2018-04,block_c,0.25024932893070634,0.07354353893183495,0.1160225746242888,0.13786259411180118
2018-04,block_d,0.14579050132592894,0.14187828152894943,0.07653200326553596,0.13993814751226968
2018-05,block_a,0.13625217631430106,0.3117446919089276,0.010765518474637187,0.07511900478524555
2018-05,block_b,0.16046360068915172,0.1698766890233983,0.07201751837027252,0.12686282543676777
2018-05,block_c,0.2755702823623934,0.12443924890877973,0.10282820365839501,0.12646767663552644
2018-05,block_d,0.13343691329911947,0.21622384213776746,0.017439257438220078,0.07901603066362965
2018-06,block_a,0.14260956686132914,0.33631677668971605,-0.008143468769803432,0.05287558369855708
2018-06,block_b,0.16986754913800764,0.1795408970265867,0.061219968730788554,0.111628865884912
2018-06,block_c,0.27833636096652026,0.1296699633618127,0.09426714452762858,0.11315435172465031
2018-06,block_d,0.13089188573041982,0.22756129780739254,0.01297043105209751,0.06870023077956638
2018-09,block_a,0.11092721762707254,0.41626836061586575,-0.06246433625815759,0.009834620046505916
2018-09,block_b,0.12450600533160412,0.30903683974249635,-0.0011211511300794096,0.05665219145910592
2018-09,block_c,0.1942231571847239,0.2223659144376425,0.04119656677094289,0.06729008409825052
2018-09,block_d,0.11613947836029187,0.3084819988395001,-0.052518357765434995,0.017649453432078625
2018-10,block_a,0.10632718995813682,0.2987568497190061,0.051372816485478305,0.12047915679808603
2018-10,block_b,0.11675216553943037,0.20123441003288153,0.11498417568163266,0.16629581286032796
2018-10,block_c,0.18858292492267925,0.15264279506543793,0.12582006084199088,0.14732393740454933
2018-10,block_d,0.11506378238897315,0.21660042914153227,0.04669569018180326,0.11201298454566698
2018-11,block_a,0.12204908550899377,0.168402448789726,0.11160556573541361,0.1782648701406231
2018-11,block_b,0.12540263939687807,0.15025792648898464,0.13280360262163013,0.18748778066893518
2018-11,block_c,0.1945286614256937,0.10557290838358549,0.1482253255218593,0.17137686748073636
2018-11,block_d,0.12983190796757332,0.14502059012695218,0.0740146198284122,0.14045525407362996
2018-12,block_a,0.11581768872882985,0.17151180351083398,0.10927366982320094,0.17533651117762092
2018-12,block_b,0.1211407630065934,0.15023227322452284,0.12967477202768365,0.18420511093659958
2018-12,block_c,0.1672691474554258,0.11873241983061364,0.14353444838804746,0.17722746484436397
2018-12,block_d,0.1283695731230667,0.15064087808612586,0.07971204418441705,0.14405046583182138
2019-01,block_a,0.13016822582208828,0.15359081328265062,0.10290658390120512,0.16534587899595946
2019-01,block_b,0.12393704609943951,0.12897418962034268,0.12500050349812225,0.15773762919135956
2019-01,block_c,0.16689831298893257,0.09790480835827113,0.1413244937534464,0.1535166924542938
2019-01,block_d,0.13518686368585137,0.12060601077692555,0.06836110973308136,0.1154824173640418
2019-02,block_a,0.13101062530705382,0.1409257468519619,0.09453297215830209,0.14989845174929325
2019-02,block_b,0.14226460400332178,0.1205533931433574,0.11323660263779411,0.14979112604859687
2019-02,block_c,0.19452972373783944,0.0860830987729286,0.1313851591801535,0.1406688811705791
2019-02,block_d,0.139401613511843,0.11572997205817358,0.06688334738235355,0.11412989002063477
2019-03,block_a,0.13882513308866978,0.14507714961148782,0.12439667522722449,0.1780153997060819
2019-03,block_b,0.13674843146941212,0.1233750236994369,0.13916494970848642,0.17687637630785802
2019-03,block_c,0.17782803800845778,0.09730533935522531,0.14518219553983205,0.17029576544023675
2019-03,block_d,0.13840407137213465,0.12480388724097435,0.10131577429249862,0.14623270827532378
