ym,north_1471517731,north_1471517732,north_1471517733,north_1471517734,north_1471517735,north_1471517736,north_1471517737,south_1471517722,south_1471517723,south_1471517724,south_1471517725,south_1471517726,south_1471517727,south_1471517728,south_1471517729,south_1471517730
2018-01,0.1095305433774414,0.05494666358359805,0.046004807673054184,0.06986314290119111,0.12232871615977334,0.052702623459888506,0.05295281810990896,0.02708308661354741,0.042760341570011774,0.059211059861220695,0.05659883721705503,0.07413702599175584,0.040633474235104626,0.04858330235254142,0.07876677007997747,0.05595642439131558
2018-02,,,,,,,,,,,,0.11156683309557774,0.07712263502716526,,0.15593982151165256,0.10169211093761617
2018-03,0.11667827357716251,0.06425428546534223,0.05734616580898791,0.0782963039675039,0.12863720069234205,0.05786662048841862,0.06537179610934592,0.03723564521363616,0.051234944360396696,0.08117918613825331,0.07515369603627027,0.08644284597134415,0.042660302603327975,0.06855519744425123,0.09242992472316792,0.07444896904814216
2018-04,0.12908240879760305,0.0909112401308293,0.08613799416644971,0.12455425472728868,0.14956817581389142,0.09150517021798342,0.08621470726246505,0.08451884086407295,0.08346918362830161,0.12121945717570835,0.10851963943680859,0.155614437006163,0.06118764023081055,0.09438818199383046,0.15217971655351636,0.10878401345421318
2018-05,0.14070874088309673,0.1057208810873848,0.09825042149736697,0.14132594059804146,0.14864054478504649,0.08772858404398921,0.09475615774443959,0.0763297971267908,0.0808197128929232,0.11466383814475392,0.10857269293596025,0.15853306824658378,0.06828104871175521,0.10392442085906733,0.17626171088592973,0.11250202873880819
2018-06,0.06800997337497251,0.06816178268387821,0.0433243160262443,0.06846082433455997,0.07645142979343345,0.0476150649693116,0.07315362788078668,0.06634084288751571,0.06760969574718438,0.09392492526491898,0.1198457935793579,0.18718239956525784,0.06470947665056359,0.07817443185225156,0.14586950335611187,0.10579113854102168
2018-07,0.038754349755436776,0.040915249460462974,0.03883199323908122,0.04519796061319016,0.038039385980740054,0.04336649098854915,0.045577962233037034,0.05316929845477247,0.036738022524794064,0.04215343711436144,0.04209394746803316,0.04871232733164492,0.03334039888620503,0.03869036264182875,0.04358056232666521,0.045789086389371014
2018-08,0.04185363174717568,0.052494156244554356,0.061629393350820634,0.04401141654433695,0.042619459091000206,0.06138839052074338,0.04429073958626606,0.04251133387644804,0.04472041956631368,0.0507327844200333,0.04806968677017046,0.04507477832120566,0.04103843978294536,0.047586524354899976,0.042549109906860866,0.05041196663138062
2018-09,0.05814187869931075,0.053535071915926026,0.05588176848681445,0.05635399398070879,0.05855958553031669,0.05730189230429461,0.05582210815267667,0.033868347010551025,0.036830265927046586,0.03770948156689796,0.03955478747874786,0.04027654413031665,0.0348417357756307,0.04155078784486951,0.03936455810955096,0.037486960805853495
2018-10,0.04255736125291106,0.058462294071125034,0.07712906696568618,0.10148961906868573,0.04358147917961468,0.060736700329940274,0.04960182466583548,0.044961323610255594,0.05461406757438224,0.055839062531609696,0.043536264293096004,0.050943174678913704,0.047005621980676315,0.05621060675714389,0.05002673435537916,0.057765546168134674
