ym,technical_strip
2018-01,0.43775356392199316
2018-02,0.4431283923063968
2018-03,0.4618332390835498
2018-04,0.48175010306733074
2018-05,0.5495989233448157
2018-06,0.5163933685512709
2018-07,0.5165459434057151
2018-08,0.5002026956875004
2018-09,0.5172855555512019
2018-10,0.45802204948538194
2018-11,0.43487363892992886
2018-12,0.17928543473724998
2019-03,0.47842162108321323
2019-04,0.4520440753266738
2019-05,0.5443680598391419
2019-06,0.5149664301604535
2019-07,0.5071444215623655
2019-08,0.49540181523907356
2019-09,0.5084703463924483
2019-10,0.4598828052602226
2019-11,0.43616226932316504
2019-12,0.2785469274719414
2020-02,0.4527812089575825
2020-03,0.44885422092724103
2020-04,0.4772076942570993
2020-05,0.18283981170466418
2020-06,0.20223536012948448
2020-07,0.48468367604200546
2020-08,0.48822464158303125
2020-09,0.4440381091782183
2020-10,0.42404368030055484
2020-11,0.41670048953716415
2020-12,0.4124121929697369
2021-01,0.46194492912622137
2021-02,0.3642249160288531
2021-03,0.4031224269417222
2021-04,0.4469874285288804
2021-05,0.45052610307516877
2021-06,0.4946360603721136
2021-07,0.49791771438723287
2021-08,0.44776788427197745
2021-09,0.4639790565616268
2021-10,0.4521602942578826
2021-11,0.4022537769800627
2021-12,0.4136064126429264
2022-01,0.4187747111436821
2022-02,0.41528144608726997
2022-03,0.42874058873489873
2022-04,0.4137885373844412
2022-05,0.4663872681148345
2022-06,0.5049128782564505
2022-07,0.5048726840222124
2022-08,0.45411860175906843
2022-09,0.4623047713381382
2022-10,0.43317448306312467
2022-11,0.394198969849213
2023-02,0.384578195429472
2023-03,0.3580979650012086
2023-04,0.4210974143685527
2023-05,0.4860314005269629
2023-06,0.47563918635592345
2023-07,0.47039317404270914
2023-08,0.4662476436247821
2023-09,0.4606662269475931
2023-10,0.42084739242265734
2023-11,0.3855732226110656
2023-12,0.39451999447433717
2024-01,0.4348189584088431
2024-02,0.2343030479951919
2024-03,0.4421710759628437
2024-04,0.44366585649735696
2024-05,0.46220990034212095
2024-06,0.47080985579717766
2024-07,0.46119304896416735
2024-08,0.47911025866111834
2024-09,0.42641323912273893
2024-10,0.405115641349203
2024-11,0.3831925645215863
2024-12,0.36505604498386046
2025-01,0.37989697577721765
2025-02,0.4271537294306219
2025-03,0.42492827088550444
2025-04,0.4310341973223396
2025-05,0.4915965446971277
2025-06,0.4658907039537884
2025-07,0.47587521184973863
2025-08,0.4781555222012782
2025-09,0.4538964215127258
2025-10,0.42964170373302324
2025-11,0.41647974772670593
2025-12,0.37752080190040993
2026-01,0.3785823019415589
2026-02,0.37180833173311173
2026-03,0.4204805456167648
2026-04,0.44695307314384075
2026-05,0.514657071215738
2026-06,0.4789524574830929
2026-07,0.5044029837926948
2026-08,0.47511971982406787
2026-09,0.4688550659095332
