ym,epoch_building_000,epoch_building_001
2018-01,0.06807998071838625,0.0661631470160968
2018-02,0.08168887363239313,0.07807943636842257
2018-03,0.08781675869255076,0.08470020498795913
2018-04,0.09624651932787028,0.09222291770257494
2018-05,0.10603452139236617,0.10133062095995787
2018-06,0.11004674647112382,0.10685816758801572
2018-07,0.1125369396280986,0.10881180886639956
2018-08,0.1181510069287213,0.11579568891553824
2018-09,0.11173422048233245,0.10608876587986388
2018-10,0.10034041080549433,0.10003784160597454
2018-11,0.09197718537129282,0.08454413212826742
2019-02,0.0994743096841419,0.06563252703111143
2019-03,0.11235886053452923,0.10374851226060214
2019-04,0.09587253051704907,0.09147830442540003
2019-05,0.10403629130817964,0.10037705548568251
2019-06,0.10717256703525715,0.10357118932015175
2019-07,0.11093290923521136,0.10584273791765392
2019-08,0.10911682953787422,0.10275281352676788
2019-09,0.1110740959308979,0.10417712032135087
2019-10,0.09192735262468535,0.08396884573010813
2019-11,0.09096464964431267,0.08240453995924626
2020-02,0.07572306563052336,0.07245244352472044
2020-03,0.10423315268993125,0.09780978823598231
2020-04,0.09265102202291403,0.08809356128189381
2020-05,0.10274733349304967,0.08308584839754213
2020-06,0.10827853630153332,0.1020596256593251
2020-07,0.11135990300763962,0.1034171483030605
2020-08,0.11079556717646087,0.10253646494486537
2020-09,0.11544818991415784,0.10571001906071165
2020-10,0.10131153293698911,0.09312325358058633
2020-11,0.12644928099952846,0.11366204711378854
2021-01,0.06472268024170189,0.05889892021800385
2021-03,0.07963431997293946,0.0821082556277668
2021-04,0.09668711053331192,0.09078529351545823
2021-05,0.10250491462042977,0.09788828107480967
2021-06,0.114434402586463,0.10212295280158337
2021-07,0.12100579763069877,0.10682549138611835
2021-08,0.1225599375782098,0.112489755964394
2021-09,0.10656142849491423,0.09900668099876181
2021-10,0.11122529786684968,0.1466107771972881
2021-11,0.07954899258436918,0.07185159676114153
2021-12,0.09542324857095459,
2022-02,0.07410329735072571,0.07408627336277754
2022-03,0.07354613564323181,0.07713090077705301
2022-04,0.0847551347034965,0.0884651598467344
2022-05,0.09292737891779512,0.09292900469936727
2022-06,0.11379340657488105,0.10524522956699983
2022-07,0.10633498663433588,0.1078140291224273
2022-08,0.11001621140634056,0.10959967435919934
2022-09,0.10753784795765836,0.10582016291789759
2022-10,0.10593783919328845,0.10293797810211869
2022-11,0.07927759023649192,0.08038725366545796
2022-12,0.11984197945433234,0.2328948483205845
2023-01,0.10770201499727704,0.06454432068206821
2023-03,0.09908403837168178,0.07681377367964361
2023-04,0.12686303967825022,0.13364507882652324
2023-05,0.13327616581954022,0.1683351014458842
2023-06,0.14740984457850692,0.1715073451987482
2023-07,0.1559749928180857,0.163813733949516
2023-08,0.14769852198639571,0.4956408476898027
2023-09,0.14184417047673298,0.15265949623173145
2023-10,0.11184577971243133,0.18340979067341365
2023-11,0.09642178631134332,0.17299291926253085
2023-12,0.07280018421886623,0.1629018178884338
2024-02,,0.40326957683555686
2024-03,0.1243933860656257,0.31439846271217853
2024-04,0.14424113849165193,0.5347720772763169
2024-05,0.15961776976000236,0.6435561662133048
2024-06,0.16683849676448684,0.7193516330788658
2024-07,0.15927853167589373,0.6568364493453064
2024-08,0.12954391533618662,0.5963710374681922
2024-09,0.1241871787006336,0.5454923854651104
2024-10,0.11829848522473307,0.5127935505571972
2024-11,0.0697575612166893,0.524253095050065
2025-01,0.09853332335168982,0.5560731758265327
2025-02,0.09866034755595805,0.7628568101826122
2025-03,0.2446635779196501,
2025-04,0.2728693047420112,0.6628967221425992
2025-05,0.3192414123782119,0.6611863055368691
2025-06,0.36740698155100143,0.6302607139723303
2025-07,0.47998207248133923,0.6138464028391201
2025-08,0.6223439133885491,0.5992959982255504
2025-09,0.6538660840795221,0.5736781888911641
2025-10,0.6369792070192868,0.5711278837247852
2025-11,0.6806621676234439,0.6277049403669724
2025-12,0.6085034980510502,0.5541959764233504
2026-02,0.7200793506575704,0.6737758353076532
2026-03,0.6889990076785617,0.6443864734758746
2026-04,0.7097265898810483,0.6620829811245338
2026-05,0.7345053981215033,0.6762990852320925
2026-06,0.7486625001825917,0.6903265874989033
2026-07,0.6991948365688465,0.6502181605682139
2026-08,0.6742662644794692,0.6378019655444743
2026-09,0.6680954532396526,0.6366633761346239
