ym,nscc_building_box
2018-01,0.09537248469909086
2018-02,0.10325185280871248
2018-03,0.11771675494188123
2018-04,0.13642868427046428
2018-05,0.13212857179279283
2018-10,0.10735827217299397
2018-11,0.09287630039823967
2019-01,0.12039625057536404
2019-03,0.1071097405242614
2019-04,0.16173139637969783
2019-05,0.13393567382070537
2019-06,0.12304781863270364
2019-07,0.12951815969139388
2019-08,0.12964788977722663
2019-09,0.11492895682168404
2019-10,0.09666953463983449
2019-11,0.0923400070367594
2019-12,0.11460726514214475
2020-01,0.10710906008270733
2020-02,0.0963868083360391
2020-03,0.11607951028304356
2020-04,0.1206568692539505
2020-05,0.12866689270410697
2020-06,0.15341655721952824
2020-08,0.13051595076998435
2020-09,0.11571254962291688
2020-10,0.11076361774235996
2020-11,0.0986945664367316
2020-12,0.13017485605339696
2021-01,0.0951334416170034
2021-02,0.09977691947321843
2021-03,0.12123289552908995
2021-04,0.11823125493975406
2021-05,0.13940623060134053
2021-06,0.1536191998290694
2021-07,0.13966781047487103
2021-08,0.12537103200705718
2021-09,0.11638244239079554
2021-10,0.1141574245681667
2021-11,0.09257582924130472
2021-12,0.09883260887598508
2022-01,0.12055169290154144
2022-02,0.09960716433942852
2022-03,0.11588538011695906
2022-04,0.12616871497755583
2022-05,0.14111244640105897
2022-06,0.1584180948882018
2022-07,0.1521097587484309
2022-08,0.14244644583495292
2022-10,0.09870421129786046
2022-11,0.08688673112528292
2022-12,0.09057237896147705
2023-01,0.09041885796007663
2023-02,0.09633307464835815
2023-03,0.10441669881313206
2023-04,0.11688057894253434
2023-05,0.13350148926773275
2023-06,0.14509257474210585
2023-07,0.14854279051730293
2023-08,0.13131448854305927
2023-09,0.11427984544183528
2023-10,0.097456604704419
2023-11,0.08069085119293466
2023-12,0.090076322852565
2024-01,0.08832178168455943
2024-02,0.08749716721234921
2024-03,0.0975597536458174
2024-05,0.12827970910650854
2024-07,0.11816838573717449
2024-08,0.11735405275177505
2024-09,0.14208205771683263
2024-10,0.09564134248394304
2024-11,0.0804633391742737
2024-12,0.08502272633762493
2025-01,0.08061579083709008
2025-02,0.08509525150782228
2025-03,0.1021573205243915
2025-04,0.10703637551153693
2025-05,0.12257674994131991
2025-06,0.11803285702127239
2025-07,0.11912538422680091
2025-08,0.11074319834064152
2025-09,0.10385517791077031
2025-10,0.08645851728340292
2025-11,0.08457476094255473
2025-12,0.08610685932426967
2026-01,0.07722548143158922
2026-02,0.08569328218934996
2026-03,0.09629820234924322
2026-04,0.10768943784506418
2026-05,0.12259719254201994
2026-06,0.13516848105825363
2026-07,0.11261729326761163
2026-08,0.12195980837578327
