ym,epoch_building_001,epoch_building_002,epoch_building_004,epoch_building_005,epoch_building_009
2018-01,0.021723967899251597,0.025467523169148115,0.03039881863146281,0.03000752409624498,0.03902552124833995
2018-02,,0.12736513865308433,,,0.13271621112335946
2018-03,0.024343924197853015,0.030068626927797645,0.03626184748959187,0.03617937763261354,0.04390525730411685
2018-04,0.02840723415766601,0.031249944560067848,0.03377250738355337,0.03478904305924775,0.03343410593992162
2018-05,0.0347322706798422,0.038818666951278086,0.04006749872492854,0.03701317942075662,0.03883255247432813
2018-06,0.04118366446686918,0.056793883569247826,0.05456646176564785,0.04593047970781117,0.04611968127490038
2018-07,0.037808048756357904,0.035653681143799514,0.03564024075836875,0.036194018996848806,0.03499461769629759
2018-08,0.03803835795011465,0.02938088241397918,0.030089120971663753,0.03632323041377866,0.03425151726427623
2018-09,0.06603814135037957,0.1037468638887124,0.03752149239366997,0.03819192625556265,0.033023436254980075
2018-10,0.022074101167405765,0.018632089937207615,0.02045139605498819,0.021355003033909775,0.020827788844621508
2018-11,0.017286407812190836,0.017843238996507582,0.020274407833090202,0.02034194205232329,0.02347564409030544
2018-12,0.015923944703573646,0.01936860024547735,0.023910187524463583,0.023458702935407163,0.021424449027091893
2019-01,0.016745402894504394,0.020266263467159998,0.02584513041312316,0.027573562204066912,0.0334818874501992
2019-03,0.023710311696171906,0.03150351702628505,0.038896684517667146,0.038457722467268786,0.047983349933598936
2019-04,0.025144177134348772,0.029214120580370116,0.03073634932213644,0.031022605940425697,0.03191630421125865
2019-05,0.03520299732164597,0.032598812933217126,0.0360730655568616,0.03695486413407809,0.033863678618857904
2019-06,0.050322856943329025,0.10053421004865046,0.057683704743849484,0.05090849961492682,0.05042099601593624
2019-07,0.04033912239633376,0.03688523103924675,0.04799004383605683,0.05580551619288027,0.03271339097821434
2019-08,0.035869570409980095,0.032596433166717065,0.03215972316122835,0.033841981091907,0.03237262677722026
2019-09,0.03114088509840894,0.028479035404474305,0.02872038631700056,0.029456200553105105,0.026609502201122966
2019-10,0.038216630876310866,0.020848940711884315,0.07541947693270892,0.07169663352703684,0.03517565903054448
2019-11,0.020658845442418645,0.022189173767165674,0.0251648249297228,0.024069606146335364,0.026205571049136785
2019-12,0.024818741810348974,0.027585467029546236,0.03259951310061797,0.03359673036487634,0.03692739971545954
2020-01,0.02079188082684453,0.023287689963296995,0.02864788713371757,0.026293856603119534,0.017869631983813805
2020-02,0.01853533992108663,0.021900080639901325,0.02755765695240129,0.030309969894279937,0.037602081673306774
2020-03,0.022330683132790748,0.02683300958784711,0.031024470104022116,0.03202062099486917,0.03729658698539176
2020-04,0.026651396699272342,0.024490314021262855,0.02472804504857135,0.02685890439377208,0.026424472111553785
2020-05,0.029850414935344585,0.028542004790958846,0.02908154941939769,0.029891010000233385,0.028670375166002647
2020-06,0.03783568704179258,0.03720171419084381,0.042097027897377515,0.03877436521272377,0.03835015272244355
2020-07,0.04423738919024367,0.04410246501896169,0.04425752647997248,0.048331718827660866,0.052044137945693764
2020-08,0.03178603888750492,0.026482328595739145,0.026088474540084682,0.02827388562160147,0.02687296480743692
2020-09,0.031637569107394334,0.03223225358877211,0.028996116073017122,0.029834157739970613,0.025902285867143864
2020-10,0.023898946657820937,0.02152959840143255,0.02358421847015147,0.023036864921001675,0.022465913014608225
2020-11,0.022250093827775146,0.020928285038333598,0.024635375819900607,0.023700557136705828,0.02430631531946363
2020-12,0.015977984566500226,0.018020253066984498,0.022890355715285464,0.021485671194193576,0.029604933598937583
2021-01,0.01943192995941279,0.021054362262897933,0.026546492960419416,0.028035948177594177,0.03604831009296148
2021-02,0.028392871608645554,0.03843275284463181,0.03993313643857713,0.036937054540362696,0.04345914610745615
2021-03,0.0297229489486342,0.03387713562326934,0.039354863656311925,0.03923436661298985,0.04707594953519254
2021-04,0.03200303025012512,0.029726421722966377,0.03075682370802643,0.03180750863497398,0.03175853087649401
2021-05,0.060173930721039964,0.050583007239873155,0.0683102533537345,0.04580306716609492,0.047342749312671836
2021-06,0.041544918710510484,0.04364933982555199,0.03440146662871105,0.03363052696142251,0.04406319555112882
2021-07,0.05485070009427702,0.046292768201789514,0.06450153571725217,0.05726565579414539,0.042418166763241116
2021-08,0.033762276673656715,0.0330100909044254,0.03157141408390564,0.031200049884478064,0.03332548642790126
2021-09,0.024988033218105863,0.020290976632216844,0.02006884140483223,0.02208390744241406,0.019845511288180604
