ym,block_a,block_b,block_c,block_d
2018-01,0.12408438872893873,0.14260678293712248,0.19791451429497398,0.13956985807061772
2018-02,0.14588126126773782,0.1623538209685947,0.21891170408288566,0.1632897449840823
2018-03,0.14056806928562918,0.1553171026155187,0.21933200396141014,0.13049771337092775
2018-04,0.1504789360967405,0.1746020883714724,0.25024932893070634,0.14579050132592894
2018-05,0.13625217631430106,0.16046360068915172,0.2755702823623934,0.13343691329911947
2018-06,0.14260956686132914,0.16986754913800764,0.27833636096652026,0.13089188573041982
2018-09,0.11092721762707254,0.12450600533160412,0.1942231571847239,0.11613947836029187
2018-10,0.10632718995813682,0.11675216553943037,0.18858292492267925,0.11506378238897315
2018-11,0.12204908550899377,0.12540263939687807,0.1945286614256937,0.12983190796757332
2018-12,0.11581768872882985,0.1211407630065934,0.1672691474554258,0.1283695731230667
2019-01,0.13016822582208828,0.12393704609943951,0.16689831298893257,0.13518686368585137
2019-02,0.13101062530705382,0.14226460400332178,0.19452972373783944,0.139401613511843
2019-03,0.13882513308866978,0.13674843146941212,0.17782803800845778,0.13840407137213465
2019-04,0.1528015237522558,0.153175097189796,0.20678151950047796,0.14562412428964916
2019-05,0.14544465984093585,0.19569993619967888,0.2636712147395584,0.1456685804843058
2019-06,0.13502754328173144,0.1930924140141519,0.2913736292200818,0.13378096291410643
2019-07,0.10552943560817715,0.15754693790049074,0.24636249715685446,0.11006825821766826
2019-08,0.10438883536656411,0.15158173380845388,0.22564605859535947,0.10895500297604233
2019-09,0.10105699909694664,0.14899857009592563,0.2149489511519413,0.10270197040246548
2019-10,0.10248625507490736,0.15842881061998368,0.20943438318357258,0.1104127751096513
2019-11,0.10154764106032411,0.1533821299185103,0.21428360804451624,0.11391147492452544
2019-12,,0.3877489108910891,0.3917227782392025,0.195438749251945
2020-01,,,0.6126416666666666,0.14129995693367786
2020-02,0.15989970733411973,0.17319948734075147,0.2917219378670759,0.14081238467541077
2020-03,0.1278017751435453,0.1708888485547234,0.22767907541370455,0.13117098092631127
2020-04,0.15003292712285488,0.175443680744451,0.23626750160876545,0.1554908018245697
2020-05,0.13681760359783252,0.18490110398968773,0.29610200935960607,0.14476979094498682
2020-06,0.13997310372473926,0.20206478610665032,0.290222064264805,0.1570436614315495
2020-07,0.11060805051650452,0.16081719652694987,0.24305574038673705,0.1286810113907355
2020-08,0.10606732728336535,0.16060064767053794,0.19134449848542964,0.12281438847557831
2020-09,0.09052143699815987,0.1642720748570941,0.2115209807955917,0.1094483794467186
2020-10,0.09714758049318217,0.17808259507432206,0.22552571390367268,0.10631662776519302
2020-11,0.12433466274944216,0.19473327115452116,0.23867378921298416,0.12284619810212491
2020-12,0.1425618370212533,0.21195696272415085,0.24947231469886091,0.16641191746035
2021-01,0.13192288112052608,0.2093438669117178,0.24046993564829172,0.14375004883467646
2021-02,0.1309402900554137,0.20434479898422322,0.24235833413943464,0.138551361702906
2021-03,0.12702023209226115,0.19197666034564614,0.22944477233661897,0.13495630445363058
2021-04,0.14176253598867922,0.191573749246655,0.24316829719328187,0.15107283154987491
2021-05,0.13295264254676176,0.2301950470867505,0.30130098084005197,0.148968217787264
2021-06,0.10182156619248178,0.21841249517030664,0.32835629562015123,0.12499798230409287
2021-07,0.10350312016270176,0.21698809350021575,0.300381726052442,0.13073912775378643
2021-08,0.08519141772794436,0.1895237350511588,0.2851840509386945,0.11867541536056277
2021-09,0.0913208465278208,0.18284241814837313,0.25445101945995174,0.11812587692845065
2021-10,0.0930393138539665,0.18671177642748374,0.2535240717656258,0.11144204090730762
2021-11,0.120045237511669,0.1993609630351966,0.279300752139397,0.12708296909309966
2021-12,0.11038927785167016,0.1959884440656483,0.2647434293510126,0.1195111454819166
2022-01,0.11211666018516374,0.17793541509469735,0.23769316643912525,0.11320128284421192
2022-02,0.134591116304529,0.20866651446688503,0.27345860643173,0.1462030794947761
2022-03,0.1402794430700751,0.21243224430603433,0.2787714389185611,0.14521321118922256
2022-04,0.13931259268821106,0.22484273815094843,0.3236426386554576,0.14060220819749375
2022-05,0.16159843855698844,0.23995712529095878,0.3278773011171256,0.14649253758397576
2022-06,0.18626878186965704,0.24454531576117278,0.35260711967002856,0.1405134606016396
2022-07,0.21900561526889467,0.21796320835697092,0.3065168078435054,0.13021909425471226
2022-08,0.21568039764835745,0.20376978520230643,0.30274856099841496,0.12596958563448757
2022-09,0.2051441219306809,0.19370298897763658,0.28170816045706387,0.1112403395390138
2022-10,0.20569371686399765,0.21505144122335235,0.2849735666411319,0.12042695038904319
2022-11,0.1415451004741841,0.19639851075863377,0.2642500272331855,0.10560310196889354
2022-12,0.16148870908628027,0.1967343024484344,0.2587314971629552,0.11263259163204746
2023-01,0.17832699278973604,0.2117451140739024,0.26458294383340347,0.13407808804728866
2023-02,0.16729555477850083,0.21580478185255603,0.27695187186203674,0.13014126876291088
2023-03,0.1786046805163847,0.21230923013306274,0.274720171619906,0.1381095718333029
2023-04,0.20138314188390527,0.2280168750246882,0.30784753603274784,0.14952767737083378
2023-05,0.19856555729484907,0.22940242410219752,0.35161902793645483,0.1329146820427413
2023-06,0.1752138876815497,0.23156711686392167,0.3458039188191642,0.12178192779588944
2023-07,0.13871378875531776,0.22245009289784545,0.3090949801611675,0.1258110859984814
2023-08,0.08231520865536571,0.2091620164584302,0.2799719524321188,0.11051880187922031
2023-09,0.07524912358101371,0.20035734908239364,0.2727707001412632,0.10120757269953606
2023-10,0.08874652705836701,0.18810634154163303,0.24573656663154672,0.11050898015419615
2023-11,0.09474414769329281,0.20108529390490715,0.24248434419545023,0.11589401462487434
2023-12,0.12972466075597155,0.23299765245573578,0.251510188087637,0.12098556980976828
2024-01,0.22554165470787013,0.4661095003387534,0.37995339139156525,0.13229201503053076
2024-02,0.28181829139761044,0.2689640193929894,0.3491887878252679,0.1988210865591223
2024-03,0.1494126526557272,0.21780338798271268,0.25279826613925693,0.13399243562292507
2024-04,0.19504735445758484,0.23203920916568807,0.27238335511988165,0.15378609388214232
2024-05,0.18944244888599793,0.22920457029517233,0.2916930216811012,0.12505355286331876
2024-06,0.1837227499654133,0.23025969235649354,0.3117694683297634,0.12604687986112348
2024-07,0.16442692165660627,0.224701602618568,0.29829472861676587,0.12042883815818228
2024-08,0.13520373519739143,0.21889473554179156,0.2751287652168138,0.10767132541522949
2024-09,0.14190248484716597,0.19088723665508436,0.25993886202729166,0.09908442540590487
2024-10,0.13776540081285626,0.20350013655809066,0.23512317644403355,0.09710569814125845
2024-11,0.11743771477466669,0.19842817606494795,0.23077287175035255,0.09038849243178834
2024-12,0.16496931299594558,0.22597228877339262,0.255444160335622,0.13440068450761955
2025-01,0.16159401789984035,0.20611283065500385,0.2357865913791365,0.12741045167159076
2025-02,0.1629477773312448,0.20352825542654762,0.23023281018397335,0.12705087385651959
2025-03,0.16375269309158905,0.1983751494775145,0.24549461954387491,0.13443208548693333
2025-04,0.19140448040679853,0.24640961932486397,0.2816913380165693,0.13476857638843448
2025-05,0.1944595125038531,0.2653988987485342,0.3007302410376663,0.1469547815811277
2025-06,0.19212300350654676,0.26483231786226785,0.30049069383187843,0.12930787487897527
2025-07,0.14768935007412862,0.2487460793361544,0.2989181331193018,0.11780771649265596
