ym,nscc_building_box
2018-01,0.1288109021865621
2018-03,0.14772437807517202
2018-10,0.14708645597272413
2018-12,0.14590578693779216
2019-01,0.14053012341520177
2019-02,0.24453775967178068
2019-03,0.13836739041669216
2019-04,0.1568992308241971
2019-06,0.14956555360566764
2019-08,0.14952229404705497
2019-09,0.15644539473684213
2019-10,0.14470770017966159
2019-11,0.12933277878156837
2019-12,0.1259153727976154
2020-01,0.12910449567115678
2020-02,0.14777839978767277
2020-03,0.130557633289987
2020-04,0.1533354527364027
2020-05,0.16006006771611078
2020-06,0.18802327637247096
2020-07,0.19322622475325732
2020-08,0.21843400079459674
2020-09,0.1578154039321369
2020-10,0.1425714537269556
2020-11,0.13775146893693474
2020-12,0.1275298156428003
2021-01,0.12693422679202146
2021-02,0.13784789050856458
2021-03,0.1409019094138543
2021-04,0.14412024149159966
2021-05,0.17513633559933467
2021-07,0.16671686470263986
2021-08,0.15054818662778177
2021-09,0.16431835175884535
2021-10,0.14270788417957986
2021-11,0.1300758236087209
2021-12,0.13110845206819643
2022-01,0.13678376972703693
2022-02,0.13577654141401782
2022-03,0.1392568654172026
2022-04,0.15193883903962768
2022-05,0.1659058538004531
2022-07,0.14885762680726444
2022-08,0.1736290867793664
2022-09,0.1464426109103529
2022-10,0.13766260335640348
2022-12,0.11725794746942694
2023-01,0.11784277934301056
2023-02,0.13258794379453256
2023-03,0.13032583705926784
2023-06,0.1618968931830711
2023-09,0.12641210500761108
2023-10,0.13091582246177097
2023-11,0.12211969335048292
2023-12,0.09861934150923937
2024-01,0.11064625364937426
2024-02,0.12426969947530679
2024-07,0.18889017935526028
2024-08,0.15768766480806468
2024-09,0.13130724266588628
2024-10,0.1321984864028909
2024-11,0.11487143943569961
2024-12,0.11436543966027644
2025-01,0.11318191951981384
2025-03,0.13042604249606993
2025-04,0.13721884480717014
2025-05,0.10660931263373948
2025-06,0.1474301590758254
2025-07,0.15466378085380042
2025-08,0.15415800667605817
2025-09,0.15072329766265957
2025-11,0.11331363641003658
2025-12,0.11348653151221919
2026-01,0.11068428166023564
2026-02,0.11277665115044601
2026-03,0.13081658806475982
2026-05,0.15555615136481496
2026-07,0.12202410003490628
2026-08,0.13820124384965607
2026-09,0.15000486746843777
