ym,epoch_building_000,epoch_building_001,epoch_building_004,epoch_building_012,epoch_building_013,epoch_building_014
2018-01,0.12484246995844715,0.1282118559336477,0.1128368624566954,0.07660624481828923,0.059359315001723784,0.10044552927235365
2018-02,0.14570456768864093,0.1526383438429056,0.14297858613049894,0.08436881377176318,0.08299294078485919,0.11571834490827544
2018-03,0.13756788205492956,0.1468299147241316,0.13646555566347982,0.07556096825365743,0.06701362506984322,0.1056084289578551
2018-04,0.18736561162480186,0.17831458526640034,0.15169005508762684,0.08747543004119258,0.08235096532211089,0.1183124734376328
2018-05,0.18371345849087203,0.16281700593964415,0.13347932710764518,0.08980604179314942,0.07899407729709802,0.07882033989830048
2018-06,0.17347065411347778,0.1624783001003617,0.14214781869649076,0.07913881697055153,0.08428902183862952,0.10005354323228388
2018-09,0.1264141710028825,0.12201398814595997,0.08146174855805478,0.045076014962495844,0.05649527562799428,0.05818082859585702
2018-10,0.12486556046369432,0.11527968275609587,0.07547703895911674,0.05190299706886532,0.044879234280823105,0.08761262343688273
2018-11,0.0939760849898302,0.12604786557846837,0.08946008182200821,0.06446604584059593,0.050548933033750576,0.10281873390633045
2018-12,0.10084551965959149,0.12090662797376711,0.08165106613752945,0.06333626740565204,0.046063959722767084,0.10240574447127763
2019-01,0.10872061574264719,0.13124366111837,0.10756261372519091,0.0815439200172343,0.06348629171273341,0.10879573543928926
2019-02,0.11861773369158962,0.14126627216320445,0.10507056535353676,0.08490391949498317,0.07361955730096398,0.11821290443547774
2019-03,0.12289453231260689,0.14444801454297568,0.10109483304887584,0.07489596887383068,0.06506981344538995,0.12079489202553989
2019-04,0.1361747201736982,0.15756966741780126,0.10819866004320053,0.07943325891254248,0.07791072850910039,0.1337883601743443
2019-05,0.19264008160820573,0.1685482588195195,0.12909890426038736,0.08585820524247093,0.08744818637854283,0.10906988915055423
2019-06,0.1861648223711302,0.16545615583202355,0.1187623220984177,0.07850624677673107,0.08279232675915688,0.09496558517207411
2019-07,0.13617016492326495,0.1065903091013527,0.08408896674853493,0.04762412539250442,0.06963561111309244,0.07314365728171354
2019-08,0.07014914461123795,0.07255901834914502,0.05854561819788068,0.03564347088123357,0.054049607986494996,0.049309305453472764
2019-09,0.06887960855513547,0.08796732248922218,0.06586102885740582,0.05301787274044771,0.05183562537893641,0.054717029914850446
2019-10,0.10051176799061633,0.12428268571644982,0.09702877715644237,0.05856574358773494,0.05315889594255613,0.09805389373053133
2019-11,0.11438586456032637,0.11522485371811625,0.09352836295854319,0.052099203893382406,0.04357207669079974,0.09399875600621996
2019-12,,,,,0.13487882918315047,
2020-01,,,,,0.08491666666666668,
2020-02,0.13526816936822267,0.1249010780990614,0.1261945580732744,0.07148633856237308,0.07844405671038153,0.11261949040254801
2020-03,0.14369156154212429,0.13987142221228133,0.11474917923598876,0.06641406422383682,0.05875861419213707,0.10180075199624003
2020-04,0.1734049651230986,0.14835312415181753,0.12558075587069434,0.07552825313513903,0.07887221934923973,0.12414606776966111
