epoch_name,site_id,status,address_status,coords_quality,geocode_offset_m,hall_polygons,roof_status,notes
Meta Huntsville,epoch_meta_huntsville,imported,not_found,epoch_published,,2,dated,
Meta Aiken,epoch_meta_aiken,imported,not_found,epoch_published,,2,dated,
Coreweave Helios,epoch_coreweave_helios,imported,not_found,epoch_published,,1,dated,
Microsoft Project Osmium,epoch_microsoft_project_osmium,imported,not_found,epoch_published,,4,dated,
Meta Eagle Mountain,epoch_meta_eagle_mountain,imported,not_found,epoch_published,,2,dated,
Google Midlothian,epoch_google_midlothian,imported,found,epoch_published,,1,dated,
Google Storey County,epoch_google_storey_county,imported,missing_address,epoch_published,,3,dated,
Google Lancaster,epoch_google_lancaster,imported,found,geocoded_address,564,2,dated,
Meta-QTS Hillsboro 2,epoch_meta_qts_hillsboro_2,imported,found,geocoded_address,639,4,dated,
Google Waltham Cross,epoch_google_waltham_cross,imported,not_found,epoch_published,,1,dated,
VNET Bayin Ulanqab,epoch_vnet_bayin_ulanqab,imported,found,epoch_published,,10,dated,
Huawei Horinger,epoch_huawei_horinger,imported,not_found,epoch_published,,6,dated,
Google Arcola,epoch_google_arcola,imported,not_found,epoch_published,,1,dated,
Google Red Oak,epoch_google_red_oak,imported,found,geocoded_address,297,2,dated,
Google Papillion,epoch_google_papillion,imported,not_found,epoch_published,,5,dated,
Meta Gallatin,epoch_meta_gallatin,imported,not_found,epoch_published,,1,dated,
Meta Los Lunas,epoch_meta_los_lunas,imported,found,geocoded_address,686,1,left_censored,
CoreWeave Ellendale ND,epoch_coreweave_ellendale_nd,imported,found,epoch_published,,3,dated,
Meta Sarpy,epoch_meta_sarpy,imported,not_found,epoch_published,,1,dated,
CoreWeave Chester VA,epoch_coreweave_chester_va,imported,not_found,epoch_published,,3,dated,
Oracle Batam,epoch_oracle_batam,imported,missing_address,epoch_published,,3,dated,
AWS Berwick,epoch_aws_berwick,imported,found,geocoded_address,461,4,dated,
CoreWeave Marble NC,epoch_coreweave_marble_nc,imported,found,geocoded_address,328,1,dated,
Core42 Lake Mariner,epoch_core42_lake_mariner,imported,found,geocoded_address,442,2,dated,
Microsoft SAT40,epoch_microsoft_sat40,imported,not_found,epoch_published,,2,dated,
STACK Infrastructure NVA02,epoch_stack_infrastructure_nva02,imported,found,geocoded_address,199,6,dated,
Anthropic Lake Mariner,epoch_anthropic_lake_mariner,imported,found,geocoded_address,300,3,dated,
Microsoft-Nebius New Jersey,epoch_microsoft_nebius_new_jersey,imported,found,geocoded_address,215,1,dated,
CoreWeave Norway,epoch_coreweave_norway,imported,found,geocoded_address,398,1,unresolved,
Southgate Melbourne,epoch_southgate_melbourne,imported,missing_address,epoch_published,,1,dated,
Stream Phoenix,epoch_stream_phoenix,imported,found,geocoded_address,755,2,dated,
