PSTATABB,PNAME,ORISPL,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,PLNGENAN,PLNOXAN,PLNOXRTA,nox_tpy,gen_gwh
AK,Kasigluk,57066,60.8731,-162.5197,DFO,OIL,0.16832,2.0,2949.0,44.949,30.484,44.949,2.949
AK,Kiana,6323,66.973889,-160.428592,DFO,OIL,0.17028,1.2,1790.0,29.712,33.198,29.712,1.79
AK,King Cove,7493,55.061683,-162.3103,WAT,HYDRO,0.17043,3.0,4479.001,22.086,9.862,22.086,4.479001
AK,Kivalina,57065,67.726644,-164.538447,DFO,OIL,0.12801,1.5,1682.0,24.744,29.422,24.744,1.682
AK,Klawock Power Generation Station,61684,55.553197,-133.08535,DFO,OIL,0.05534,2.5,1212.0,20.364,33.604,20.364,1.212
AK,Kotlik,57064,63.03215,-163.553106,DFO,OIL,0.16699,1.4,2048.0,29.385,28.696,29.385,2.048
AK,Kotzebue Hybrid,6304,66.837778,-162.556944,DFO,OIL,0.15365,18.0,24226.999,271.935,22.449,271.935,24.226999
AK,Koyuk,57059,64.932089,-161.167103,DFO,OIL,0.13709,1.1,1321.001,18.768,28.414,18.768,1.3210009999999999
AK,Lemon Creek,64,58.3536,-134.4953,DFO,OIL,0.0,61.7,-816.998,4.409,,4.409,-0.816998
AK,Marshall,60244,61.878186,-162.085147,DFO,OIL,0.16469,1.1,1587.0,25.145,31.689,25.145,1.587
AK,McGrath,6555,62.95699,-155.594997,DFO,OIL,0.14426,1.6,2022.0,35.9,35.509,35.9,2.022
AK,NSB Anaktuvuk Pass,7487,68.13795,-151.741017,DFO,OIL,0.1583,2.7,3744.0,64.996,34.72,64.996,3.744
AK,NSB Atqasuk Utility,7482,70.4826,-157.4252,DFO,OIL,0.07252,3.2,2032.999,61.622,60.622,61.622,2.0329990000000002
AK,NSB Kaktovik Utility,7483,70.125617,-143.619033,DFO,OIL,0.21466,2.6,4889.0,82.732,33.844,82.732,4.889
AK,NSB Nuiqsut Utility,7484,70.220565,-150.993492,NG,GAS,0.19225,4.4,7410.001,136.505,36.843,136.505,7.410001
AK,NSB Point Hope Utility,7485,68.348424,-166.737211,DFO,OIL,0.24764,3.1,6725.0,117.701,35.004,117.701,6.725
AK,NSB Point Lay Utility,7486,69.740833,-163.005833,DFO,OIL,0.1699,2.4,3572.0,62.676,35.093,62.676,3.572
AK,NSB Wainwright Utility,7488,70.642877,-160.020461,DFO,OIL,0.26024,3.0,6839.001,122.453,35.81,122.453,6.8390010000000006
AK,Naknek,6301,58.730417,-157.007222,DFO,OIL,0.16243,16.5,23477.861,198.368,16.898,198.368,23.477861
AK,New Stuyahok,60245,59.448358,-157.325528,DFO,OIL,0.11866,1.8,1871.0,32.742,34.999,32.742,1.871
AK,Newhalen,7183,59.899054,-154.698735,WAT,HYDRO,0.21313,1.7,3174.0,0.867,0.546,0.867,3.174
AK,Nikiski Combined Cycle,55966,60.676539,-151.377713,NG,GAS,0.58891,80.8,416835.0,605.606,2.906,605.606,416.835
AK,Noatak,57051,67.570931,-162.965728,DFO,OIL,0.1679,1.3,1912.001,30.073,31.458,30.073,1.912001
AK,Noorvik,6330,66.834519,-161.038717,DFO,OIL,0.16598,1.5,2181.0,35.63,32.673,35.63,2.181
AK,North Pole,6285,64.7356,-147.3481,WO,OIL,0.28047,181.0,444703.0,1728.207,7.772,1728.207,444.703
AK,Northway,7169,62.9617,-141.9372,DFO,OIL,0.11737,1.1,1131.0,19.795,35.004,19.795,1.131
AK,Orca,789,60.555889,-145.752983,DFO,OIL,0.05886,12.2,6290.0,155.174,49.34,155.174,6.29
AK,Pelican,6702,57.957197,-136.220095,WAT,HYDRO,0.0752,2.4,1581.0,4.678,5.918,4.678,1.581
AK,Petersburg,91,56.81104,-132.957091,DFO,OIL,0.00546,16.3,779.999,12.226,31.349,12.226,0.779999
AK,Pilot Station,57058,61.936456,-162.880706,DFO,OIL,0.16667,1.3,1898.0,31.168,32.843,31.168,1.898
AK,Quinhagak,57057,59.747436,-161.910647,DFO,OIL,0.16176,1.7,2409.0,30.168,25.046,30.168,2.409
AK,S W Bailey,85,55.357397,-131.69696,DFO,OIL,0.0,25.9,-140.0,488.832,,488.832,-0.14
AK,Sand Point,1,55.339722,-160.497222,DFO,OIL,0.08564,4.4,3301.0,51.623,31.277,51.623,3.301
AK,Savoonga,57052,63.695267,-170.475661,DFO,OIL,0.16183,1.7,2410.001,38.003,31.538,38.003,2.4100010000000003
AK,Scammon Bay,57056,61.843036,-165.581497,DFO,OIL,0.16192,1.3,1844.001,30.376,32.946,30.376,1.844001
AK,Selawik,6341,66.606778,-160.014808,DFO,OIL,0.14477,2.2,2790.0,44.959,32.229,44.959,2.79
AK,Seldovia,6283,59.439542,-151.713439,DFO,OIL,0.00088,2.2,17.0,0.242,28.471,0.242,0.017
AK,Seward (AK),92,60.130922,-149.43501,DFO,OIL,0.00371,15.6,507.0,13.086,51.621,13.086,0.507
AK,Shishmaref,6345,66.255072,-166.073589,DFO,OIL,0.1344,1.5,1766.0,30.355,34.377,30.355,1.766
AK,Shungnak,57063,66.888114,-157.140206,DFO,OIL,0.1661,1.2,1746.0,25.592,29.315,25.592,1.746
AK,Skagway,66,59.4545,-135.3131,DFO,OIL,0.09771,4.7,4023.0,34.212,17.008,34.212,4.023
AK,Slana Generating Station,61685,62.592756,-143.588869,DFO,OIL,0.12243,1.2,1287.0,23.487,36.499,23.487,1.287
AK,Soldotna,57206,60.499444,-150.997222,NG,GAS,0.02557,96.5,21614.0,35.344,3.27,35.344,21.614
AK,Southcentral Power Project,57036,61.167417,-149.905304,NG,GAS,0.50684,203.9,905296.0,1281.209,2.83,1281.209,905.296
AK,St Marys IC,6338,62.051525,-163.172567,DFO,OIL,0.14542,4.6,5860.0,68.77,23.471,68.77,5.86
AK,Stebbins,57055,63.521047,-162.286322,DFO,OIL,0.20154,2.0,3531.0,54.38,30.801,54.38,3.531
AK,TNSG North Plant,58278,70.235278,-148.383611,NG,GAS,0.22421,25.7,50476.0,109.498,4.339,109.498,50.476
AK,TNSG South Plant,58117,70.2,-148.466667,NG,GAS,0.0,7.8,-324.999,0.178,,0.178,-0.32499900000000004
AK,Tesoro Kenai Cogeneration Plant,52184,60.677,-151.3815,NG,GAS,0.9187,8.6,69211.0,55.274,1.597,55.274,69.211
AK,Togiak,6348,59.059744,-160.380278,DFO,OIL,0.12879,2.8,3159.001,49.303,31.214,49.303,3.1590010000000004
AK,Tok,406,63.33552,-142.99997,DFO,OIL,0.16519,7.8,11287.0,172.994,30.654,172.994,11.287
AK,Toksook Bay,57067,60.530142,-165.108575,DFO,OIL,0.20956,2.1,3854.999,58.165,30.176,58.165,3.854999
AK,Unalakleet,6299,63.876789,-160.790414,DFO,OIL,0.17334,2.0,3037.0,46.992,30.946,46.992,3.037
AK,Unalaska Power Module,7503,53.863993,-166.512591,DFO,OIL,0.00342,1.1,33.0,0.69,41.818,0.69,0.033
AK,Unisea G 2,54422,53.8796,-166.5532,DFO,OIL,0.19317,17.5,29613.001,511.855,34.57,511.855,29.613001
AK,University of Alaska Fairbanks,50711,64.854171,-147.822075,SUB,COAL,0.19763,39.6,68556.778,64.337,1.877,64.337,68.55677800000001
AK,Upper Kalskag,57054,61.526858,-160.348128,DFO,OIL,0.15722,1.1,1515.0,24.085,31.795,24.085,1.515
AK,Utility Plants Section,50308,64.825601,-147.648627,SUB,COAL,0.36541,20.0,64020.0,64.861,2.026,64.861,64.02
AK,Valdez,6306,61.1303,-146.3647,DFO,OIL,0.11554,8.6,8704.001,147.087,33.798,147.087,8.704001
AK,Valdez Cogen,7841,61.0839,-146.2529,WO,OIL,0.5171,5.3,24008.0,67.841,5.652,67.841,24.008
AK,Westward Seafoods,54305,53.858508,-166.55288,DFO,OIL,0.32125,6.6,18573.519,139.795,15.053,139.795,18.573519
AK,Wrangell,95,56.460976,-132.379439,DFO,OIL,0.00847,12.0,889.999,11.155,25.067,11.155,0.889999
AK,Yakutat,6637,59.544553,-139.724306,DFO,OIL,0.18739,3.8,6238.0,97.662,31.312,97.662,6.238
AL,ABC Coke,56076,33.582793,-86.779866,NG,GAS,0.00249,3.8,83.0,0.023,0.557,0.023,0.083
AL,AMEA Sylacauga Plant,56018,33.1661,-86.2825,NG,GAS,0.0536,98.6,46300.0,22.656,0.979,22.656,46.3
AL,Alabama Pine Pulp,54429,31.5825,-87.4889,BLQ,BIOMASS,0.64236,69.0,388270.42,144.027,0.742,144.027,388.27042
AL,Alabama River Pulp,10216,31.5825,-87.4889,BLQ,BIOMASS,0.72041,48.0,302916.07,169.487,1.119,169.487,302.91607
AL,Barry,3,31.0069,-88.0103,NG,GAS,0.29621,3343.5,8675796.001,1325.515,0.306,1325.515,8675.796001
AL,Calhoun Generating Facility,55409,33.5883,-85.9731,NG,GAS,0.0039,748.0,25537.0,17.757,1.391,17.757,25.537
AL,Central Alabama Gen Station,55440,32.6497,-86.74,NG,GAS,0.5873,927.1,4769712.0,162.688,0.068,162.688,4769.712
AL,Charles R Lowman,56,31.488019,-87.910747,NG,GAS,0.20898,732.7,1341342.0,86.624,0.129,86.624,1341.342
AL,Colbert,47,34.7439,-87.8486,NG,GAS,0.00768,1169.6,78686.003,61.77,1.57,61.77,78.686003
AL,Decatur Energy Center,55292,34.6292,-87.0214,NG,GAS,0.2688,902.4,2124846.0,67.001,0.063,67.001,2124.846
AL,Decatur-Morgan Co LFG Recovery Project,58061,34.623611,-87.101111,LFG,BIOMASS,0.76598,1.6,10736.0,0.0,0.0,0.0,10.736
