stateCode,facilityName,facilityId,unit_id,unitId,associatedStacks,date,hour,opTime,grossLoad,steamLoad,so2Mass,so2MassMeasureFlg,so2Rate,so2RateMeasureFlg,co2Mass,co2MassMeasureFlg,co2Rate,co2RateMeasureFlg,noxMass,noxMassMeasureFlg,noxRate,noxRateMeasureFlg,heatInput,heatInputMeasureFlg,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
TX,Oak Grove,6180,2830,1,,2023-01-01,0,1.0,488.0,,196.9,Measured,0.042,Calculated,514.3,Measured,0.109,Calculated,348.6,Measured,0.071,Measured,4723.8,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,1,1.0,421.0,,157.1,Measured,0.037,Calculated,457.3,Measured,0.109,Calculated,269.1,Measured,0.062,Measured,4200.0,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,2,1.0,400.0,,195.9,Measured,0.048,Calculated,445.1,Measured,0.109,Calculated,252.8,Measured,0.06,Measured,4088.7,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,3,1.0,401.0,,195.6,Measured,0.048,Calculated,441.1,Measured,0.109,Calculated,263.5,Measured,0.063,Measured,4051.6,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,4,1.0,401.0,,202.5,Measured,0.05,Calculated,437.1,Measured,0.109,Calculated,257.0,Measured,0.062,Measured,4014.8,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,5,1.0,401.0,,212.7,Measured,0.053,Calculated,438.1,Measured,0.109,Calculated,266.9,Measured,0.064,Measured,4024.3,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,6,1.0,520.0,,466.2,Measured,0.095,Calculated,531.6,Measured,0.109,Calculated,314.0,Measured,0.063,Measured,4882.6,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,7,1.0,807.0,,1263.1,Measured,0.163,Calculated,842.4,Measured,0.109,Calculated,585.3,Measured,0.073,Measured,7737.4,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,8,1.0,891.0,,1586.3,Measured,0.189,Calculated,912.3,Measured,0.109,Calculated,660.5,Measured,0.076,Measured,8379.5,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,9,1.0,879.0,,1599.9,Measured,0.192,Calculated,905.5,Measured,0.109,Calculated,621.9,Measured,0.072,Measured,8317.0,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,10,1.0,917.0,,1366.7,Measured,0.159,Calculated,936.8,Measured,0.109,Calculated,654.1,Measured,0.074,Measured,8604.8,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,11,1.0,916.0,,1253.7,Measured,0.145,Calculated,939.7,Measured,0.109,Calculated,688.0,Measured,0.077,Measured,8631.5,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,12,1.0,916.0,,1202.7,Measured,0.141,Calculated,931.6,Measured,0.109,Calculated,662.4,Measured,0.075,Measured,8557.2,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
TX,Oak Grove,6180,2830,1,,2023-01-01,13,1.0,916.0,,1111.0,Measured,0.129,Calculated,938.1,Measured,0.109,Calculated,679.3,Measured,0.076,Measured,8616.3,Measured,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Ammonia Injection|Selective Catalytic Reduction,Baghouse,,"ARP, CSOSG2, MATS"
