stateCode,facilityName,facilityId,unit_id,unitId,associatedStacks,date,hour,opTime,grossLoad,steamLoad,so2Mass,so2MassMeasureFlg,so2Rate,so2RateMeasureFlg,co2Mass,co2MassMeasureFlg,co2Rate,co2RateMeasureFlg,noxMass,noxMassMeasureFlg,noxRate,noxRateMeasureFlg,heatInput,heatInputMeasureFlg,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
AR,Independence,6641,2898,1,,2023-01-01,0,1.0,250.0,,1050.6,Measured,0.353,Calculated,312.1,Measured,0.105,Calculated,752.8,Measured,0.253,Measured,2975.4,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,1,1.0,250.0,,1036.6,Measured,0.35,Calculated,310.8,Measured,0.105,Calculated,746.8,Measured,0.252,Measured,2963.3,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,2,1.0,250.0,,1041.2,Measured,0.349,Calculated,312.5,Measured,0.105,Calculated,727.1,Measured,0.244,Measured,2979.9,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,3,1.0,250.0,,1042.3,Measured,0.353,Calculated,309.3,Measured,0.105,Calculated,737.2,Measured,0.25,Measured,2948.7,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,4,1.0,250.0,,1063.2,Measured,0.36,Calculated,309.7,Measured,0.105,Calculated,717.6,Measured,0.243,Measured,2953.2,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,5,1.0,250.0,,1089.4,Measured,0.368,Calculated,310.4,Measured,0.105,Calculated,766.4,Measured,0.259,Measured,2959.1,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,6,1.0,250.0,,1096.0,Measured,0.374,Calculated,307.0,Measured,0.105,Calculated,802.1,Measured,0.274,Measured,2927.5,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,7,1.0,250.0,,1084.6,Measured,0.369,Calculated,308.6,Measured,0.105,Calculated,744.5,Measured,0.253,Measured,2942.7,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,8,1.0,250.0,,1080.9,Measured,0.367,Calculated,308.9,Measured,0.105,Calculated,739.3,Measured,0.251,Measured,2945.6,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
AR,Independence,6641,2898,1,,2023-01-01,9,1.0,250.0,,1091.6,Measured,0.361,Calculated,317.5,Measured,0.105,Calculated,747.7,Measured,0.247,Measured,3027.3,Measured,Coal,Residual Oil,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSOSG2, MATS"
