stateCode,facilityName,facilityId,unit_id,unitId,associatedStacks,date,hour,opTime,grossLoad,steamLoad,so2Mass,so2MassMeasureFlg,so2Rate,so2RateMeasureFlg,co2Mass,co2MassMeasureFlg,co2Rate,co2RateMeasureFlg,noxMass,noxMassMeasureFlg,noxRate,noxRateMeasureFlg,heatInput,heatInputMeasureFlg,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
TX,Limestone,298,176,LIM1,,2023-01-01,0,1.0,300.0,,586.4,Measured,0.178,Calculated,346.2,Measured,0.105,Calculated,646.9,Measured,0.196,Measured,3300.6,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,1,1.0,302.0,,600.0,Measured,0.179,Calculated,351.0,Measured,0.105,Calculated,635.9,Measured,0.19,Measured,3346.9,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,2,1.0,300.0,,605.3,Measured,0.18,Calculated,352.2,Measured,0.105,Calculated,644.7,Measured,0.192,Measured,3357.7,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,3,1.0,302.0,,570.6,Measured,0.169,Calculated,354.6,Measured,0.105,Calculated,639.1,Measured,0.189,Measured,3381.4,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,4,1.0,302.0,,548.8,Measured,0.166,Calculated,346.8,Measured,0.105,Calculated,654.7,Measured,0.198,Measured,3306.7,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,5,1.0,303.0,,552.2,Measured,0.169,Calculated,343.7,Measured,0.105,Calculated,612.8,Measured,0.187,Measured,3277.0,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,6,1.0,300.0,,556.8,Measured,0.17,Calculated,343.4,Measured,0.105,Calculated,632.0,Measured,0.193,Measured,3274.6,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,7,1.0,302.0,,575.5,Measured,0.172,Calculated,350.4,Measured,0.105,Calculated,628.2,Measured,0.188,Measured,3341.3,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,8,1.0,333.0,,645.4,Measured,0.179,Calculated,379.2,Measured,0.105,Calculated,593.0,Measured,0.164,Measured,3615.6,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,9,1.0,304.0,,564.0,Measured,0.167,Calculated,353.7,Measured,0.105,Calculated,623.9,Measured,0.185,Measured,3372.2,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,10,1.0,388.0,,744.0,Measured,0.178,Calculated,438.3,Measured,0.105,Calculated,585.1,Measured,0.14,Measured,4179.3,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,11,1.0,405.0,,728.6,Measured,0.168,Calculated,454.9,Measured,0.105,Calculated,607.2,Measured,0.14,Measured,4337.3,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,12,1.0,404.0,,735.1,Measured,0.169,Calculated,455.5,Measured,0.105,Calculated,625.3,Measured,0.144,Measured,4342.7,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,13,1.0,405.0,,685.2,Measured,0.158,Calculated,455.4,Measured,0.105,Calculated,620.9,Measured,0.143,Measured,4342.0,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,14,1.0,407.0,,669.2,Measured,0.154,Calculated,455.8,Measured,0.105,Calculated,617.1,Measured,0.142,Measured,4346.0,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,15,1.0,406.0,,730.7,Measured,0.168,Calculated,455.0,Measured,0.105,Calculated,633.4,Measured,0.146,Measured,4338.6,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,16,1.0,405.0,,672.5,Measured,0.151,Calculated,468.2,Measured,0.105,Calculated,642.9,Measured,0.144,Measured,4464.3,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,17,1.0,405.0,,521.4,Measured,0.118,Calculated,462.1,Measured,0.105,Calculated,625.6,Measured,0.142,Measured,4405.5,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,18,1.0,391.0,,511.1,Measured,0.12,Calculated,446.7,Measured,0.105,Calculated,698.6,Measured,0.164,Measured,4259.5,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,19,1.0,307.0,,420.0,Measured,0.12,Calculated,368.2,Measured,0.105,Calculated,888.3,Measured,0.253,Measured,3510.9,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,20,1.0,306.0,,402.3,Measured,0.117,Calculated,360.3,Measured,0.105,Calculated,752.4,Measured,0.219,Measured,3435.8,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,21,1.0,303.0,,375.3,Measured,0.11,Calculated,356.3,Measured,0.105,Calculated,679.5,Measured,0.2,Measured,3397.6,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,22,1.0,300.0,,402.0,Measured,0.118,Calculated,358.5,Measured,0.105,Calculated,687.1,Measured,0.201,Measured,3418.5,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-01,23,1.0,304.0,,439.8,Measured,0.127,Calculated,362.7,Measured,0.105,Calculated,653.6,Measured,0.189,Measured,3458.2,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,0,1.0,303.0,,466.3,Measured,0.138,Calculated,353.2,Measured,0.105,Calculated,646.6,Measured,0.192,Measured,3367.8,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,1,1.0,302.0,,467.7,Measured,0.139,Calculated,351.7,Measured,0.105,Calculated,630.4,Measured,0.188,Measured,3353.3,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,2,1.0,301.0,,466.3,Measured,0.138,Calculated,353.2,Measured,0.105,Calculated,623.0,Measured,0.185,Measured,3367.8,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,3,1.0,301.0,,473.0,Measured,0.137,Calculated,361.6,Measured,0.105,Calculated,606.8,Measured,0.176,Measured,3447.5,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,4,1.0,303.0,,477.6,Measured,0.142,Calculated,352.6,Measured,0.105,Calculated,642.2,Measured,0.191,Measured,3362.4,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,5,1.0,302.0,,465.5,Measured,0.137,Calculated,357.2,Measured,0.105,Calculated,630.0,Measured,0.185,Measured,3405.6,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,6,1.0,302.0,,474.1,Measured,0.135,Calculated,367.0,Measured,0.105,Calculated,601.9,Measured,0.172,Measured,3499.2,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,7,1.0,304.0,,487.5,Measured,0.142,Calculated,360.8,Measured,0.105,Calculated,712.2,Measured,0.207,Measured,3440.4,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,8,1.0,303.0,,477.2,Measured,0.143,Calculated,351.1,Measured,0.105,Calculated,696.4,Measured,0.208,Measured,3347.9,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,176,LIM1,,2023-01-02,9,1.0,310.0,,485.2,Measured,0.142,Calculated,357.8,Measured,0.105,Calculated,699.4,Measured,0.205,Measured,3411.7,Measured,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
