url,status,final_url,archive_url,archive_ts,note,n_files,used_in,checked_at
https://content.govdelivery.com/accounts/OHPUC/bulletins/4077fa5,200,,,,,1,data/onsite_generation.csv,2026-09-15T12:59Z
https://corridorbusiness.com/scope-of-qts-data-project-in-cedar-rapids-continuing-to-grow/,403,,http://web.archive.org/web/20251204194955/https://corridorbusiness.com/scope-of-qts-data-project-in-cedar-rapids-continuing-to-grow/,20251204194955,blocked or rate-limited (403): the page may exist; check by hand,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://creativecommons.org/licenses/by/4.0/,200,,,,,1,data/epoch/map_annotations.json,2026-09-15T12:59Z
https://d1io3yog0oux5.cloudfront.net/_68280da94b2098ec46fcbe3f4628ea40/corescientific/db/1066/11282/pdf/Q2+FY26+earnings+deck+7.28+AM.pdf,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://d1io3yog0oux5.cloudfront.net/_68280da94b2098ec46fcbe3f4628ea40/corescientific/db/1085/11265/presentation/Q4+FY25+earnings+deck+vfinal.2+PDF.pdf,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://datacenters.atmeta.com/richland-parish-data-center/,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
https://datacenters.google/locations/nebraska/,200,,,,,1,data/water_monthly_searches.csv,2026-09-15T12:59Z
https://datacenters.microsoft.com/sustainability/efficiency/,200,,,,,2,data/operator_disclosures.csv;data/water_derived_loads.csv,2026-09-15T12:59Z
https://developer.aliyun.com/article/60956,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://docs.aws.amazon.com/ec2/latest/instancetypes/ec2-instance-regions.html,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://drive.google.com/file/d/1ft2ZzqAYZtsTqMwyML4eo_EFYuclVxE6/view?usp=sharing,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@29.4149522,-98.80304495,292.48816289a,1532.49619452d,35y,0h,0t,0r/",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@29.476115,-98.68118,277.21295794a,724.52967601d,35y,0h,0t,0r/",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@32.53855187,-96.7936939,182.71625265a,4648.56607908d,30.00094375y,3.66969189h,0t,0r/",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@33.35450568,-111.67805903,407.02398359a,2119.1496037d,35y,-0h,0t,0r/data=ChYqEAgBEgoyMDI1LTAzLTAyGAFCAggBQgIIAEoNCP___________wEQAA",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.48033002,-77.25002949,65.53442036a,2152.9927926d,30.00094375y,-0.00000001h,0.59169466t,0r/data=CgwqBggBEgAYAUICCAEyKQonCiUKITFZU1hJZlBmRzJ1dUxibWdQOTJzY05sTVB6cXVUZFVXZyABOgMKATBCAggASggIw4mB_QIQAQ",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.48350155,-77.25010039,60.24751599a,83.68032361d,30.00094375y,3.66969189h,0t,0r/data=CgwqBggBEgAYAUICCAEyKQonCiUKITFZU1hJZlBmRzJ1dUxibWdQOTJzY05sTVB6cXVUZFVXZyABOgMKATBCAggASggIw4mB_QIQAQ",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.48655608,-77.24244153,55.96289131a,2859.52501034d,30.00094375y,0h,0.5917603t,0r/data=ChYqEAgBEgoyMDI0LTA2LTIzGAFCAggBMikKJwolCiExWVNYSWZQZkcydXVMYm1nUDkyc2NObE1QenF1VGRVV2cgAToDCgEwQgIIAEoICMOJgf0CEAE",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.48673632,-77.24119214,61.15398527a,3616.77426559d,30.00094375y,0.00000001h,0.59183057t,0r/data=CgwqBggBEgAYAUICCAEyKQonCiUKITFZU1hJZlBmRzJ1dUxibWdQOTJzY05sTVB6cXVUZFVXZyABOgMKATBCAggASggIw4mB_QIQAQ",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.48747566,-77.2485616,47.03705985a,2549.72172121d,30.00094375y,3.66969189h,0t,0r/data=ChYqEAgBEgoyMDI1LTExLTE5GAFCAggBMikKJwolCiExWVNYSWZQZkcydXVMYm1nUDkyc2NObE1QenF1VGRVV2cgAToDCgEwQgIIAEoICMOJgf0CEAE",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.4875167,-77.24806799,43.67572425a,2395.6622579d,30.00094375y,3.66969189h,0t,0r/data=ChYqEAgBEgoyMDI0LTAyLTA2GAFCAggBMikKJwolCiExWVNYSWZQZkcydXVMYm1nUDkyc2NObE1QenF1VGRVV2cgAToDCgEwQgIIAEoICMOJgf0CEAE",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@37.48913637,-77.24705465,44.31788662a,1464.06665017d,30.00094375y,3.66969189h,0t,0r/data=ChYqEAgBEgoyMDIzLTExLTAyGAFCAggBMikKJwolCiExWVNYSWZQZkcydXVMYm1nUDkyc2NObE1QenF1VGRVV2cgAToDCgEwQgIIAEoICMOJgf0CEAE",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@39.4948785,-119.43174359,1568.8659293a,562.69639351d,35y,-0h,0t,0r/",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@39.49733738,-119.43113543,1552.05877612a,1467.7067385d,35y,0h,0t,0r/",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/@39.72490515,-82.68845499,280.4138206a,1128.806013d,35y,-0h,0t,0r/data=CnUaXRJXCiUweDg4NDc4OWI3MDRhZGE1MWQ6MHg0Y2Q1MjE2ZGM0YTQ0YTc5GSZeVEH73ENAISDkBo2qq1TAKhwxMDQgV2hpbGV5IFJkLCBMYW5jYXN0ZXIsIE9IGAIgASoQCAESCjIwMjMtMDUtMTAYAUICCAFCAggASg0I____________ARAA",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/search/38%c2%b044%2745%2e12%22N+77%c2%b032%2716%2e47%22W/@38.7458667,-77.5379083,83.89135729a,642.01325639d,35y,0h,0t,0r/data=CjQiJgokCTo0Rh9P7TVAETk0Rh9P7TXAGX6C6a6li0VAIQ_0AAa-ik7AKgYIARIAGAFCAggBQgIIAEoNCP___________wEQAA",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
"https://earth.google.com/web/search/Berwick,+PA/@41.08459175,-76.14321499,203.05778839a,756.59305105d,35y,0h,0t,0r/data=CiwiJgokCYCDFkPTLDRAEX6DFkPTLDTAGUGoL_2-pEVAIRNn30rGL03AQgIIAUICCABKDQj___________8BEAA",,,,,"skipped: Google Earth viewer link, not a source",1,data/capacity_timeline.csv,2026-09-15T12:59Z
